artist,datetime,content,sentiment
Joan Thiele,2025-02-13 22:24:31,La standing ovation a 'sto ratto e non a joan thiele veramente una platea di falliti,positive
Joan Thiele,2025-02-13 22:28:05,"SI ALZANO IN PIEDI PER QUESTO CHE URLA NEL MICROFONO LA R MOSCIA E NON PER QUELA DEA ESOTERICA DI JOAN THIELE 
VI DOVETE SPAVENTARE, DOVETE DORMIRE CON UN OCCHIO APERTO STANOTTE
#Sanremo2025",positive
Joan Thiele,2025-02-13 22:22:54,come facciate a preferire lui a joan thiele non riesco a capirlo #sanremo2025,positive
Joan Thiele,2025-02-13 22:31:10,ho deciso che joan thiele deve mahmooddare,positive
Joan Thiele,2025-02-13 22:20:33,“non so chi sia joan thiele” INTANTO USATE DA ANNI QUESTA CLIP CON LA BELLISSIMA LÌ DI FIANCO AD ELODIE MENTRE VINCONO UN DAVID DI DONATELLO ,negative
Joan Thiele,2025-02-13 22:48:55,domanda ma il traduttore sta parlando dalle caverne del bosco dove vivono lucio corsi e joan thiele no cioè chiedo,positive
Joan Thiele,2025-02-13 22:27:37,quest’anno o vince joan thiele o vince brunori sas o lucio corsi non c’è via di mezzo per me non esiste altro finale,positive
Joan Thiele,2025-02-13 22:58:28,il tempo passa e io continuo ad avere in testa l’intro della canzone di joan thiele quella donna mi ha fatto un sortilegio,positive
Joan Thiele,2025-02-13 22:13:57,"Comunque nei 5 finalisti di stasera ci sono Olly, Noemi, Tony Effe e Brunori; vorrei Joan Thiele ma non credo.",positive
Joan Thiele,2025-02-13 22:29:53,"Cette semaine c'est Sanremo et je suis toujours très, très fan de Joan Thiele ",positive
Joan Thiele,2025-02-13 22:46:07,"Joan Thiele scrive, canta, produce… la definizione di arte, maestria, sapienza, sacrificio, talento, professionalità, bellezza #Sanremo2025",positive
Joan Thiele,2025-02-13 22:40:44,Joan thiele vinci per noi #Sanremo2025,positive
Joan Thiele,2025-02-13 22:10:01,"Joan Thiele sei la mia protetta di questo festival, la mia Frida Pop",positive
