artist,datetime,content,sentiment
Massimo Ranieri,2025-02-13 21:36:22,Il testo di Massimo Ranieri ha echi bensoniani #sanremo25,positive
Massimo Ranieri,2025-02-13 21:48:21,"Il piccolo super esperto di Sanremo presenta Massimo Ranieri. Ospite Samuele Parodi, 11 anni, risponde a quiz sul Festival http://ow.ly/4MrJ105Zwjp

#ANSA",positive
Massimo Ranieri,2025-02-13 21:36:02,"Massimo Ranieri es 

#Sanremo2025",positive
Massimo Ranieri,2025-02-13 21:35:56,vorrei arrivare a 70 come marcella bella e massimo ranieri,negative
Massimo Ranieri,2025-02-13 21:35:36,"Massimo Ranieri è un cantante senza precedenti.
Non fa mai una canzone conservativa, mai.
È come guardare un film di von Trier, c'è qualcosa di ascetico nel suo modo di cantare: un pellegrino che tira dritto per la sua strada in mezzo alla giungla qualunque cosa succeda intorno.",negative
Massimo Ranieri,2025-02-13 21:36:13,"73 ANNI MASSIMO RANIERI CON QUALE VOCE ME LO STAI DICENDO

 #sanremo2025",negative
Massimo Ranieri,2025-02-13 21:34:46,"Massimo Ranieri è senza dubbio una delle voci più belle della musica italiana   
#Sanremo2025",positive
Massimo Ranieri,2025-02-13 21:36:01,"Io totale Miriam Leone se avessi davanti il signor Massimo Ranieri

#Sanremo2025",positive
Massimo Ranieri,2025-02-13 21:37:39,"Si sente un sacco che la canzone di Massimo Ranieri l'ha scritta Tiziano, per tutto il tempo l'ho immaginata cantata con la sua voce  #Sanremo2025",positive
Massimo Ranieri,2025-02-13 21:36:27,"Sei tu l’highlander, farai fuori tutti, uno a uno.
Uno dei veterani della competizione, MASSIMO RANIERI!

Il piccolo Samuele ha ragione.

#Sanremo2025",positive
Massimo Ranieri,2025-02-13 21:38:08,"Il ""Quant si bell"" di Massimo Ranieri a Miriam Leone è il generico di ""Si na preta"".
#Sanremo2025",negative
Massimo Ranieri,2025-02-13 21:36:46,Scoperto che Massimo Ranieri non si chiama Massimo Ranieri ma è un nome d’arte,positive
Massimo Ranieri,2025-02-13 21:34:58,Massimo Ranieri sul palco,positive
Massimo Ranieri,2025-02-13 21:35:18,"Carlocò che si è storto perché Samuele Parodi ha avuto l'ardire di addivenire a dire una cosa ininfluente ai fini della gara come ""Uno dei veterani della competizione"" prima di presentare Massimo Ranieri. Eddajempo', eh... #Sanremo2025",positive
Massimo Ranieri,2025-02-13 21:36:35,"Massimo Ranieri ""Tra le mani un cuore""
#Sanremo2025",negative
Massimo Ranieri,2025-02-13 21:34:53,Io con Massimo Ranieri #Sanremo2025,positive
Massimo Ranieri,2025-02-13 21:38:39,Massimo Ranieri #Sanremo2025,negative
Massimo Ranieri,2025-02-13 21:36:25,"QUESTA INTERAZIONE MIRIAM LEONE MASSIMO RANIERI 

#Sanremo2025",positive
Massimo Ranieri,2025-02-13 21:38:57,"Massimo Ranieri canta a San Remo.

Al Bano:",positive
Massimo Ranieri,2025-02-13 21:54:24,"Sanremo 2025, Massimo Ranieri sul palco dell'Ariston con un occhio rosso: cosa è successo",positive
Massimo Ranieri,2025-02-13 21:36:58,"Massimo Ranieri è sempre Massimo Ranieri 

#Sanremo2025",positive
Massimo Ranieri,2025-02-13 21:31:16,Pensate che onore per questo bambino presentare Massimo Ranieri #Sanremo2025,positive
Massimo Ranieri,2025-02-13 21:34:35,La grandissima eleganza di Massimo Ranieri,positive
Massimo Ranieri,2025-02-13 21:34:41,"A me la canzone di Massimo Ranieri PIACE.
#Sanremo2025",positive
Massimo Ranieri,2025-02-13 21:33:48,eliminate massimo ranieri adesso #Sanremo2025,positive
Massimo Ranieri,2025-02-13 21:36:34,Massimo Ranieri sei un grande e la canzone riascoltandola è proprio bella #Sanremo2025,positive
Massimo Ranieri,2025-02-13 21:38:25,"Perché nessuno parla della canzone D I V I N A di Massimo Ranieri?
#Sanremo2025",negative
Massimo Ranieri,2025-02-13 21:36:26,Massimo Ranieri con una canzone scritta da Tiziano Ferro e Nek che non ne azzeccano una da tipo un decennio,negative
Massimo Ranieri,2025-02-13 21:54:02,Emorragia sotto congiuntivale...per Massimo Ranieri....me sa ...porello,negative
Massimo Ranieri,2025-02-13 21:51:41,"Cosa è successo all'occhio di Massimo Ranieri a Sanremo 2025?

#sanremo2025 #massimoranieri",positive
Massimo Ranieri,2025-02-13 21:49:24,"“Tra le mani un cuore ma non lo puoi vedere”

 Massimo Ranieri  Tra le mani un cuore

L’esibizione integrale è su RaiPlay 
In audio su RaiPlay Sound  

#Sanremo2025",negative
Massimo Ranieri,2025-02-13 21:36:13,"Massimo Ranieri è Massimo Ranieri 
Un professionista 
#Sanremo2025",positive
