artist,datetime,content,sentiment
Moda Sanremo,2025-02-13 23:22:34,"Kecco dei Modà. 

#Sanremo #Sanremo2025 #Moda #FestivaldiSanremo2025",positive
Moda Sanremo,2025-02-13 23:21:35,"Checco dei modà: 

#sanremo #Sanremo2025 #sanremo25",positive
Moda Sanremo,2025-02-13 23:20:19,"Modà 
#Sanremo #sanremo25 #Sanremo20205",positive
Moda Sanremo,2025-02-13 23:22:34,"Kecco dei Modà. 

#Sanremo #Sanremo2025 #Moda #FestivaldiSanremo2025",positive
Moda Sanremo,2025-02-13 23:21:35,"Checco dei modà: 

#sanremo #Sanremo2025 #sanremo25",positive
Moda Sanremo,2025-02-13 23:20:19,"Modà 
#Sanremo #sanremo25 #Sanremo20205",positive
Moda Sanremo,2025-02-13 23:22:34,"Kecco dei Modà. 

#Sanremo #Sanremo2025 #Moda #FestivaldiSanremo2025",positive
Moda Sanremo,2025-02-13 23:21:35,"Checco dei modà: 

#sanremo #Sanremo2025 #sanremo25",positive
Moda Sanremo,2025-02-13 23:20:19,"Modà 
#Sanremo #sanremo25 #Sanremo20205",positive
Moda Sanremo,2025-02-13 23:22:34,"Kecco dei Modà. 

#Sanremo #Sanremo2025 #Moda #FestivaldiSanremo2025",positive
Moda Sanremo,2025-02-13 23:21:35,"Checco dei modà: 

#sanremo #Sanremo2025 #sanremo25",positive
Moda Sanremo,2025-02-13 23:20:19,"Modà 
#Sanremo #sanremo25 #Sanremo20205",positive
Moda Sanremo,2025-02-13 23:22:34,"Kecco dei Modà. 

#Sanremo #Sanremo2025 #Moda #FestivaldiSanremo2025",positive
Moda Sanremo,2025-02-13 23:21:35,"Checco dei modà: 

#sanremo #Sanremo2025 #sanremo25",positive
Moda Sanremo,2025-02-13 23:20:19,"Modà 
#Sanremo #sanremo25 #Sanremo20205",positive
Moda Sanremo,2025-02-13 23:22:34,"Kecco dei Modà. 

#Sanremo #Sanremo2025 #Moda #FestivaldiSanremo2025",positive
Moda Sanremo,2025-02-13 23:21:35,"Checco dei modà: 

#sanremo #Sanremo2025 #sanremo25",positive
Moda Sanremo,2025-02-13 23:20:19,"Modà 
#Sanremo #sanremo25 #Sanremo20205",positive
