artist,datetime,content,sentiment
Olly,2025-02-13 23:58:21,"tutti che criticate olly ma se la sua canzone l'avesse fatta LAGNirama fangirlavate peggio delle bimbe di giulia de lellis.
#Sanremo2025",positive
Olly,2025-02-13 23:40:48,| La cantante Taylor Swift incita i suoi fan a votare il cantante Olly a #Sanremo2025,positive
Olly,2025-02-13 23:48:59,non so chi sia più sopravvalutato tra olly e irama,positive
Olly,2025-02-13 23:38:43,purtroppo per quanto io sia stan di olly sti meme mi fanno troppo ridere,positive
Olly,2025-02-13 23:58:03,"Raga però mamma mia ma che c’avete contro Olly. Ok non vi piace ma manco a fà così però!

 #Sanremo2025",positive
Olly,2025-02-13 23:56:47,i think i might have to say this but i think tonight has been my favourite olly show dare i say of all shows,positive
Olly,2025-02-13 23:22:27,cuando gane olly despues de no haber quedado top5 en la primera serata,negative
Olly,2025-02-13 23:43:27,Voi che dite che palle a un mostro sacro di 85 anni che sa cantare meglio di più della metà delle persone presenti a questo Sanremo siete gli stessi che si alzano all’esecuzione di Olly #Sanremo2025,positive
Olly,2025-02-13 23:42:30," TOP 40 Spotify

Melody 3,6M
Erika 2,9M
Nelli 2,5M
Olly 2,2M
Viivi 2,2M
Fedez 1,9M
Costee 1,8M
Neea 1,8M",positive
Olly,2025-02-13 23:58:20,io stasera sono ancora qui solo per vedere settembre vincere e l’annuncio di olly nella top 5 perché purtroppo questa serata non sta sanremando #Sanremo2025,positive
Olly,2025-02-13 23:48:04,Irama di solito era il primo della mia lista nera ma quest'anno è stato spodestato da olly i fear,negative
Olly,2025-02-13 23:53:56,MA STATE VOTANDO IL NOSTRO OLLY????? CODICE 05 !!!  #SANREMO2025,positive
Olly,2025-02-13 23:55:29,"L'intelligenza artificiale ha previsto la Top 5 del Festival:

 Simone Cristicchi – Quando sarai piccola
 Giorgia – La cura per me
 Olly – Balorda nostalgia
4) Achille Lauro – Incoscienti giovani
5) Fedez – Battito

Che ne pensate? L'AI avrà indovinato? #Sanremo2025",positive
Olly,2025-02-13 23:53:13,"Irama più convincente, ma in quel genere quest’anno ha chi lo supera: Olly e Achille…Stasera comunque possibile top 5 per lui…#sanremo2025",positive
Olly,2025-02-13 23:45:04,se è vero voglio una foto harry x olly,positive
Olly,2025-02-13 23:45:21,standing ovation per olly la mafia di marta donà colpisce ancora #sanremo2025,positive
Olly,2025-02-13 23:35:09,voi vi lamentavate di mio cugino geolier ma ancora dovevate conoscere il vero male: olly,positive
Olly,2025-02-13 23:53:02,Ma davvero state infangando m*rda su Olly e su Massimo Ranieri quando siete gli stessi che ascoltano canzoni rap trap e trippa che parlano di s*sso dr*ga donne trattate come tr*ie e via dicendo????,negative
Olly,2025-02-13 23:39:38,Olly getting to 1 million views on instagram in what? 30 minutes? Insane so fucking insane,positive
Olly,2025-02-13 23:52:01,appena realizzato che la canzoni di irama e di olly nella mia testa sono la stessa cosa,positive
Olly,2025-02-13 23:41:40,"STANDING OVATION tutta per te 
Accetto solo Olly come vincitore di Sanremo 2025! 
#Sanremo2025",positive
Olly,2025-02-13 23:50:30,comunque avremo la conferma che è tutto pilotato quando olly vincerà questo festival orribile,positive
Olly,2025-02-13 23:57:19,"Perché Olly si è IRAMA no?
Quando la sua canzone mangia letteralmente quella di Olly? #sanremo2025",negative
Olly,2025-02-13 23:39:28,"Sta sera non commento niente sono soltanto qui per dire che Olly mi fa schifo, è mediocre, la canzone è banale, si veste come mi vesto io per andare alle prove con la crew il sabato mattina, quelle R mi disturbano e deve stare ZITTO.",negative
Olly,2025-02-13 23:33:57,"la pandemia di quest’anno è olly e al contrario di geolier lui ha anche i giornalisti a favore, siamo fottuti",positive
Olly,2025-02-13 23:34:58,io se vincono olly o irama,positive
Olly,2025-02-13 23:48:08,"‘TUTTA L’ITALIA TUTTA L’ITALIAAAAA’

Noi sul divano con un occhio chiuso e pure l’altro:

#Sanremo2025",positive
Olly,2025-02-13 23:58:56,"In pratica tutti tranne le ragazzine infoiate stanno dicendo che la canzone di Olly non ha nulla di più di quella di Bresh se non che è spinta dalla super manager, ma se lo diciamo noi fumiamo perché siamo genoani 

Mi limiterò a retwittare jumped che gli augura la scabbia",negative
Olly,2025-02-13 23:55:02,"me when I pronounce ollys album name wrong 
@alexander_olly
 sorry love u",negative
