artist,datetime,content,sentiment
Shablo Gue Joshua Tormento,2025-02-13 22:17:27,"Ah ma quindi si può rappare sul palco di Sanremo?

https://rapologia.it/la-mia-parola-shablo-gue-joshua-tormento-sanremo-2025/… 

#Sanremo2025 #sanremo25 #Sanremo #LaMiaParola #Guè #Shablo #Tormento #Joshua",positive
Shablo Gue Joshua Tormento,2025-02-13 22:05:49,"Shablo Guè Joshua Tormento, voto 6

Suona già meglio rispetto alla prima serata, ma avrebbero potuto osare molto di più. Ritornello troppo ripetuto, potevano sostituirlo con più parti solo gospel

#Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-13 22:05:16,"Ma vi immaginate l’annuncio se vincesse la canzone di questi? La canzone vincitrice del festival è di…… Shablo, Gue, Joshua, Tormento, Zio Paperone, il mega direttore galattico, Lady Oscar, Rudolph la renna dal naso rosso, mi zia, tu nonna #Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-13 22:00:10,"Shablo, Guè, Joshua, Tormento pronti a cantare #Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-13 22:01:11,"#Sanremo2025 
Chi sono Shablo, Gue, Joshua e Tormento a Sanremo 2025 con la canzone La mia parola ",positive
Shablo Gue Joshua Tormento,2025-02-13 22:00:23,"top 4 parole usate negli ultimi giorni: È UNA STREET SOOOOOONG 
#shablo #gue #joshua #tormento #Sanremo2025 #sanremo25 #sanremo",positive
Shablo Gue Joshua Tormento,2025-02-13 22:12:49,"Shablo feat. Guè, Joshua, Tormento nella terza serata del Festival di Sanremo 2025 con ""La mia parola""! Codice 06
#Shablo #Guè #Joshua #Tormento #televoto #Sanremo2025 #Sanremo #Festival #Ariston #CarloConti #Rai 
@SanremoRai
 @RaiUno
 @RaiPlay
@RaiRadio2
 @Radio1Rai
 @Cinguetterai",positive
Shablo Gue Joshua Tormento,2025-02-13 22:51:19,"Shablo 
@djshablo
 feat. Guè 
@THEREALGUE
 , Joshua  & Tormento 
@TormentovsYoshi
 dal backstage di #Sanremo2025, con 
@emastokholma
 e Gino Castaldo su #RaiRadio2 + can. 202 +#RaiPlay!
#Shablo #Guè #Joshua #Tormento #emastokholma #GinoCastaldo #CarloConti 
@SanremoRai
 @RaiPlay
 @RaiRadio2",positive
Shablo Gue Joshua Tormento,2025-02-13 22:05:16,"Ma vi immaginate l’annuncio se vincesse la canzone di questi? La canzone vincitrice del festival è di…… Shablo, Gue, Joshua, Tormento, Zio Paperone, il mega direttore galattico, Lady Oscar, Rudolph la renna dal naso rosso, mi zia, tu nonna #Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-13 22:00:10,"Shablo, Guè, Joshua, Tormento pronti a cantare #Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-13 22:17:27,"Ah ma quindi si può rappare sul palco di Sanremo?

https://rapologia.it/la-mia-parola-shablo-gue-joshua-tormento-sanremo-2025/… 

#Sanremo2025 #sanremo25 #Sanremo #LaMiaParola #Guè #Shablo #Tormento #Joshua",positive
Shablo Gue Joshua Tormento,2025-02-13 22:05:49,"Shablo Guè Joshua Tormento, voto 6

Suona già meglio rispetto alla prima serata, ma avrebbero potuto osare molto di più. Ritornello troppo ripetuto, potevano sostituirlo con più parti solo gospel

#Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-13 22:05:16,"Ma vi immaginate l’annuncio se vincesse la canzone di questi? La canzone vincitrice del festival è di…… Shablo, Gue, Joshua, Tormento, Zio Paperone, il mega direttore galattico, Lady Oscar, Rudolph la renna dal naso rosso, mi zia, tu nonna #Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-13 22:00:10,"Shablo, Guè, Joshua, Tormento pronti a cantare #Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-13 22:01:11,"#Sanremo2025 
Chi sono Shablo, Gue, Joshua e Tormento a Sanremo 2025 con la canzone La mia parola ",positive
Shablo Gue Joshua Tormento,2025-02-13 22:00:23,"top 4 parole usate negli ultimi giorni: È UNA STREET SOOOOOONG 
#shablo #gue #joshua #tormento #Sanremo2025 #sanremo25 #sanremo",positive
Shablo Gue Joshua Tormento,2025-02-13 22:12:49,"Shablo feat. Guè, Joshua, Tormento nella terza serata del Festival di Sanremo 2025 con ""La mia parola""! Codice 06
#Shablo #Guè #Joshua #Tormento #televoto #Sanremo2025 #Sanremo #Festival #Ariston #CarloConti #Rai 
@SanremoRai
 @RaiUno
 @RaiPlay
@RaiRadio2
 @Radio1Rai
 @Cinguetterai",positive
Shablo Gue Joshua Tormento,2025-02-13 22:51:19,"Shablo 
@djshablo
 feat. Guè 
@THEREALGUE
 , Joshua  & Tormento 
@TormentovsYoshi
 dal backstage di #Sanremo2025, con 
@emastokholma
 e Gino Castaldo su #RaiRadio2 + can. 202 +#RaiPlay!
#Shablo #Guè #Joshua #Tormento #emastokholma #GinoCastaldo #CarloConti 
@SanremoRai
 @RaiPlay
 @RaiRadio2",positive
Shablo Gue Joshua Tormento,2025-02-13 22:05:16,"Ma vi immaginate l’annuncio se vincesse la canzone di questi? La canzone vincitrice del festival è di…… Shablo, Gue, Joshua, Tormento, Zio Paperone, il mega direttore galattico, Lady Oscar, Rudolph la renna dal naso rosso, mi zia, tu nonna #Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-13 22:00:10,"Shablo, Guè, Joshua, Tormento pronti a cantare #Sanremo2025",positive
