artist,datetime,content,sentiment
Tony Effe,2025-02-14 00:48:05,Sia Settembre che Alex meritavano di essere in gara nei Big al posto di un Tony Effe,positive
Tony Effe,2025-02-14 00:27:28,comunque canzone peggiore quella di Tony Effe e se vi piace non so come facciate ad ascoltarla sincer,positive
Tony Effe,2025-02-14 00:24:34,Se Tony effe sta in top 5 mi faccio brillare io #Sanremo2025,positive
Tony Effe,2025-02-14 00:00:48,A questo punto posso contare solo sul fatto che i fan di tony effe e olly vanno a letto presto e non hanno l’etá per votare,positive
Tony Effe,2025-02-14 00:44:33,E ORA LA POLEMICA DI TONY EFFE SULLA COLLANA COSA STA SUCCEDENDO #sanremo2025,positive
Tony Effe,2025-02-14 00:52:57,"Lo staff del Festival alle minacce di Tony Effe per il fatto della collana
#Sanremo2025",positive
Tony Effe,2025-02-14 00:44:03,Sacrifichiamo Tony Effe dalla competizione per far vincere sia Settembre sia Alex Wyse #Sanremo2025,positive
Tony Effe,2025-02-14 00:49:02,"“SONO INCA**ATO NERO, MO’ ADESSO SO’ CA**I”

tony effe goes wild #Sanremo2025",positive
Tony Effe,2025-02-14 00:27:35,Tony Effe vs #Sanremo2025 : “Sono incaz*ato nero”,positive
Tony Effe,2025-02-14 00:53:41,"FERMI TUTTI PRIMO DRAMA DEL DIETRO LE QUINTE TONY EFFE E LA COLLANA 
#sanremo2025",positive
Tony Effe,2025-02-14 00:20:22,Il successo di tony effe un grande interrogativo per l’essere umano #sanremo2025,positive
Tony Effe,2025-02-14 00:47:19,pronti a vedere tony effe in top 5?,positive
Tony Effe,2025-02-14 00:47:22,Cuoricini dei Coma Cosa spopolano. Seguono Tony Effe ed Elodie,positive
Tony Effe,2025-02-14 00:16:38,"Previsione top5 di serata dal più probabile al meno:  

- Olly 
- Irama 
- Tony Effe
- Brunori Sas
- (SALTO NEL BUIO) Shablo & Co.

(bubbling under: Noemi, Clara, Coma_Cose)",positive
Tony Effe,2025-02-14 00:57:11,"Stasera ci tocca guardare dopo Festival. 

CATTELAN HAI UN SOLO COMPITO STASERA CHIEDERE A TONY EFFE DELLA COLLANA GATE

#Sanremo2025",positive
Tony Effe,2025-02-14 00:08:10,"L'ascensore di Tale e quale a #Sanremo2025 
Salutiamo Tony Effe e facciamo entrare Roberto Ciufoli
Salutiamo i coma cose e facciamo entrare Paolantoni e Cirilli",positive
Tony Effe,2025-02-14 00:21:23,io ho bisogno di capire il processo mentale che ha spinto carlo conti a dire sì dopo aver sentito questa roba di tony effe e no dopo aver sentito la canzone di arisa,negative
Tony Effe,2025-02-14 00:20:18,"Porra top 5 de esta noche yo digo

- Cuoricini 
- Shablo y la gang
- Olly
- Tony Effe
- Joan Thiele",positive
Tony Effe,2025-02-14 00:20:09,Dio Madonna ma Tony Effe con che coraggio,positive
Tony Effe,2025-02-14 00:29:16,"Scommettiamo sui 5 di stasera?
Vota televoto e Radio.
Provo a indovinare cosa faranno le giurie:

Olly
Brunori
Tony Effe 
Coma Cose 
Gaia/Irama(qui bella lotta tra televoto e radio)",positive
Tony Effe,2025-02-14 00:53:26,tony effe con la bestemmia in canna e i pugni pronti per picchiare cc,positive
Tony Effe,2025-02-14 00:50:51,"Tony Effe finalmente dando un senso al suo essere al Festival di Sanremo 

#Sanremo2025",positive
Tony Effe,2025-02-14 00:20:33,fermi fermi fermi cos'è questa storia di tony effe incazzato per favore diteci,positive
Tony Effe,2025-02-14 00:26:10,"Brunori Sas, Olly, Irama, Tony Effe, Gabbani... dopo i risultati di ieri stasera mi aspetto questa top 5... spero di sbagliarmi . #Sanremo2025",positive
Tony Effe,2025-02-14 00:47:19,pronti a vedere tony effe in top 5?,positive
