artist,datetime,content
Achille Lauro,2025-02-11 23:05:37,Chi è Achille Lauro a Sanremo 2025 con Incoscienti giovani
Achille Lauro,2025-02-11 23:54:59,"Olly, Willie Peyote e Achille Lauro sul podio? #sanremo2025"
Achille Lauro,2025-02-11 23:41:34,"Achille Lauro: “Sarò il più stile anni 50 di questo Sanremo”
Tont Effe:
#Sanremo2025"
Achille Lauro,2025-02-11 23:38:54,scusate ma tony effe è diventato achille lauro 2020? #sanremo2025
Achille Lauro,2025-02-11 23:57:02,"A parte Achille Lauro, sembrano tutte cover mal riuscite di canzoni di cantautori italiani."
Achille Lauro,2025-02-11 23:35:39,"Cristicchi, Comacose,Achille Lauro, Olly ,Ranieri"
Achille Lauro,2025-02-11 23:07:38,Adoro Olly ma Achille Lauro e Giorgia per me meglio di lui #Sanremo2025
Achille Lauro,2025-02-11 23:50:07,#brunorisas non delude le attese con un pezzo meraviglioso (ma voi continuate a dire che Olly e Achille Lauro sono dei fenomeni mi raccomando) #SANREMO2025
Achille Lauro,2025-02-11 23:38:29,"1 Gaia  7
2 Gabbani 6 
3 Rkomi 5
4 Noemi 6
5  Irama 7
6 Coma Cose 6
7  Simone Cristicchi 9
8  Marcella Bella 4
9 Achille Lauro 9
10 Giorgia 10
11 Willie Peyote 5
12 Rose Villan 6
13  Olly 6
14 Elodie 6
15  Shablo feat Guè 6
16  Massimo Ranieri 6"
Achille Lauro,2025-02-11 23:40:08,#sanremo2025 Questo è il negativo di Achille Lauro
Achille Lauro,2025-02-11 23:25:14,"de momento...

1. Achille Lauro
2. Irama
3. Olly
4. Gaia
5. Elodie
6. Giorgia
7. Rose Villain
8. Coma_Cose
9. Rkomi
10. Noemi
11. Shablo, Guè, etc
12. Simone Cristicchi
13. Willie Peyote
14. Francesco Gabbani
15. Massimo Ranieri
16. Marcella Bella"
Achille Lauro,2025-02-11 23:45:49,Valentino ridai il telefono a mamma che deve dirci che ne pensa di Achille Lauro
Achille Lauro,2025-02-11 23:26:57,ecco dove mi pareva di aver visto Achille Lauro  #Sanremo2025
Achille Lauro,2025-02-11 23:41:10,"i posti in top 5 di olly, achille lauro e tony effe saranno dei furti a mano armata ad opera di giornalisti e paese reale #sanremo2025"
Achille Lauro,2025-02-11 23:16:41,"Faves so far were Coma_Cose, Gaia, Simone and Achille Lauro (to my own surprise probably because of the unexpectedness). 
I’m reading Olly was a fave but that kind of lost steam halfway and was a bit too shouty.   #Sanremo"
Achille Lauro,2025-02-11 23:37:09,achille lauro vestito da prete e tony effe da chierichetto boh #sanremo2025
Achille Lauro,2025-02-11 23:52:38,"Su quel palco abbiamo Irama, ex della De Lellis e Tony Effe, attuale fidanzato.
Poi Fedez, marito (almeno sulla carta) della Ferragni e Achille Lauro, con cui Chiara avrebbe avuto una tresca. 
Qualcun’altro? #Sanremo2025"
Achille Lauro,2025-02-11 23:38:31,"Tony Effe tutto bene? Achille Lauro ha già fatto il suo

#Sanremo #Sanremo25 #Sanremo2025"
Achille Lauro,2025-02-11 23:27:12,"TOP 3 al momento :

Giorgia
Irama
Achille Lauro

#sanremo #sanremo25 #sanremo2025"
Achille Lauro,2025-02-11 23:24:00,#Sanremo2025 il veterano #Ranieri porta una ballata malinconica ma è comunque più moderno di Achille Lauro
Achille Lauro,2025-02-11 23:20:49,does achille lauro have a single chance of winning
Achille Lauro,2025-02-11 23:17:16,"Si ma quando ricanta Achille Lauro! 
#Sanremo2025"
Achille Lauro,2025-02-11 23:24:04,ma vi ricordate a quel dopofestival come cazzo si chiama il documentario backstage della domenica vabbe comunque massimo ranieri guarda achille lauro e gli fa a facc ro sacicc quanto sei alto
Achille Lauro,2025-02-11 23:39:32,what happens when you order Achille Lauro on wish #Sanremo2025
Achille Lauro,2025-02-11 23:00:43,"I punti che farò al #Fantasanremo con Achille Lauro capitano: 

#Sanremo2025 #sanremo25"
Achille Lauro,2025-02-11 23:40:58,Lui voleva pullare un Achille Lauro 2019 ma di Achille Lauro ce n'è solo uno
Achille Lauro,2025-02-11 23:59:08,"Olly, Achille Lauro e altri 27.
Buonanotte.

#Sanremo2025 
#Sanremo 
#sanremo25"
Achille Lauro,2025-02-11 23:39:47,"Nicolò perché, perché? Perché? Perché? Ma questa è l’imitazione di Achille Lauro fatto a casa di qualcuno che odia particolarmente tanto Tony Effe - dai non si spiega. #sanremo2025"
Achille Lauro,2025-02-11 23:21:57,"Io lo immagino Massimo Ranieri carichissimo alle 2 di notte finito il festival che scrive nel gruppo whatsapp :""RAGAAA E ORA KE FACCIAMOOO???""
Achille Lauro abbandona
Guè abbandona
Fedez abbandona
Tony Effe abbandona
Elodie abbandona 
...

#Sanremo2025"
Achille Lauro,2025-02-11 23:54:28,Anche Achille Lauro compra ai Grandi Magazzini #Sanremo2025
Achille Lauro,2025-02-11 23:21:23,"[ #Sanremo2025 - 1e soirée]

Direct bookmakers : l'enthousiasme des parieurs semble décroître pour Olly et Giorgia, toujours en tête, tandis que les côtes d'Achille Lauro et Simone Cristicchi montent"
Achille Lauro,2025-02-11 23:15:52,"what planet are we living in, what do you mean achille lauro sang a ballad? #Sanremo2025"
Achille Lauro,2025-02-11 23:05:07,"Ma i giornalisti che davano per vincitori uno fra Achille Lauro e Olly cosa si sono fumati sono due fra le canzoni più brutte ascoltare fino ad ora ed in entrambi i casi non si capisce neanche una parola

#Sanremo2025"
