artist,datetime,content
Bresh,2025-02-12 00:27:35,no ragazzi ma bresh ha fatto una canzone stupenda vi prego sono troppo orgogliosa avevo aspettative altissime per lui e olly e hanno tirato fuori due pezzi bellissimi sono contentissima #sanremo2025
Bresh,2025-02-12 00:45:05,"Anche quest'anno le donne hanno divorato... Degli uomini attualmente salvo Lauro, Bresh, Lucio Corsi, Cristicchi e Brunori per il testo (e zedef ahimè non é stato tra i peggiori.....)"
Bresh,2025-02-12 00:26:13,bresh gnammissimo e la canzone mi è piaciuta molto
Bresh,2025-02-12 00:26:39,BRESH HAI SERVITO HAI SLAYATO HAI MANGIATO QUESTO PALCO !!!! #Sanremo2025
Bresh,2025-02-12 00:26:08,io come la devo prendere nella canzone di bresh si sente proprio giorgio li dentro mo mi ammazzo in diretta mio figlio a sanremo di nuovo con lo spirito gli auguro di produrre ogni singola hit da qua in avanti MY SHAYLAAAAA
Bresh,2025-02-12 00:25:30,Ecco a chi assomiglia Bresh #SANREMO2025
Bresh,2025-02-12 00:35:36,"Onestamente fa un po’ effetto vedere Bresh sul palco di Sanremo dopo averlo visto in gradinata nord o nei cortei del Genoa, mi è sempre sembrato un ragazzo umile"
Bresh,2025-02-12 00:27:35,bresh vorrei cadere nella tua tana del granchio
Bresh,2025-02-12 00:24:32,"bresh con le occhiaie perché tony effe ha finito fondotinta e  correttore 
#sanremo2025"
Bresh,2025-02-12 00:36:46,rkomi e bresh hanno divorato il palco ma noi vorremmo divorare loro #Sanremo2025
Bresh,2025-02-12 00:39:04,ma seriamente vi piace la canzone di fedez e poi mi rompete per olly e bresh…..
Bresh,2025-02-12 00:27:41,bresh PEZZONE + come sempre quota bono da paura per me più che promosso!!
Bresh,2025-02-12 00:44:17," #Sanremo2025 #Bresh, nome d’arte di Andrea Brasi, per la prima volta all'Ariston da concorrente. Il cantautore genovese porta ""La tana del granchio"""
Bresh,2025-02-12 00:24:37,Bresh bene speravo qualcosina di più ma ci sta
Bresh,2025-02-12 00:23:40,"riacceso x vedere bresh e ve lo dico forse la canzone più bella della serata ho cambiato idea date questo podio a lui 
#Sanremo2025"
