artist,datetime,content
Elodie,2025-02-11 23:44:42,Io ancora fermo ad Elodie. Vi rendete conto la fortuna di vivere in questa epoca? Grazie Elodie  #Sanremo2025
Elodie,2025-02-11 23:46:25,"chi dice che è la solita elodie forse, anzi, sicuramente non la conosce. 
ha esplorato e portato uno stile completamente nuovo per lei e ha spaccato tutto come sempre
per me sei la vincitrice"
Elodie,2025-02-11 23:35:06,"Giorgia
Noemi
Gaia
Rose Villain
Elodie La Porcoddia"
Elodie,2025-02-11 23:36:33,elodie to basel
Elodie,2025-02-11 23:57:02,"#sanremo2025 il bisschen che ho sentito: Brunori: De Gregori?, Elodie: Mina + Kylie Jenner?, Tormento: mio tallone d'Achille (I am a 90's bitch), Tony Effe: magari cantata con più autoironia e un velo di eleganza..., Raf: magari in gara."
Elodie,2025-02-11 23:52:27,"Comunque scusate, ma ad Elodie ero talmente impegnato a segarmi che non sono riuscito a scrivere il tweet"
Elodie,2025-02-11 23:38:18,Sinceramente was reborn in the form of Elodie! Take revenge queen
Elodie,2025-02-11 23:50:09,elodie please win
Elodie,2025-02-11 23:59:34,"Io comunque sono un po’ deluso dalla canzone di elodie, avevo aspettative altissime"
Elodie,2025-02-11 23:43:04,"#Elodie è vestita da kebab per far ingelosire #Marracash

#SanRemo2025"
Elodie,2025-02-11 23:58:02,Me in the audience singing along during Elodie’s next tour
Elodie,2025-02-11 23:59:41,"Mon classement provisoire :
4. Rkomi
5. Olly
6. Achille Lauro
7. Elodie
8. Gaia
9. Giorgia
10. Modà
11. Coma_Cose
12. Serena Brancale
13. Marcella Bella
14. Massimo Ranieri
15. Tony Effe
16. Brunori Sas
17. Shablo ft
18. Francesco Gabbani
19. Willie Peyote"
Elodie,2025-02-11 23:52:12,"Canzoni che mi piacciono finora: gaia, olly, lauro, coma_cose
non mi dispiace: giorgia, shablo, rose villain
da riascoltare: elodie, gabbani, irama, marcella bella, ranieri, brancale
simone: cristicchi
brunori: sas
il resto: NO #Sanremo2025"
Elodie,2025-02-11 23:59:28,“eh ma Elodie canta sempre la stessa canzone” DIOPORCO MA DOVEEEEE e poi si bagnano le mutande per la 57esima canzone UGUALE di Irama o di Olly BASTA l’Italia non merita le sue pop girls (che tra l’altro cacano in testa ai ratti)
Elodie,2025-02-11 23:56:47,"Il Sanremo dei look, un'altra classifica. Da Achille Lauro a a Elodie gli abiti in scena http://ow.ly/I6JC105ZkRu

#ANSA"
Elodie,2025-02-11 23:54:10,elodie 
Elodie,2025-02-11 23:29:50,"Le tonnellate di divinità. 

#Sanremo2025 #Elodie"
