artist,datetime,content
Francesca Michielin,2025-02-11 23:54:51,"Francesca Michielin si è rotta il piede, Kekko dei Modà con le costole rotte, la vincitrice di #BallandoConLeStelle al #PrimaFestival, una giudice al #DopoFestival.
È il Sanremo di Milly Carlucci

#Sanremo2025"
Francesca Michielin,2025-02-11 23:11:38,Chi è Francesca Michielin in gara a Sanremo 2025 con Fango in paradiso
Francesca Michielin,2025-02-11 23:21:46,massimo ranieri 2 che scende le scale tutto intero pure stasera francesca michielin ancora 0
Francesca Michielin,2025-02-11 23:22:40,Massimo Ranieri a 73 anni ha sceso le scale con l’agilità che Francesca Michielin vorrebbe #sanremo2025
Francesca Michielin,2025-02-11 23:49:22,"Francesca Michielin talmente disperata per l’attesa dell’1 di notte che si è tagliata u capelli 
#sanremo2025"
Francesca Michielin,2025-02-11 23:51:15,Francesca Michielin en este mismo instante:
Francesca Michielin,2025-02-11 23:26:19,"Massimo Ranieri ha sceso le scale saltellando. 
Francesca Michielin nel frattempo:

#Sanremo2025"
Francesca Michielin,2025-02-11 23:57:03,"Quando arriva la maestra Francesca Michielin?! Sto aspettando solo lei ormai 
#Sanremo2025"
Francesca Michielin,2025-02-11 23:28:28,"FRANCESCA MICHIELIN COSA STAI FACENDO AI CAPELLI  
#Sanremo2025"
Francesca Michielin,2025-02-11 23:47:49,Kekko e Francesca Michielin quando dovranno arrivare sul palco #Sanremo2025
