artist,datetime,content
Irama,2025-02-12 00:04:38,"/ comunque chi scrive che irama fa tutte le canzoni uguali, palesemente ne ha ascoltata mezza perché se PAMPAMPAMPAMPAM è uguale ad Ovunque sarai avete dei problemi di udito"
Irama,2025-02-12 00:12:15,"1. Olly
2. Irama
3.Elodie

#Sanremo2025"
Irama,2025-02-12 00:27:03,"bresh, irama, rkomi, olly, chi manca? #Sanremo2025"
Irama,2025-02-12 00:12:13,"Giorgia
achille
Irama
Olly

Ciao."
Irama,2025-02-12 00:44:16,"Io non riesco a vedere un ostacolo abbastanza grosso allo SBANCO del televoto da parte di Fedez, i supposti forti al televoto non hanno sti sfracelli di canzoni e piuttosto che Irama vi dirò... puntini puntini. #sanremo2025"
Irama,2025-02-12 00:23:31,"la mia playlist nei prossimi giorni sarà letteralmente:
-Olly
-Irama
-Bresh
#Sanremo2025"
Irama,2025-02-12 00:23:29,"yo lo siento por este señorito que no le he visto en mi vida ni le conozco pero para escuchar esto vuelvo a ponerme a irama, a olly…"
Irama,2025-02-12 00:48:37,Per me irama-olly-modá -fedez TOP #Sanremo2025
Irama,2025-02-12 00:04:50,"mis últimas ganadoras de sanremo 

2024 · Sinceramente - Annalisa
2023 · Cause Perse - Sethu
2022 · Farfalle - Sangiovanni  
2021 · La genesi del tuo colore - Irama"
Irama,2025-02-12 00:54:43,"Più la sento e più mi piace maledetto Irama

#Sanremo2025"
Irama,2025-02-12 00:07:34,"punti aggiornati 

Achille 5 
Coma cose 40 
Gaia 30 
Gabbani 5
Noemi 5
Irama 35
Giorgia 10 
Marcella 20
Rkomi 55
Rose 15
Simone 25
Willi 30
Olly 15
Elodie 25
Gue 45
Massimo 15
Brunori25
Moda 30 
Serena 35
Tony 15

 "
Irama,2025-02-12 00:25:43,"Come sta andando per me:
1
2 Ranieri
3 Cristicchi
4 Fedez
5 Coma Cose
6 Bresh
7 Giorgia
8 Elodie
9 Irama"
Irama,2025-02-12 00:29:33,irama y bresh los que más me han gustado
Irama,2025-02-12 00:22:29,non ho capito perché Irama può cantare due volte #Sanremo2025 #Bresh
Irama,2025-02-12 00:13:19,raga elodie porta sempre le stesse canzoni anche lei. non capisco l’odio verso irama.
Irama,2025-02-12 00:53:32,"Lentamente  Irama

#SANREMO2025 #Irama"
Irama,2025-02-12 00:22:58,"bresh si è mangiato olly, irama e achille lauro e punto #sanremo2025"
Irama,2025-02-12 00:23:31,"La canzone di Bresh è come una  di irama ma a 2x

#sanremo #sanremo2025 #bresh"
Irama,2025-02-12 00:27:47,olly bresh irama achille my fav + bonus Giorgia cristicchi e rkomi io sono semplicemente questa
Irama,2025-02-12 00:05:56,"Irama and Giorgia currently do it for me. Giorgia's performance is more stunning, while Irama's Song is a bit more instant. But perhaps Olly is a fan favourite, modern charisma, despite his OK-ish song. #SanRemo #Eurovision"
Irama,2025-02-12 00:11:02,Ma ca cumbinat #Irama ? s'arrubbat ò paltò di Napoleone ?
Irama,2025-02-12 00:56:37,"Lui ogni volta ci mette l'anima! 
#irama #SANREMO2025"
Irama,2025-02-12 00:21:36,"Clara fa Elodie
Bresh fa Olly
Olly fa Irama

L’unica che ha fatto se stessa è Giorgia

#Sanremo2025"
Irama,2025-02-12 00:27:11,ho rivisto il fedez di pop-hoolista e va benissimo così #sanremo2025
Irama,2025-02-12 00:47:16,e irama
Irama,2025-02-12 00:12:50,"Mia personalissima classifica al momento:
1)Giorgia con ""La cura per me""
2)Olly con ""Balorda nostalgia""
3)Achille Lauro con ""Incoscienti giovani""
4)Irama con ""Lentamente""
5)Gaia con ""Chiamo io chiami tu""
#Sanremo2025"
Irama,2025-02-12 00:12:26,irama quando ha visto che lucio corsi gli ha rubato la quota capelli nzivat di quest’anno
Irama,2025-02-12 00:41:52,voi dite a irama ma anche lui.... #sanremo2025
Irama,2025-02-12 00:21:20,"Raga comunque tutti sti uomini che cantano sono uguali . Irama, bresh, tananai, ultimo ve lo giurooo"
Irama,2025-02-12 00:43:13,dopo aver passato una serata a sentire modà rocco hunt tony effe fedez e irama
Irama,2025-02-12 00:57:31,"Dunque salvo : Giorgia, Achille, Irama, Noemi (i miei preferiti) , poi Cristicchi e Lucio Corsi, e mai avrei pensato… Fedez. Ebbene si, il suo pezzo meglio di molti altri.  #Sanremo2025"
Irama,2025-02-12 00:17:34,sicuramente fedez ha meno autotune di irama
Irama,2025-02-12 00:43:52,"Per ora chi ha più views su IG sono: Olly, Cristicchi, Giorgia e Irama

… aiuto"
Irama,2025-02-12 00:22:13,Faust’o che canta Irama #Sanremo2025
Irama,2025-02-12 00:22:16,"Il ritornello di Bresh, tocca pur dirlo, è l’anello di congiunzione tra Irama e i vecchi Modà. #sanremo2025"
Irama,2025-02-12 00:28:35,F3d3z Brescia olly rkomi irama tony 3ff3 per me sono tutti uguali  non ne posso più di questi uomini etero orrendi che non sanno cantare che parlano delle stesse cose anche se non capisce cosa che hanno lo stesso sound basta  #SANREMO2025
Irama,2025-02-12 00:37:24,"Lei, Gaia e Irama chiaramente gemelli separati alla nascita #Sanremo2025"
Irama,2025-02-12 00:53:28,un gran servizio comunque #SANREMO2025 #Irama
Irama,2025-02-12 00:23:44,Bresh ha fatto una canzone di Irama ma meglio di Irama #Sanremo2025
Irama,2025-02-12 00:04:34,"Achille 5
Coma cose 40
Elodie 25
Gabbani 5
Gaia 30
Giorgia 10
Irama 35
Marcella 20 (prima 30 ma ha nominato il fantasanremo)
Ranieri 15
Noemi 5
Olly 15
Rkomi 55
Rose 15
Shablo 45
Cristicchi 25
Willie 30
Brancale 35
Tony 15
Modà 30"
Irama,2025-02-12 00:51:04,"Devo riascoltarle tutte ma dopo questa prima serata Cristicchi, Giorgia, Irama, Achille Lauro, Brunori Sas, Olly e con grande sorpresa Fedez miei prefe. Meritano una menzione speciale anche Coma_Cose, Willie Peyote, Bresh e Joan Thiele #sanremo25"
Irama,2025-02-12 00:21:26,non dirò cosa penso della canzone di fedez
Irama,2025-02-12 00:52:01,"se francesca michielin non finisce nella top 5 della classifica stanotte uccido irama
 #Sanremo2025"
Irama,2025-02-12 00:12:36,Acabamos de descubrir a alguien que descuida más su cabello que Irama
Irama,2025-02-12 00:55:55,"RAGA i primi cinque devono essere: (in nessun ordine particolare) 
achille
irama 
simone 
clara 
modà
e forse the kolors 
(io veramente volevo che giorgia o elodea spaccavano ma sinceramente non mi hanno convinto )"
Irama,2025-02-12 00:39:22,Joan oltre ad essere divina è pure bravissima la amo
Irama,2025-02-12 00:52:59,e comunque un livello bassissimo quest’anno
Irama,2025-02-12 00:28:06,rapinatore ti punta una pist0la alla tempia e ti dice: cantami due canzoni di irama diverse
Irama,2025-02-12 00:26:59,"Allora al mio prima scolto VELOCE per ora i miei preferiti:
Irama ovviamente SEMPRE, Rkomi, Lucio Corsi stupendo, Fedez PURTROPPO ha portato una super canzone, Bresch ha una musicalità sTUPENDA e boh il resto non mi ha dato nulla al momento 
#sanremo25"
Irama,2025-02-12 00:22:11,Ma sto Bresh è un po' in stile Irama di qualche anno fa o sono io che ho questa impressione? #Sanremo2025
Irama,2025-02-12 00:48:27,mañana vuelvo a irama porque esto es TAN GRACIOSO
Irama,2025-02-12 00:59:37,"#Sanremo2025
Gaia 5
Gabbani 3
Rkomi 5
Noemi 4.5
Irama 3
Coma Cose 4
Cristicchi 0
M. Bella 2
Achille 7
Giorgia 5
Willie 7
Rose 7
Olly 8
Elodie 6
Shablo 8
Ranieri 7
Tony 7
Brancale 5
Brunori 9
Modá 0
Clara 5.5
Corsi 6.5
Bresh 7.5
Toscano 6
Thiele 6.5
Hunt 3
Michielin 6.5
Kolors 2"
Irama,2025-02-12 00:57:49,"Irama, Rose Villain e i The Kolors (Sanremo 2024 - Sanremo 2025)

#Sanremo2025"
Irama,2025-02-12 00:04:38,"/ comunque chi scrive che irama fa tutte le canzoni uguali, palesemente ne ha ascoltata mezza perché se PAMPAMPAMPAMPAM è uguale ad Ovunque sarai avete dei problemi di udito"
