artist,datetime,content
Marcella Bella,2025-02-11 21:40:35,Bop di Marcella Bella che ha servito per le cinquantenni sui social #Sanremo2025
Marcella Bella,2025-02-11 21:42:38,"Marcella Bella inno delle milf dopo il divorzio e anche mio 
#Sanremo2025"
Marcella Bella,2025-02-11 21:47:47,mi credete se vi dico che finora la canzone che mi è piaciuta di più è quella di marcella bella?
Marcella Bella,2025-02-11 21:39:54,"FORTE TOSTA INDIPENDENTE STRONZA FORSE MA SORPRENDENTE UNA MINA VAGANTE QUESTA DI MARCELLA BELLA NELLA MIA BIOGRAFIA 
#Sanremo2025"
Marcella Bella,2025-02-11 21:50:26,Marcella Bella per ora regina indiscussa della serata una grande icona
Marcella Bella,2025-02-11 21:40:09,"28 cantanti possono stare tranquilli, Marcella Bella vuole proprio il 29° posto #Sanremo2025"
Marcella Bella,2025-02-11 21:41:55,marcella bella ci hai salvato la vita
Marcella Bella,2025-02-11 21:51:32,io aspiro ad essere marcella bella
Marcella Bella,2025-02-11 21:42:47,"""Fabrizio Frizzi era amato da tutti, condoglianze alla famiglia ovviamente""

""Marcella Bella ragazzi"""
Marcella Bella,2025-02-11 21:52:28,la follia della scaletta nel far passare dal dolore puro di cristicchi a marcella bella con “SONO UNA STRONZA? FORSE MA SORPRENDENTE” #Sanremo2025
Marcella Bella,2025-02-11 21:46:11, 08 / Marcella Bella - “Pelle Diamante” #SanRemo2025
Marcella Bella,2025-02-11 21:42:58,"Mi sento drogata da questa scaletta, perché prima ho pianto come non so cosa per Cristicchi e subito dopo ero lì a ballare sulla canzone di Marcella Bella sksksk
#Sanremo2025"
Marcella Bella,2025-02-11 21:40:30,"hanno stroncato sta canzone di marcella bella definendola cringe come se fosse la peggiore di sempre quando invece è quando di più vicino abbiamo a cher/madonna, tutta misoginia ageista dei giornalisti italiani che poi leccano le palle di morandi se canta con rovazzi pke quirky"
Marcella Bella,2025-02-11 21:49:30," Marcella Bella
 Pelle diamante
L’esibizione integrale è su RaiPlay 
In audio su RaiPlay Sound  

#Sanremo2025"
Marcella Bella,2025-02-11 21:41:01,Va mo là la Marcella Bella che stupisce #Sanremo
Marcella Bella,2025-02-11 21:40:51,marcella bella la nostra madonna
Marcella Bella,2025-02-11 21:41:22,la canzone di marcella bella poteva passare anche per una di loredana bertè #Sanremo2025
Marcella Bella,2025-02-11 21:41:23,"Song number 
Marcella Bella - Pelle Diamante

 Marcella Bella is ALWAYS a yes from me. This lady is the definition of a strong, confident italian woman. Her songs are iconic and this ""Pelle Diamante"" is no different!

#Sanremo #Sanremo2025 #sanremo25"
Marcella Bella,2025-02-11 21:59:59,"carina la canzone di marcella bella noi condividiamo ma adesso andiamo a vedere tra quali liste era candidata alle europee del 2004 
#Sanremo2025"
Marcella Bella,2025-02-11 21:40:28,"Marcella Bella ha perso un'occasione preziosa, ovvero ricantare per la seicentotrentesima volta Montagne Verdi. E invece no.
#Sanremo2025"
Marcella Bella,2025-02-11 21:53:36,"Vi prego ditemi che il mio cervello non è l'unico a ripropormi in loop il ritornello della canzone di Marcella Bella, VI PREGO! #Sanremo2025"
Marcella Bella,2025-02-11 21:48:43,"MARCELLA BELLA HA DECISO DI FARE LA DIVA 
#sanremo25"
Marcella Bella,2025-02-11 21:40:05,Marcella Bella è la Loredana Bertè 2024 #Sanremo2025
