artist,datetime,content
Massimo Ranieri,2025-02-11 23:25:30,La canzone di Massimo Ranieri perfetta per le telenovele messicane #Sanremo2025
Massimo Ranieri,2025-02-11 23:40:52," Massimo Ranieri
 Tra le mani un cuore
L’esibizione integrale è su RaiPlay 
In audio su RaiPlay Sound  

#Sanremo2025"
Massimo Ranieri,2025-02-11 23:25:37,"Che gli vuoi dì a Massimo Ranieri? Solo bravo (e bella quella parte col sax!)
 #Sanremo2025"
Massimo Ranieri,2025-02-11 23:25:16,massimo ranieri padre. #sanremo2025
Massimo Ranieri,2025-02-11 23:24:31,Massimo Ranieri non si giudica si ringrazia col capo chino #Sanremo2025
Massimo Ranieri,2025-02-11 23:25:09,"Massimo Ranieri non si smentisce mai

Come fa a non sbagliare mezza nota dall'inizio alla fine?

Che dire della penna di Tiziano che si sente tantissimo?
Grandi 
#Sanremo2025"
Massimo Ranieri,2025-02-11 23:25:15,"Young Massimo Ranieri è Tom Holland 
#sanremo2025"
Massimo Ranieri,2025-02-11 23:40:05,MASSIMO RANIERI PERDONALI XK NN SANNO COSA STANNO FACENDO QUESTI RAGAZZI… GIURO SONO IN IMBARAZZO PER LUI  #sanremo2025
Massimo Ranieri,2025-02-11 23:30:24,madonna quanto cazzo non vedo l'ora di andare al concerto di massimo ranieri
Massimo Ranieri,2025-02-11 23:38:29,"1 Gaia  7
2 Gabbani 6 
3 Rkomi 5
4 Noemi 6
5  Irama 7
6 Coma Cose 6
7  Simone Cristicchi 9
8  Marcella Bella 4
9 Achille Lauro 9
10 Giorgia 10
11 Willie Peyote 5
12 Rose Villan 6
13  Olly 6
14 Elodie 6
15  Shablo feat Guè 6
16  "
Massimo Ranieri,2025-02-11 23:25:58,"La vita intera con il cuore in mare
Il mondo l’ha già fatto a pezzi eppure lì rimane
Proteggilo dal freddo che c’è stato
E troverà la pace dopo quello che ha passato

Massimo Ranieri 

#Sanremo2025"
Massimo Ranieri,2025-02-11 23:24:14,"L'un des piliers de la chanson italienne, Massimo Ranieri, avec Tra le Mani Un Cuore. Une ballade intense, mais avec une touche d'originalité et de modernité, un petit côté BO de polar. Je suis client ! 13/20 #Sanremo2025"
Massimo Ranieri,2025-02-11 23:25:24,"#Sanremo2025 #eurovision

Dopo quella roba lì ci voleva Massimo Ranieri. Classe, arte e canto."
Massimo Ranieri,2025-02-11 23:25:09,"Massimo Ranieri insegna a cantare a tutti i cantanti presenti a Sanremo 

#Sanremo2025"
Massimo Ranieri,2025-02-11 23:26:03,"Massimo Ranieri, what an incredible voice. #Sanremo2025"
Massimo Ranieri,2025-02-11 23:31:11,a Massimo Ranieri voglio troppo bene non fa niente se la canzone non è adatta lui ha voluto dare Elphaba quest'anno e secondo me dobbiamo permettergli di fare quello che desidera! #Sanremo2025
Massimo Ranieri,2025-02-11 23:59:12,"Io ho dato.

Willie Peyote, Giorgia, Brunori il mio podio.

Riserve Coma Cose e Massimo Ranieri.
Arrivedervi."
Massimo Ranieri,2025-02-11 23:27:25,"La voce che hai Massimo Ranieri 

#Sanremo2025"
Massimo Ranieri,2025-02-11 23:25:18,"Sempre impressionata da come per alcuni artisti cantare venga così naturale. Come mangiare. Come dormire.
Alcuni artisti come Massimo Ranieri.
#sanremo2025"
Massimo Ranieri,2025-02-11 23:25:44," İtalya'yı daha önce 2 kez #Eurovision'da temsil eden Massimo Ranieri ve şarkısı ""Tra le mani un cuore""

Bahislerde 19/29 

#Sanremo2025 #Sanremo #Eurovision2025"
Massimo Ranieri,2025-02-11 23:25:52,"Per Massimo Ranieri non ho neanche commenti, che vuoi dirgli, un artista da quando è nato 

#Sanremo2025"
Massimo Ranieri,2025-02-11 23:28:12,"Tra le mani un cuore.

MASSIMO RANIERI COLONNA PORTANTE DELLA MUSICA ITALIANA.
#Sanremo #SANREMO2025"
Massimo Ranieri,2025-02-11 23:30:28,"Nel retropalco Massimo Ranieri sta raccontando la storia del cavalluccio rosso.

#Sanremo #sanremo25 #Sanremo2025"
Massimo Ranieri,2025-02-11 23:25:12,"Non smettere mai di cantare Massimo Ranieri 
#Sanremo2025"
Massimo Ranieri,2025-02-11 23:25:48,Another piece of Sanremo royalty Massimo Ranieri is on with 'Tra le mani un cuore'. He won in 1988 with 'Perdere l'amore' and went to Eurovision in 1971 and 1973. He's still got that magic and vocal capacity 56 years into his singing career. Bravo!! #Sanremo2025
Massimo Ranieri,2025-02-11 23:23:40,massimo ranieri fino ad adesso con la canzone + bella
Massimo Ranieri,2025-02-11 23:26:53,Massimo ranieri è venuto ha cantato e se n’è andato senza fare neanche una rotazione di esercizi di palestra… e io che cosa ti ho messo a fare nel fantasanremo
Massimo Ranieri,2025-02-11 23:25:56,MASSIMO RANIERI CHE NON È RIUSCITO NEMMENO A FINIRE DI DIRE GRAZIE CHE CARLO  CONTI LO HA CACCIATO #Sanremo2025
Massimo Ranieri,2025-02-11 23:25:06,MASSIMO RANIERI PAZZESCO #Sanremo2025
Massimo Ranieri,2025-02-11 23:26:50,"Si metta a verbale che Massimo Ranieri, a 73 anni, canta molto meglio di certi 30-50enni che si sono esibiti prima di lui.

Cordialmente,
MiSonoRottaDeiCantantiCheNonSannoCantare 

#sanremo2025 
#sanremo25 
#sanremo"
Massimo Ranieri,2025-02-11 23:27:50,"massimo ranieri ha dato pathos, ha dato demure, ha dato DIZIONE ... la first generation of idols rimane superiore"
Massimo Ranieri,2025-02-11 23:24:42,"Come sempre Massimo Ranieri riesce a dipingere immagini e storie, con le sue canzoni, degne di un film d'autore #Sanremo2025"
Massimo Ranieri,2025-02-11 23:27:36,"#sanremo2025 immancabile come la morte il momento geriatria: Massimo Ranieri
Testo: si sente la mano di Nek e Tiziano Ferro
Musica da Classicone sanremese. Bellissimo il sassofono molto anni 80.
Lui al solito elegante, riuscirà a ""salvare ""il [nostro] cuore in fondo al mare""?"
Massimo Ranieri,2025-02-11 23:25:09,"Per ora la canzone più bella è quella di Cristicchi.
Giorgia PAZZESCA, ma la canzone deve essere ascoltata più volte.
Massimo Ranieri si conferma il re di Sanremo.
Attendo fiduciosa Dario Brunori 
#Sanremo2025"
Massimo Ranieri,2025-02-11 23:25:45,"Difficile parlare male di Massimo Ranieri, quando sai che potrebbe essere l'ultima cosa che scrivi su di lui.

#Sanremo #sanremo25 #Sanremo2025"
Massimo Ranieri,2025-02-11 23:24:45,Che voce pazzesca che ha Massimo Ranieri. #sanremo2025
Massimo Ranieri,2025-02-11 23:29:36, 16 / Massimo Ranieri - “Tra Le Mani Un Cuore” #SanRemo2025
