artist,datetime,content
Moda Sanremo,2025-02-11 23:53:59,"Cioè è caduto e si è rotto e ha rifatto comunque le scale, rimanendo intero, grande Kekko coi Modà!
#Sanremo #SANREMO2025"
Moda Sanremo,2025-02-11 23:55:40,"Questi outfit un po’ fuori modà
#sanremo #fantasanremo"
Moda Sanremo,2025-02-11 23:58:27,"Sempre la stessa canzone da 20 anni.
Non ce la faccio, non li sopporto.

Mi abboffano la uallera, scusate.

#Modà #Sanremo"
Moda Sanremo,2025-02-11 23:16:41,Chi sono i Modà a Sanremo 2025: ritorno sul palco con Non ti dimentico
Moda Sanremo,2025-02-11 23:58:31,"Modà 
#Sanremo #Sanremo25"
Moda Sanremo,2025-02-11 23:58:46,La solita canzone sei Modá #Sanremo #sanremo2025
Moda Sanremo,2025-02-11 23:56:36,"il cantante dei modà 

#Sanremo"
Moda Sanremo,2025-02-11 23:55:55,"Ho la stessa mobilità di Kekko dei Modà...

#Sanremo #Sanremo2025"
Moda Sanremo,2025-02-11 23:55:42,Bravo Checco #modà #Sanremo
Moda Sanremo,2025-02-11 23:57:50,Non pensavo l’avrei mai detto: bellissima la canzone dei Modà! #Sanremo #Sanremo2025
Moda Sanremo,2025-02-11 23:30:03,Finalmente sta per cantare Kekko dei Modà #Sanremo #Sanremo2025 #JuvePSV
Moda Sanremo,2025-02-11 23:58:31,"Modà 
#Sanremo #Sanremo25"
Moda Sanremo,2025-02-11 23:16:41,Chi sono i Modà a Sanremo 2025: ritorno sul palco con Non ti dimentico
