artist,datetime,content
Rkomi,2025-02-11 23:56:57,ho messo olly capitano e non rkomi E QUANDO MI PASSA (domani cambio questa cosa immediatamente)
Rkomi,2025-02-11 23:38:04,"Ora sappiamo chi ha rubato i guanti a Rkomi 
#Sanremo2025"
Rkomi,2025-02-11 23:03:48,"rkomi nella sua choi san era
#Sanremo2025"
Rkomi,2025-02-11 23:18:02,"1. coma_cose
2. achille lauro
3. willie peyote
4. marcela bella
5. elodie
6. rkomi
7. rose villain
8. simone christicchi
9. noemi
10. gabbani
11. gaia
12. olly
13. irama
14. giorgia
15. los del puto rap de los cojones"
Rkomi,2025-02-11 23:14:03,la mia preferita al momento rimane quella di rkomi
Rkomi,2025-02-11 23:32:28,i'm going to actually laugh hard if rkomi remains my winner until the end of the night #sanremo2025
Rkomi,2025-02-11 23:31:14,che edizione di merda
Rkomi,2025-02-11 23:49:16,io le due per altre quattro serate per questa merda non le faccio
Rkomi,2025-02-11 23:27:23,"A sto punto vado a mangiarmi due spaghetti alle vongole con 
@rkomi_mirko
 e vi saluto.
Buonanotte."
Rkomi,2025-02-11 23:38:38,There have been multiple people now wearing leather gloves Rkomi’s impact  #Sanremo2025
Rkomi,2025-02-11 23:51:17,mi fa troppo ridere mia madre che dopo due ore da quando ha cantato rkomi si sta ancora chiedendo perché sta sempre nudo #Sanremo2025
Rkomi,2025-02-11 23:20:32,shablo gue ecc ecc hanno servito nn mi interessa loro e i coma_cose hanno fatto qualcosa di diverso da tutte le lagne degli altri e io apprezzo idem willy peyote gaia e rkomi
Rkomi,2025-02-11 23:15:01,"Rkomi, Cristicchi, Rose Villain, comacose, olly"
Rkomi,2025-02-11 23:29:01,rkomi my fav so far guys
Rkomi,2025-02-11 23:38:55,pues mi top es rkomi olly gaia y elodie que se ordenen como quieran los demás me dan igual dios os bendiga
Rkomi,2025-02-11 23:07:21,"Carlo ha messo uno dopo l’altro Francesco Gabbani, Rkomi, Irama, Achille Lauro, Olly, Tony Effe e soprattutto Massimo Ranieri perché lo sa che siamo ingordi e ingorde.
Peccato per Bresh sbattuto dopo mezzanotte 

#Sanremo2025"
Rkomi,2025-02-11 23:36:41,"no he visto todos (me voy a dormir y no estoy actualizada), pero de momento y sin ningún orden estoy en el barco de: giorgia, rose, rkomi y olly. buenas noches y viva sanremo"
Rkomi,2025-02-11 23:25:14,"de momento...

1. Achille Lauro
2. Irama
3. Olly
4. Gaia
5. Elodie
6. Giorgia
7. Rose Villain
8. Coma_Cose
9. "
Rkomi,2025-02-11 23:30:48,l'urlo che ha lanciato mia sorella in quel momento con in squadra rkomi che le aveva fatto fare tipo dieci punti fino a quel momento
