artist,datetime,content
Rose Villain,2025-02-12 00:11:14,"Altro che Rose Villain ed Elodie, Clara oltre ad elegante e di classe mai volgare, SA CANTARE! 

#Sanremo2025 #Sanremo25 #sanremo"
Rose Villain,2025-02-12 00:47:58,"Ascoltato altre otto canzoni.
Gaia: no
Achille Lauro: bel testo.
Rose Villain: no.
Elodie: carina.
Cristicchi: capolavoro.
Giorgia: bellissima (amo la sua voce)
Tony Effe: bravino
Fedez: no"
Rose Villain,2025-02-12 00:20:58,"So far

1. Gaia
2. Fedez
3. Clara
4. Elodie
5. Rose Villain

#sanremo2025"
Rose Villain,2025-02-12 00:30:05,"Sanremo 2025: i momenti top e trash della prima serata, dalla ""petra"" Rose Villain a Jovanotti inseguito dalla sciuria passando per la richiesta di Tony Effe.
Il Festival parte col botto.

#Coma_cose #jovanotti #massimoranieri #RoseVillain"
Rose Villain,2025-02-12 00:26:18,"Prima parte tutta horror eccetto Giorgia e Coma Cose
Migliori nella seconda parte con Olly, Elodie, Ranieri ecc
Terza parte si salva solo Bresh per ora

Da risentire: ROSE VILLAIN
Da ultimo posto: BELLA,WILLIE PEYOTE, GRUPPO SHABLO, SERENA BRANCALE

#Sanremo2025"
Rose Villain,2025-02-12 00:22:58,"Clara, Elodie, Sarah, Rose Villain"
Rose Villain,2025-02-12 00:06:27,La canzone di Clara che è uguale a quella di Elodie che è identica a quella di Noemi che sembra quella di Rose Villain che è come quella di Serena Brancale che è uguale a quella di Giorgia #Sanremo2025
Rose Villain,2025-02-12 00:03:40,"No he vuelto a poner ningún tweet más, pero Rose Villain y Elodie han sido TOP. A la espera de con qué nos sorprenderán The Kolors  #Sanremo2025"
Rose Villain,2025-02-12 00:05:36,Quando un bel pornazzo lesbo tra Clara e Rose Villain?
Rose Villain,2025-02-12 00:39:26,Da Elodie a Rose Villain: tutti i look della prima serata di Sanremo
Rose Villain,2025-02-12 00:17:26,"Top 3
Rose villain
Fedez
Olly

(Non ci credo nemmeno io)"
Rose Villain,2025-02-12 00:36:34,"N'ata vota Rose Villain?
#sarahtoscano #sanremo #satiremo #sanremo25 #SANREMO2025"
Rose Villain,2025-02-12 00:57:49,"1 Irama
2 Giorgia
3 Bresh
4 Rose Villain
5 Fedez
#Sanremo2025"
Rose Villain,2025-02-12 00:22:18,"tra olly, bresh, rose villain ed elodie non so più se sto guardando sanremo o un programma sulla macelleria

#Sanremo2025"
Rose Villain,2025-02-12 00:04:44,"Clara ha portato la canzone che ci si aspettava da Elodie, Rose Villain e Gaia. #Sanremo2025"
Rose Villain,2025-02-12 00:23:02,"L'urlo in napoletano dalla platea prima dell'esibizione di Rose Villain. La frase impazza sui social
https://msn.com/it-it/intrattenimento/notizie/l-urlo-in-napoletano-dalla-platea-prima-dell-esibizione-di-rose-villain-la-frase-impazza-sui-social/ar-AA1yQXyM?ocid=spr_trending&businessvertical=News…"
Rose Villain,2025-02-12 00:05:08,«Sj 'na pret»: cosa significa l'urlo rivolto a Rose Villain a #Sanremo2025
Rose Villain,2025-02-12 00:30:24,rose villain e clara
