artist,datetime,content
Sarah Toscano,2025-02-12 00:45:15,"@ sarah toscano
#Sanremo2025"
Sarah Toscano,2025-02-12 00:34:21,SARAH TOSCANO PAZZESCA LA DIVA SEI  #sanremo2025
Sarah Toscano,2025-02-12 00:35:26,"sarà il primo ascolto o colpa degli stessi autori ma sarah toscano, elodie, clara nella mia testa sono tutte con lo stesso sound, ci mancava solo annalisa #Sanremo2025"
Sarah Toscano,2025-02-12 00:33:58,Sarah Toscano autoscontro giostre tagadà #sanremo2025
Sarah Toscano,2025-02-12 00:32:57,"PORCO GIUDA SARAH TOSCANO DKCKSKFKSKGKSKDKWK STO TREMANDO ANCHE QUEST’ANNO LE DONNE SONO SUPERIORI
#Sanremo2025"
Sarah Toscano,2025-02-12 00:42:26, שרה׳לה התבלבלה? הזמרת בת ה-19 Sarah Toscano מבצעת את השיר ״Amarcord” בפסטיבל סנרמו - ונראה שהיא חושבת שהיא מתמודדת דווקא על ייצוג אסטוניה 
Sarah Toscano,2025-02-12 00:50:20,sarah toscano joan thiele e francesca michielin dopo aver alzato la media dei miei voti per la serata di 2 in quindici minuti #Sanremo2025
Sarah Toscano,2025-02-12 00:39:39,"sarah toscano ha droppato la hit di sanremo 2025 addio 

#Sanremo2025"
Sarah Toscano,2025-02-12 00:32:37,"CHE BOMBA HA SGANCIATO SARAH TOSCANO

#Sanremo2025"
Sarah Toscano,2025-02-12 00:42:13,"e ci aggiungo Sarah Toscano aka Kabasele

#SANREMO2025"
Sarah Toscano,2025-02-12 00:35:21,MIO DIO COSA HA CUCINATO SARAH TOSCANO SONO COSÌ ORGOGLIOSA
Sarah Toscano,2025-02-12 00:37:44,SARAH TOSCANO HAI CACCIATO FUORI UN TORMENTONE POP MICIDIALE. DAI CHE LA TOP 20 É TUA CUCCIOLA #Sanremo2025
Sarah Toscano,2025-02-12 00:32:37,sarah toscano stai cucciolando (hai cantato male ma la canzone non è male)
Sarah Toscano,2025-02-12 00:31:50,SARAH TOSCANO BOP
Sarah Toscano,2025-02-12 00:34:57,BELLISSIKA SARAH TOSCANO TI AMO VOTO DIESCIII
Sarah Toscano,2025-02-12 00:33:26,SARAH TOSCANO HA FATTO IL BOPPONE BRAVISSIMA AMORE SEI LA POP STAR SONO FIERO DI TE #Sanremo2025
Sarah Toscano,2025-02-12 00:37:58,"intonazione, presenza scenica, sicurezza, la canzone, l’esibizione, le movenze, appena maggiorenne

SONO SCIOCCATO SARAH TOSCANO

#Sanremo2025"
Sarah Toscano,2025-02-12 00:38:46, 25 / Sarah Toscano - “Amarcord” #SanRemo2025
Sarah Toscano,2025-02-12 00:34:59,"Sarah Toscano fue a la Ana Mena school de no abrir los ojos al cantar.
Dicho eso, menudo BOP"
Sarah Toscano,2025-02-12 00:34:42,"Sarah Toscano ha divorato 

#sanremo2025"
Sarah Toscano,2025-02-12 00:36:03,#Sanremo2025 posso dire però Sarah Toscano che coraggio. Il brano è difficile e secondo me ha cantato bene.
Sarah Toscano,2025-02-12 00:35:39,e se vi dicessi che la canzone di sarah toscano è una hit? #Sanremo2025
Sarah Toscano,2025-02-12 00:48:59,SARAH TOSCANO LA TENNISTA E CANTANTE PIÙ TOP SLAY WOW TUTTO DI #SANREMO2025
Sarah Toscano,2025-02-12 00:32:04,Sarah Toscano
Sarah Toscano,2025-02-12 00:32:32,Sarah Toscano
Sarah Toscano,2025-02-12 00:48:41,ABBIAMO L’AGGIORNAMENTO DA SARAH TOSCANO #sanremo2025
Sarah Toscano,2025-02-12 00:34:38,"Chi ha guardato quell’edizione di Amici ricorda Sarah Toscano perennemente ultima nella classifica canto. L’esempio di una ragazza che con studio e dedizione ha dimostrato che si possono raggiungere dei risultati. Ha 19 anni, se vorrà di strada ne farà #Sanremo2025"
Sarah Toscano,2025-02-12 00:35:34,"HAI PORTATO LA HIT SANREMESE SARAH TOSCANO ANDATEVENE TUTTI A FANCULO VOI E LE VOSTRE MIDDATE 
#sanremo2025"
Sarah Toscano,2025-02-12 00:33:51,SARAH TOSCANO TI AMO DA MORIRE #Sanremo2025
Sarah Toscano,2025-02-12 00:32:36,"#Sanremo2025 #eurovision

Sarah Toscano in un downgrade galattico di Sinceramente di Annalisa"
Sarah Toscano,2025-02-12 00:37:12,Sarah Toscano ha detto: LE DISCOTECHE GAY SONO  MIE DA STANOTTE E VOI MUTI #sanremo2025
Sarah Toscano,2025-02-12 00:34:57,Pues un besazo a Sarah Toscano y que disfrute mucho de la semana #Sanremo2025
Sarah Toscano,2025-02-12 00:36:31,SARAH TOSCANO FA FARE PIÙ PUNTI AL FANTASANREMO DI OLLY IP DAVVERO IMPAZZISCO
Sarah Toscano,2025-02-12 00:33:07,"Sarah Toscano purtroppo finirà in bottom 5 ma non mi interessa perché è un boppone clamoroso , la canzone perfetta da mettere a mezzanotte inoltrata per svegliare"
Sarah Toscano,2025-02-12 00:35:37,"Non me ne frega niente io Sarah Toscano amata! Già pronto per AMARCORD in loop 

#Sanremo2025"
Sarah Toscano,2025-02-12 00:36:59,SARAH TOSCANO RICORDIAMO PREMIO DELLA CRITICA ANA MENA E PRESTO NEO VINCITRICE DI SANREMO (nei miei sogni)
Sarah Toscano,2025-02-12 00:41:32,"Sarah toscano ha portato una hit radiofonica, dagli autori me lo aspettavo, l unica cosa è che  potrebbe essere stata una canzone di chiunque altra ma vale per mezzo panorama italiano"
Sarah Toscano,2025-02-12 00:36:07,A mi Sarah Toscano le va a dar un ictus de los nervios cantando eh  #SANREMO2025
Sarah Toscano,2025-02-12 00:34:16,Sarah Toscano è di Vigevano come il Cobra Soncin
Sarah Toscano,2025-02-12 00:34:07,sarah toscano dando actuación de polonia en eurovision junior… okay 
Sarah Toscano,2025-02-12 00:33:18,"Il pezzo di Sarah Toscano è molto forte. Ma lei ha vinto l'ultima edizione di Amici per mancanza di avversari, anche senza aver mai preso di nota. E purtroppo si sente. #sanremo2025"
Sarah Toscano,2025-02-12 00:34:10,in che senso Sarah Toscano ha 18 anni??????!!!!! #sanremo2025
Sarah Toscano,2025-02-12 00:46:05,"La nostra Pop Star Tennista 

#Sanremo2025
#Amarcord"
Sarah Toscano,2025-02-12 00:36:19,Sarah Toscano - Amarcord #Sanremo2025
Sarah Toscano,2025-02-12 00:32:31,Brava Alika che ha deciso di partecipare a Sanremo con il nome di Sarah Toscano #Sanremo2025
Sarah Toscano,2025-02-12 00:43:06,"Sarah Toscano sei la diva
#Sanremo2025"
Sarah Toscano,2025-02-12 00:44:12,"#Sanremo2025, rivedi l'esibizione di Sarah Toscano – Amarcord"
Sarah Toscano,2025-02-12 00:35:07,"Sotto Sarah Toscano c’è la musica di 
@MerkandKremont
 e si sente. Spacca e funziona.

Merita la radiofonia.

#sanremo2025"
Sarah Toscano,2025-02-12 00:31:27,"#Sanremo2025,
Chi è Sarah Toscano, la vincitrice di Amici che debuta a Sanremo "
Sarah Toscano,2025-02-12 00:32:05,"Sarah Toscano, ‘Amarcord’, masadit"
Sarah Toscano,2025-02-12 00:33:41,"mi confesso dicendo che non avevo mai ascoltato sarah toscano (non seguo amici da un po')
mi sto...innamorando....

#Sanremo2025"
Sarah Toscano,2025-02-12 00:31:40,SARAH TOSCANO STAI MANGIANDO QUESTO PALCO CON IL CUCCHIAINOOOOOOOO
Sarah Toscano,2025-02-12 00:35:10,Sarah Toscano
Sarah Toscano,2025-02-12 00:34:43,Sarah Toscano scrivendo Amarcord (non so neanche se compare tra gli autori)
Sarah Toscano,2025-02-12 00:32:38,sarah TOSCANO 
Sarah Toscano,2025-02-12 00:37:18,sarah toscano vincitrice sanremo 2025
Sarah Toscano,2025-02-12 00:47:40,"LE DONNE TUTTE CANZONI BELLISSIME 

ELO, JOAN(!!!!!!), SARAH TOSCANO, CLARA, ROSE

WOW RAGA"
Sarah Toscano,2025-02-12 00:54:06,SARAH TOSCANO
Sarah Toscano,2025-02-12 00:37:09,i'm not trying to be messy i promise you but you know that video of the sanremo cast eating the cake... in sanremo you can't eat until the elders eat... sarah toscano is the MAKNAE  which means she's the youngest and the fact that she ate first is crazy
Sarah Toscano,2025-02-12 00:45:58,"Quel pelato di merda di Vongola è diventato uno scout dell’Ajax con Sarah Toscano, bravo direttore 
@vongola81__"
Sarah Toscano,2025-02-12 00:38:11,ufficialmente iniziata la propaganda per sarah toscano forza sogno 
