artist,datetime,content
Serena Brancale,2025-02-11 23:44:51,Sarà la canzone dell'estate questa di Serena Brancale #Sanremo2025
Serena Brancale,2025-02-11 23:45:33,serena brancale non conoscevo il tuo gioco ma potrei essere ossessionato #sanremo2025
Serena Brancale,2025-02-11 23:45:48,SERENA BRANCALE HAI RISVEGLIATO L’INTERO TEATRO ARISTON FINALMENTE
Serena Brancale,2025-02-11 23:47:48,il boppone pazzesco di serena brancale #Sanremo2025
Serena Brancale,2025-02-11 23:51:06,"Serena Brancale ha proprio detto ""Forza Bari! Forza Puglia!""

#sanremo2025"
Serena Brancale,2025-02-11 23:48:48,Serena brancale vuoi essere la mia fidanzata?
Serena Brancale,2025-02-11 23:51:25,serena brancale 
Serena Brancale,2025-02-11 23:46:31,"+++ TRUMP PROPONE I DAZI SU SERENA BRANCALE +++

#Sanremo #sanremo25 #Sanremo2025"
Serena Brancale,2025-02-11 23:49:59,serena brancale portaci la niña e cantate anema e core x guapparia DAI DAI
Serena Brancale,2025-02-11 23:55:58,serena brancale representing bari all’eurovision.. un sogno
Serena Brancale,2025-02-11 23:48:46,Serena Brancale un senso del ritmo fuori da ogni grazia di Dio. Mi è piaciuta tanto. #Sanemo2025
Serena Brancale,2025-02-11 23:50:43,"VI PREGO È LETTERALMENTE SERENA BRANCALE 
#Sanremo2025"
Serena Brancale,2025-02-11 23:46:28,"Serena Brancale bravissima, teatrale.

#Sanremo2025"
Serena Brancale,2025-02-11 23:46:40,"[ #Sanremo2025 - 1e soirée]

Vibe carioca : voilà le terme que je cherchais pour évoquer cette proposition surprenante et pleine de charme. Ici, on fond en tout cas pour la chanson de Serena Brancale ! "
Serena Brancale,2025-02-11 23:44:30,"Arriva Serena Brancale a svegliarci tutti

#sanremo2025"
Serena Brancale,2025-02-11 23:46:17,il boppone di serena brancale VIVA BARI !!!! #Sanremo2025
Serena Brancale,2025-02-11 23:46:28,SERENA BRANCALE INASPETTATISSIMO MI PIACE IL BOPPONE #Sanremo2025
Serena Brancale,2025-02-11 23:53:24," Serena Brancale
 Anema e core
L’esibizione integrale è su RaiPlay 
In audio su RaiPlay Sound  

#Sanremo2025"
Serena Brancale,2025-02-11 23:49:17,"[Scusate, non me ne intendo di strumentazioni moderne]
Ho rialzato lo sguardo direttamente sull'inquadratura a mezzobusto di Serena Brancale e con quell'aggeggio davanti ho pensato stesse facendo l'ellittica in palestra"
Serena Brancale,2025-02-11 23:46:06,serena brancale quota folkloristica di questo festival noi terroni ti abbiamo capita 
Serena Brancale,2025-02-11 23:47:24,serena brancale facimm sti punt okkay?
Serena Brancale,2025-02-11 23:45:51,"SEI LA PUGLIA SERENA BRANCALE TI AMO !!!!! CAPITANA 
#sanremo2025"
Serena Brancale,2025-02-11 23:48:31,serena brancale DIVA porta in alto la puglia ca LI MEGGHIU SIMU LI MEGGHIUUU
Serena Brancale,2025-02-11 23:46:47,serena brancale hai servito DIVA
Serena Brancale,2025-02-11 23:46:20,"Che figa Serena Brancale.
La canzone niente di che, ma lei brava brava

#Sanremo2025"
Serena Brancale,2025-02-11 23:47:41,"questo blocco é stata un’allucinazione collettiva  
come siamo passati da massimo ranieri a tony effe a serena brancale 
mi sento così fatta #Sanremo2025"
Serena Brancale,2025-02-11 23:47:25,Serena Brancale va a ser última porque los italianos odian la diversión
Serena Brancale,2025-02-11 23:46:54,"Serena Brancale arriva, ci sveglia tutti e rende l’Ariston una sagra di paese di BÆRI… MA TI AMIAMO CAPITANA! #sanremo25 #Sanremo2025"
Serena Brancale,2025-02-11 23:46:52,"Serena Brancale avec Anema e Cuore. Elle arrive avec des rythmes très latino, beaucoup de percus. Concrètement, la chanson ne me plait pas mais je comprends qu'elle puisse plaire, parce qu'elle est objectivement bien faite ! 12/20 #Sanremo2025"
Serena Brancale,2025-02-11 23:47:13,"#Sanremo2025 ecco Serena Brancale 
Testo: niente che testo vuoi mettere a un pezzo dance?
Musica: vuole fare l'hit dell'estate... la balleremo?
Questo è quanto vostro onore."
Serena Brancale,2025-02-11 23:46:14,"con serena brancale sto sculettando però non sto capendo una parola 

#Sanremo2025"
Serena Brancale,2025-02-11 23:50:59,VI RICORDERÒ SEMPRE CHE SERENA BRANCALE E ANNALISA HANNO CANTATO BACCALÀ INSIEME
Serena Brancale,2025-02-11 23:47:09,"serena brancale per me è un sì, che presenza e talento pazzeschi! #Sanremo2025"
Serena Brancale,2025-02-11 23:51:02,"serena brancale ci ha visto lunghissimo e prevedendo i polentoni ignoranti ha cantato ""Non lo so se ti suonerà neo-melodico"" perché lo SAPEVA che avreste sentito un dialetto e avreste gridato subito NAPOLETANO. vi ha detto ignoranti in faccia, praticamente #sanremo25 "
Serena Brancale,2025-02-11 23:45:57,"Serena Brancale IDENTITARIA.
TERRONA E PRETA. #Sanremo2025"
Serena Brancale,2025-02-11 23:47:09," #Sanremo

Serena Brancale sang  ""Anema e core"", and we're going beyond the Mediterranean into a mix of Afro-beat and hispanic vibes.
I'm kinda dancing in my kitchen, and this goes very high in my list now. It's a nice change of style too, compared to the first part of tonight."
Serena Brancale,2025-02-11 23:55:20, 18 / Serena Brancale - “Anema E Core” #SanRemo2025
Serena Brancale,2025-02-11 23:47:56,"Tony Effe                  SERENA BRANCALE 

#Sanremo2025"
