artist,datetime,content
Simone Cristicchi,2025-02-11 21:37:49,Il passaggio da Simone Cristicchi a Marcella Bella #Sanremo2025
Simone Cristicchi,2025-02-11 21:43:39,"Brano intimista quasi sussurrato che parla di amore e genitorialità, stessa impronta per Achille Lauro e Simone Cristicchi con il primo decisamente migliore"
Simone Cristicchi,2025-02-11 21:43:15,"Simone Cristicchi mi ha squarciato il cuore, è arrivato come una pugnalata,un poeta immenso #Sanremo2025"
Simone Cristicchi,2025-02-11 21:55:45,"""Ci sono cose che non puoi cancellare,
ci sono abbracci che non devi sprecare.
ci sono sguardi pieni di silenzio
che non sai descrivere con le parole.
c'è quella rabbia di vederti cambiare
e la fatica di doverlo accettare.""

Simone Cristicchi mi hai fatto piangere #Sanremo2025"
Simone Cristicchi,2025-02-11 21:38:00,"SIMONE CRISTICCHI COMBATTERÒ PER FARTI ARRIVARE SUL PODIO
#Sanremo2025"
Simone Cristicchi,2025-02-11 21:36:58,For some songs to understand you really need to understand Italian. Simone Cristicchi's song has hit us all emotionally  #Sanremo2025
Simone Cristicchi,2025-02-11 21:39:51,"Simone Cristicchi molto emozionante. Non vincerà ma finalmente un brano che ha qualcosa da dire. Bravo.
#Sanremo2025"
Simone Cristicchi,2025-02-11 21:53:21,"La ovacion a Simone Cristicchi a mitad de cancion, como no haga un buen resultado lo de Loredana Berte se va a quedar en un berrinche"
Simone Cristicchi,2025-02-11 21:39:12,LA SEQUENZA SIMONE CRISTICCHI MARCELLA BELLA CHI CAZZO HA FATTO LA SCALETTAAAAAAAA
Simone Cristicchi,2025-02-11 21:37:35,simone cristicchi ha portato una canzone difficilissima da raccontare sul palco dell’ariston senza avere un solo crollo mentale. un artista di dimensioni mastodontiche #Sanremo2025
Simone Cristicchi,2025-02-11 21:39:03,"Simone Cristicchi tocca le corde giuste, parole che vanno nel profondo. Fanno riflettere tutti: per quello che è stato, per quello che, inevitabilmente, sarà. 

Un brano che merita. Sino ad ora il migliore. 

#Sanremo #Sanremo2025"
Simone Cristicchi,2025-02-11 21:41:21,la canzone di simone cristicchi pura poesia   #Sanremo2025
