artist,datetime,content
The Kolors,2025-02-12 00:57:21,"The Kolors

Voto 0

Chiedete scusa a Paolo Maldini

#Sanremo2025"
The Kolors,2025-02-12 00:59:50,"I the kolors la canzone che ti si ficca in testa anche se non vuoi ce la devono sganciare sempre

#Sanremo2025"
The Kolors,2025-02-12 00:59:07,el cantante de the kolors siendo la versión lesbiana de tony effe
The Kolors,2025-02-12 00:57:45,VIENE THE KOLORS A SALVAR ESTO
The Kolors,2025-02-12 00:56:49,"Tocca ai The Kolors
#Sanremo2025"
The Kolors,2025-02-12 00:01:46,mia mamma da quando è iniziato sanremo sta dando contro chi ha fatto questa scaletta perché hanno messo the kolors ultimi io la capisco
The Kolors,2025-02-12 00:59:55,"I the kolors non riescono a non fare hit
È L’UNA E STO BALLANDO"
The Kolors,2025-02-12 00:35:54,"19 Brunori Sas  4
20 Modà  8
21 Clara 8 e mezzo 
22 Lucio Corsi 8
23 Fedez  8 e mezzo
24 Bresh 6 e mezzo
25 Sarah Toscano 8
26 Joan Thiele
27 Rocco Hunt 
28 Francesca Michielin
29 "
The Kolors,2025-02-12 00:59:25,QUANTO SPACCANO I THE KOLORS È UN DATO DI FATTO MADOOOOOO #Sanremo2025
The Kolors,2025-02-12 00:57:27,per favore the kolors riavviviamo un po’ questa serata #Sanremo2025
The Kolors,2025-02-12 00:51:34,"THE Kolors non I KOLORS DAIIII
 #Sanremo2025"
The Kolors,2025-02-12 00:58:28,Stash dei The Kolors si sta trasformando in Michael Jackson
The Kolors,2025-02-12 00:59:14,GRAZIE AI THE KOLORS CHE CI FARANNO MUOVERE IL CULO TUTTO L’ANNOOOO  #Sanremo2025
The Kolors,2025-02-12 00:58:05,Se floppano i the kolors mi devo amm
The Kolors,2025-02-12 00:56:06,"i the kolors nel camerino all'1 di notte prima di entrare
#Sanremo2025"
The Kolors,2025-02-12 00:59:56,Es que ni una canción mala tienen The Kolors #Sanremo2025
The Kolors,2025-02-12 00:59:39,i the kolors per me piacerebbero a jungkook
The Kolors,2025-02-12 00:52:24,pronta a ripijarmi con the kolors #Sanremo2025
The Kolors,2025-02-12 00:53:31,i the kolors nella trasformazione enchantix diventano i moda #Sanremo2025
The Kolors,2025-02-12 00:59:57,"Questa canzone dei The Kolors la sentiremo ovunque fino a settembre 
#Sanremo2025"
The Kolors,2025-02-12 00:59:45,"I The Kolors all’1 passata per svegliarci

#Sanremo2025"
The Kolors,2025-02-12 00:59:36,the kolors never disappoint  #sanremo2025
The Kolors,2025-02-12 00:51:37,pronta all’allucinazione collettiva delle 1:00 coi the kolors #Sanremo2025
The Kolors,2025-02-12 00:57:50,"l testo di “Tu con chi fai l'amore”, la canzone dei The Kolors a Sanremo"
The Kolors,2025-02-12 00:26:14,"carlo conti che palesemente non vede l’ora di arrivare ai the kolors per fare il balletto tiktok 2025 

#Sanremo2025"
The Kolors,2025-02-12 00:58:26,Take me back al 2015 quando si discuteva se andasse l'articolo davanti a The Kolors
The Kolors,2025-02-12 00:46:27,VENGA PACA Y THE KOLORS Q TENGO SUEÑO #Sanremo2025
The Kolors,2025-02-12 00:44:43,"sto resistendo solo per i the kolors
#Sanremo2025"
The Kolors,2025-02-12 00:39:18,"sto resistendo solo in funzione dei the kolors, loro sono stati dei furbacci maledetti a mettermeli per ultimi perché né io né metà italia possiamo perderceli #Sanremo2025"
The Kolors,2025-02-12 00:59:50,The Kolors em noite de Raffaela Carrá #SANREMO2025
The Kolors,2025-02-12 00:58:49,I the Kolors cresciuti a pane e JYP
The Kolors,2025-02-12 00:49:09,siamo quasi arrivati ai the kolors possono darmi o l'effetto di una striscia di coca o deludermi terribilmente mi raccomando stash
The Kolors,2025-02-12 00:58:11,NEANCHE IL TEMPO DI SCENDERE LE SCALE E HANNO USCITO IL CAPEZZOLO FORZA THE KOLORS SFAMATECI
The Kolors,2025-02-12 00:52:33,FINALMENTE I THE KOLORS NAPOLI ON TOP CASERTA ON TOP FORZA STASH PRENDIAMOCI TUTTA CASERTA ANDIAMOOOO CASERTANIIIIIII E NAPOLETANI E TUTTI I CAMPANI D’ITALIA PORCO DIOOOOOOOOO
The Kolors,2025-02-12 00:57:24,pronta a sentire l'hittona di quest'anno dei the kolors #Sanremo2025
The Kolors,2025-02-12 00:56:53,"I The Kolors cantano per ultimi perché Stash ci mette tempo a lavarsi i denti
#Sanremo"
The Kolors,2025-02-12 00:59:42,Finalmente un po’ di allegria con i The Kolors #Sanremo2025
The Kolors,2025-02-12 00:52:42,THE KOLORS SALVATEMI QUESTA SERATA CON UNA CANZONE DAL TESTO ETERO BASICO E TUTTAVIA DALLE SONORITÀ VAGAMENTE OMOSESSUALI HO BISOGNO DI VOI DI QUELLO CHE SAPETE FARE GRAZIE #Sanremo2025
The Kolors,2025-02-12 00:58:53,calcutta ha scritto la canzone dei the kolors ci pensate
The Kolors,2025-02-12 00:58:19,il batterista dei the kolors il travis barker italiano
The Kolors,2025-02-12 00:58:37,convinta fino a questo momento che i the kolors fossero cinque
The Kolors,2025-02-12 00:57:29,I THE KOLORS A SANREMO #Sanremo2025
The Kolors,2025-02-12 00:58:12,the kolors get introduced to italodisco and not un ragazzo una ragazza because yes! #sanremo2025
The Kolors,2025-02-12 00:58:53,"THE KOLORS LI HO MESSI COME CAPITANI E MI SI PRESENTANO IN TOTAL BLACK, PARTIAMO MALISSIMO
#sanremo2025"
The Kolors,2025-02-12 00:58:43,"Io lo sapevo che i the kolors non mi avrebbero deluso al fantasanremo, capitani miei #sanremo2025"
The Kolors,2025-02-12 00:43:43,io ho un’idea facciamo finta che mahmood con tuta gold non si sia mai presentato lo mettiamo qui dopo i the kolors e lo facciamo vincere
The Kolors,2025-02-12 00:57:39,THE KOLORS #Sanremo2025
The Kolors,2025-02-12 00:54:48,voglio un meme dei the kolors come quello dell’anno scorso. solo loro possono salvare questo festival #sanremo2025
The Kolors,2025-02-12 00:57:31,THE KOLORS
The Kolors,2025-02-12 00:59:31,I the kolors poverini con questo sanremo si faranno molto molto male
The Kolors,2025-02-12 00:59:12,i the kolors devono fare sempre dei bop mi dispiace è così dobbiamo accettarlo!
The Kolors,2025-02-12 00:59:40,29. I The Kolors non si smentiscono mai!!! Tormentone! #Sanremo #Sanremo2025
The Kolors,2025-02-12 00:49:02,"dubito che i the kolors mi facciano cambiare idea quindi esco la mia top5 (probabilmente cambierà) 

olly
bresh
brunori 
joan 
willie"
The Kolors,2025-02-12 00:57:54,"[ #Sanremo2025 - 1e soirée]

TUTTA L'ITALIA attend désormais la 29ème et ultime prestation de la soirée.

Le cru 2025 sera désormais au complet avec les revenants The Kolors (auteurs du tube ""Italodisco"") et ""Tu con chi fai"""
The Kolors,2025-02-12 00:52:31,Need The Kolors to be as good as last year so bad let’s end on a banger  #Sanremo2025
The Kolors,2025-02-12 00:59:37,"CIOÈ I THE KOLORS SONO GLI ULTIMI AD ESIBIRSI ALL’UNA DI NOTTE E STASH È PIÚ CARICO DI TUTTI
IL MIO CAPITANOOOOOOO

#sanremo2025"
The Kolors,2025-02-12 00:51:50,the kolors se viene hit
The Kolors,2025-02-12 00:59:51,grazie di esistere the kolors
The Kolors,2025-02-12 00:57:49,"Irama, Rose Villain e i The Kolors (Sanremo 2024 - Sanremo 2025)

#Sanremo2025"
The Kolors,2025-02-12 00:57:52,"i the kolors ancora non sono scesi e già SCAPEZZOLANO io non ce la faccio li amo
#Sanremo2025"
The Kolors,2025-02-12 00:51:10,STASH E I THE KOLORS FACIMM BURDELL P PIACER  #Sanremo2025
The Kolors,2025-02-12 00:58:25,è arrivato quel momento della serata eccoci con i the kolors #sanremo2025
The Kolors,2025-02-12 00:59:39,the kolors la misma cancion de siempre que me meteré por el culo igualmente
The Kolors,2025-02-12 00:51:11,ora the kolors
The Kolors,2025-02-12 00:53:01,"STASH E I THE KOLORS FATECI SVEGLIARE CON UNO DEI VOSTRI BOPPONI VI PREGO 
#Sanremo2025"
The Kolors,2025-02-12 00:58:49,I the kolors giusto un po’ incazzati per l’ora  #sanremo2025
The Kolors,2025-02-12 00:57:34,"The Kolors terza participazione al festival, percepito 3000 volte

#Sanremo2025
#Sanremo25"
The Kolors,2025-02-12 00:58:58,"The 29th and final artist to perform tonight (WE MADE IT, GUYS!) are The Kolors with Tu con chi fai l'amore.

#Sanremo2025"
The Kolors,2025-02-12 00:59:34,la seconda parte delle performance mi hanno svegliato bravi stash and the kolors !!! Chi vuole andare al concerto con me
The Kolors,2025-02-12 00:59:33,The kolors come sempre ti droppano la hit #sanremo2025
The Kolors,2025-02-12 00:59:07,THE KOLORS: Mykonos… ma questa non era Ibiza? #sanremo2025 #tvtalk
The Kolors,2025-02-12 00:59:25,"#Sanremo2025
The Kolors chiudono la serata con un nuovo tormentone, che mi sa un po' di Malgioglio.
La cosa più bella è il microfono vintage."
The Kolors,2025-02-12 00:59:49,"Che carinaaaa

I the kolors ormai cacciano solo hit #Sanremo2025"
The Kolors,2025-02-12 00:56:56,Comunque sto jingle poteva benissimo essere il brano dei The Kolors e invece no #Sanremo2025
The Kolors,2025-02-12 00:58:25,Comunque il cantante dei the kolors mangerei
The Kolors,2025-02-12 00:50:58,se i the kolors non mi danno il tormentone dell’anno mi impicco
The Kolors,2025-02-12 00:01:22,IO VI DICO CHE SONO COSÌ DISPERATA CHE SE LA CANZONE DEI THE KOLORS NON ITALODISCA ABBASTANZA IO COMMETTO IL GESTO ESTREMO MI TIENE SVEGLIA SOLO QUESTA SPERANZA #Sanremo2025
The Kolors,2025-02-12 00:59:44,a una certa pensavo che il batterista dei The Kolors fosse Travis Barker #SANREMO2025
