artist,datetime,content
Willie Peyote,2025-02-12 00:52:30,"Recién la canción número 11, ""Grazie ma no grazie' de Willie Peyote. Por ahora es mi preferida, veremos."
Willie Peyote,2025-02-12 00:33:27,"top 5
simone cristicchi
willie peyote
fedez
gaia
olly"
Willie Peyote,2025-02-12 00:51:05,"Il mio podio in ordine sparso: 
Lucio Corsi. Willie Peyote, Brunori Sas.
Ho detto."
Willie Peyote,2025-02-12 00:49:38,mia top 5 in ordine sparso joan lucio giorgia brunori e forse willie peyote (giratevi dall'altra parte) buona notte
Willie Peyote,2025-02-12 00:51:29,"Le scarpe di 
@willie_peyote
 al Festival: il suo tocco granata a #Sanremo2025 
#Toro #Torino"
Willie Peyote,2025-02-12 00:51:04,"Devo riascoltarle tutte ma dopo questa prima serata Cristicchi, Giorgia, Irama, Achille Lauro, Brunori Sas, Olly e con grande sorpresa Fedez miei prefe. Meritano una menzione speciale anche Coma_Cose, Willie Peyote, Bresh e Joan Thiele #sanremo25"
Willie Peyote,2025-02-12 00:34:28,Scusate ragazzi stavo al cinema non ho visto nulla Willie Peyote ha detto juve merda in diretta nazionale o no?
Willie Peyote,2025-02-12 00:56:21,"I miei prefe (non richiesti da nessuno) dopo il primo ascolto: Willie Peyote, Lucio Corsi, Brunori Sas!

Nota a margine per Giorgia e la sua eleganza in tutto!
#sanremo2025"
Willie Peyote,2025-02-12 00:08:13,Testo e accordi - Grazie ma no grazie - Willie Peyote http://dlvr.it/THwWl4
Willie Peyote,2025-02-12 00:02:46,"WILLIE PEYOTE E LUCA RAVENNA IL DUO DI CUI AVEVAMO BISOGNO
 #Sanremo2025"
Willie Peyote,2025-02-12 00:35:37,Mio preferito per ora Willie Peyote
Willie Peyote,2025-02-12 00:04:22,"Io guardo questo festival da fan di Brunori Sas e Willie Peyote e infatti non ho avuto nessuna delusione.

#Sanremo2025"
Willie Peyote,2025-02-12 00:27:50,"per ora WIllie Peyote e poi tutti gli altri, per oggi però devo fermarmi perché purtroppo domani si lavora"
Willie Peyote,2025-02-12 00:26:18,"Prima parte tutta horror eccetto Giorgia e Coma Cose
Migliori nella seconda parte con Olly, Elodie, Ranieri ecc
Terza parte si salva solo Bresh per ora

Da risentire: ROSE VILLAIN
Da ultimo posto: BELLA,WILLIE PEYOTE, GRUPPO SHABLO, SERENA BRANCALE

#Sanremo2025"
Willie Peyote,2025-02-12 00:54:21,io comunque mi sento di dire che le mie prefe sono serena joan thiele elodie lucio willie peyote penso ma non ho sentito la connessione con nessuna bo..  vediamo quali cresceranno su di me
Willie Peyote,2025-02-12 00:21:40,"Mi sento di dire con quasi assoluta certezza che le canzoni migliori sono Brunori, Lucio Corsi, Coma_Cose e Willie Peyote, e con questo buonanotte raga"
Willie Peyote,2025-02-12 00:58:53,Per questa prima serata di #sanremo mi sento di ringraziare solo Willie Peyote.
Willie Peyote,2025-02-12 00:06:54,Willie peyote Brunori Sas io vi porterò in top 5 fosse l'ultima cosa che faccio
Willie Peyote,2025-02-12 00:33:41,"Canzoni che mi sono rimaste in testa (per ora): 
Brunori, Cristicchi, Fedez, Olly, Willie Peyote.
#Sanremo2025"
Willie Peyote,2025-02-12 00:38:28,Willie Peyote e il dettaglio delle scarpe che non è sfuggito ai social: la reazione del Torino è ironica
Willie Peyote,2025-02-12 00:58:34,"Retorica, buoni sentimenti e un pizzico di noia. Ma senza cumbia. Prendendo in prestito il titolo di Willie Peyote, viene da dire solo: ""Grazie ma no, grazie""
#Sanremo2025"
Willie Peyote,2025-02-12 00:05:19,"A Willie Peyote hanno detto ""vai e divertiti"" ma lui ha capito ""Fai esplodere i fegati""

#sanremo2025"
Willie Peyote,2025-02-12 00:29:45,Willie Peyote levou a paixão pelo Torino estampada nos calçados.
Willie Peyote,2025-02-12 00:15:07,Ho creato una famiglia costituita da brunori padre Elodie madre Lucio corsi figlio Massimo Ranieri nonno willie peyote zio
Willie Peyote,2025-02-12 00:36:54,"Aspettavo solo Cristicchi, Willie Peyote e Brunori e solo loro mi hanno effettivamente dato qualcosa
In un'insalatona senza senso almeno un po' di cantautorato, che sia struggente, cinico o dolce, è CANTAUTORATO!!!!
#Sanremo2025"
Willie Peyote,2025-02-12 00:17:59,questo è un willie peyote brunori sas lucio corsi stan account
