artist,datetime,content
Fedez,2025-02-15 00:51:52,oggi (è quasi l’una) fedez vincerà questa edizione di sanremo segnatevi queste parole
Fedez,2025-02-15 00:50:18,"C'è da dire che in questo festival #Fedez sprizza serenità da tutti i pori.
#Sanremo2025"
Fedez,2025-02-15 00:43:43,"A Fedez tutto il casino che ha vissuto gli ha fatto benissimo, artisticamente parlando...

#Sanremo25"
Fedez,2025-02-15 00:46:23,Blocco pochi con Fedez in mezzo per farvi riprendere fiato #sanremo2025
Fedez,2025-02-15 00:56:49,"Fedez mi ha fatto troppa tenerezza questa sera con la cover,ma allo stesso tempo quanto hanno spaccato?
Che barre fenomenali e potenti ha scritto?
Perfavore fedez torna nella tua era
#sanremo2025"
Fedez,2025-02-15 00:48:48,"Ullalà Fedez e Marco Masini hanno appena vinto la serata delle cover 

#Sanremo2025"
Fedez,2025-02-15 00:55:17,Ma Fedez ha deciso di divorare in questo Sanremo? Arriva come un pugno dritto allo stomaco #Sanremo2025
Fedez,2025-02-15 00:46:36,TRA TUTTI PROPRIO BRESH DOVETE SABOTARE C'ERA FEDEZ LÌ 5 MINUTI FA
Fedez,2025-02-15 00:59:17,"comunque qua lo dico, lasciando perdere la storia dietro, fedez sta facendo un sanremo bellissimo #Sanremo2025"
Fedez,2025-02-15 00:46:30,"Bella la cover di Masini e Fedez, ma ormai si fatica a credere alla genuinità del rapper. Con tutto il rispetto dovuto, non credo di cascarci #Sanremo2025"
Fedez,2025-02-15 00:45:06,"se questa cosa che è successa a breshino fosse successa a fedez avremmo avuto un decesso in diretta, se invece fosse successa a tony effe probabilmente un arresto"
Fedez,2025-02-15 00:42:33,"La faccia di fedez, poca ansia.
Da masiniana posso dire chr mi e piaciuto tutto? Posso o no?#Sanremo2025"
Fedez,2025-02-15 00:45:32,"Masterclass di Conti che per evitare inutili perdite di tempo presenta da solo Fedez e Bresh mettendo da parte Geppi e Mahmood.
#Sanremo2025
#Sanremo"
Fedez,2025-02-15 00:52:35,non lo so fedez mi sembra sull’orlo di un mental breakdown potentissimo non l’ho mai visto in queste condizioni #sanremo2025
Fedez,2025-02-15 00:49:44,Bom #COAC2025C1
Fedez,2025-02-15 00:46:48,"Oh, io ho pianto…..ps: purtroppo penso sempre a quei bimbi belli…non posso farci niente 
#Fedez #marcomasini #sanremo25"
Fedez,2025-02-15 00:48:40,"quella di fedez è stata una delle cover più belle di questa sera anche se molti non lo ammetteranno mai !!

#Sanremo2025"
Fedez,2025-02-15 00:53:24,"il modo in cui masini si è adattato ad un’esigenza reale di fedez e per me hanno creato la cover più bella di questa sera
#sanremo2025"
Fedez,2025-02-15 00:46:55,Comunque questo festival fa rinascere a livello artistico Fedez ha fatto un festival grandioso ripeto a livello artistico.#Sanremo2025
Fedez,2025-02-15 00:57:48,"Fedez está haciendo un #Sanremo2025 para ganar.
 https://x.com/zabetta97/status/1890550160612065304/video/1…"
Fedez,2025-02-15 00:46:39,Carlo Conti e il tecnico del microfono
Fedez,2025-02-15 00:46:11,"Federico con gli occhi lucidi che ascolta gli applausi del pubblico. Te li meriti tutti 

#Sanremo2025 #Fedez"
Fedez,2025-02-15 00:43:22,"mi dispiace per voi ma fedez è la più grande dimostrazione del “i coglioni vanno inculati” putroppo wanna marchi aveva ragione

#sanremo2025"
