artist,datetime,content
Irama,2025-02-14 22:43:36,"Irama usami, straziami, strappami l’anima e ti dico pure grazie.
#Sanremo2025"
Irama,2025-02-14 22:15:04,abbiamo appena assistito alla coppie serena-ale amo e irama-arisa. sono rimasto dieci minuti incollato alla tv sbalordito dal livello delle loro esibizioni. CHAPEAU. #Sanremo2025
Irama,2025-02-14 22:46:48,"Filippo si è impegnato tantissimo, ha sempre dichiarato di avere difficoltà in inglese, e sta facendo tantissimi progressi.
Le loro voci si sposano perfettamente.
Non sono ammesse critiche!
#irama #Sanremo2025"
Irama,2025-02-14 22:30:04,nel 2025 ancora con benji e fede dite tanto di irama ma quelli che campano di rendita sono proprio loro
Irama,2025-02-14 22:11:13,cinque minuti persi per gli elogi tra irama e arisa ora urla
Irama,2025-02-14 22:14:36,"per ora i migliori duetti sono stati serena ed aleamo ed irama con arisa 

 #Sanremo2025"
Irama,2025-02-14 22:11:36,say something una delle canzoni più belle del mondo irama e ariana sono stati bravissimi stupendi meravigliosi #Sanremo2025
Irama,2025-02-14 22:10:24,Se Irama e Arisa avessero portato Another Love di Tom Odell sarebbe venuto giù l’Ariston  #Sanremo2025
Irama,2025-02-14 22:13:57,"le corde di emozione che hanno fatto vibrare in me irama e arisa, poche volte le ho vissute.
che meraviglia, che bella la musica, la condivisione delle voci. "
Irama,2025-02-14 22:52:43,"per ora le migliori cover: clara, irama e marcella bella"
Irama,2025-02-14 22:14:44,"irama e arisa cosa non siete stati 
#Sanremo2025"
Irama,2025-02-14 22:24:02,"MAMMA MIA IRAMA E ARISA HANNO DIVORATO TUTTO 
#Sanremo2025"
Irama,2025-02-14 22:18:19,"A Arisa e Irama avrei fatto cantare Non amarmi perchè ci vuole un duetto cazzaro dove a casa scatta il momento karaoke, non i virtuosismi"
Irama,2025-02-14 22:49:44,"Say Something, quella canzone che ad Irama cantava sempre da piccolo una persona a lui cara…

e poi l’ultimo incontro tra Irama e la persona a cui è dedicata Lentamente è avvenuto proprio sulle note di questa canzone, i brividi a pensarci… #Sanremo2025"
Irama,2025-02-14 22:15:44,"#Arisa e #Irama. No, non è uno scioglilingua.
#sanreno2025 
@bedda_matrix
 
#BeddaMatrix"
Irama,2025-02-14 22:11:21,"Grande #Arisa!  #Irama troppo prevaricante, per me, comunque bravi  #Sanremo2025"
Irama,2025-02-14 22:23:05,"Pensavo fosse un citofono invece era #Irama.

#sanremo2025 #Klåus"
Irama,2025-02-14 22:13:42,arisa e irama semplicemente POESIA. #sanremo2025
Irama,2025-02-14 22:13:28,Renga dicci chi canta meglio tra Arisa (donna) e Irama(uomo) #Sanremo2025
Irama,2025-02-14 22:11:49,"Irama e Arisa, porca merda, sono stati bravissimi! #Sanremo2025"
Irama,2025-02-14 22:13:43,Arisa non delude mai quella voce e’ un dono divino … Irama splendido #Irama #Arisa #say something .. #sanremo25 #Sanremo2025
Irama,2025-02-14 22:14:42,"Irama e Arisa da pelle d’oca! Due anime splendide che si incontrano possono solo generare magia! 

#SANREMO2025"
Irama,2025-02-14 22:15:26,Solo il coraggio vostro ci vuole stasera per dire qualcosa contro a Irama. BRIVIDI. #sanremo2025 #sanremo25 #sanremo
Irama,2025-02-14 22:13:14,"irama e arisa perfetti, da brividi #Sanremo2025"
Irama,2025-02-14 22:19:04,"Mi aspettavo tanto da loro due, ma Arisa e Irama hanno totalmente superato le mie aspettative 
Brividi dall'inizio alla fine
Sono stati potenti e leggiadri allo stesso tempo
DEVASTANTI
#sanremo25 #sanremo2025"
Irama,2025-02-14 22:34:18,"Brava Geppi tu puoi bullizzare Carlo Conti quanto vuoi, sei esonerata dal discorso di Irama

#Sanremo #Sanremo2025 #Sanremo25"
Irama,2025-02-14 22:49:23,filippo io ancora sto piangendo non puoi farmi sorridere così
Irama,2025-02-14 22:25:28,"#Sanremo2025, Irama e Arisa cantano la cover Say something. Il brano del duo statunitense A Great Big World, in collaborazione con Christina Aguilera"
Irama,2025-02-14 22:12:09,IL MOMENTO IN CUI IRAMA E ARISA SI SONO DIMENTICATI DI ESSERE UMANI BRAVI #sanremo2025
Irama,2025-02-14 22:14:49,i complimenti fra irama e arisa cosa più falsa di sto mondo
Irama,2025-02-14 22:11:45,COSA HANNO FATTO ARISA E IRAMA MAMMA MIA #Sanremo2025
Irama,2025-02-14 22:16:28,"Post Say something di Irama e Arisa
#sanremo25"
Irama,2025-02-14 22:21:54,"VOTATE, VOTATE, VOTATE...
CON IL CODICE 08 questo duetto con le voci più belle che abbiamo in Italia
#Irama  #Sanremo2025"
Irama,2025-02-14 22:42:25,sto provando da troppo tempo a trovare una frase da scrivere nelle storie con allegato il video dell’esibizione di say something raga non so che cazzo dire vi giuro non mi riprendo
Irama,2025-02-14 22:14:39,Chiudete l'audio a Irama. #Sanremo2025
Irama,2025-02-14 22:17:39,"Clara+Volo
Irama+Arisa
I miei duetti preferiti fino ad ora
#sanremo25"
Irama,2025-02-14 22:18:43,"L’immensità. Arisa e Irama da brividi, perfetti, sono entrati dritti nell’anima perforandola e lasciando tutti a bocca aperta . #Sanremo2025"
Irama,2025-02-14 22:16:22,"Penso che rimarrò qui per molto tempo... Che capolavoro 

#Sanremo2025
#irama"
Irama,2025-02-14 22:11:50,"Wow! That was incredible! Complimenti Irama and Arisa 

WOW! #Sanremo2025"
Irama,2025-02-14 22:13:51,Irama e Arisa insieme semplicemente da pelle d’oca. #Sanremo2025
Irama,2025-02-14 22:44:08,"Strano modo di dichiararsi a San Valentino Irama, ma io ACCETTO VOLENTIERI #sanremo2025"
Irama,2025-02-14 22:27:15,Scusate ma la serata Cover è l'unica che guardo e non me la perdo. Arisa e Irama STREPITOSI. #sanremo25 #sanremo
Irama,2025-02-14 22:11:44,Lo strazio di irama che rovina una delle mie canzoni preferite
Irama,2025-02-14 22:13:47,"irama e arisa cosa cazzo avete combinato
letteralmente i brividi
#Sanremo2025"
Irama,2025-02-14 22:29:20,"ARISA E IRAMA COSA AVETE COMBINATO
#Sanremo2025"
Irama,2025-02-14 22:14:21,"la meraviglia che hanno creato irama e arisa, le loro voci stupende, i violini, l’atmosfera, è stato tutto perfetto mi serve un attimo per riprendermi 

#sanremo2025"
Irama,2025-02-14 22:14:56,"questa sera #irama si merita il podio, e non siamo nemmeno a metá delle esibizioni. troppo forte questo ragazzo, gli auguro di vincere #sanremo un giorno e di andare all eurovision

#sanremo25 #sanremo2025"
Irama,2025-02-14 22:19:05,"comunque nessuna cover pessima (quella di tony è stata salvata da noemi ma dettagli)

per ora la migliore quella di irama e arisa peró anche aleamo con serena brancale meritano #sanremo2025"
Irama,2025-02-14 22:29:15,"Irama e Arisa pura magia!
#Irama #Arisa"
Irama,2025-02-14 22:17:18,"Che voce Irama mamma mia 
 #Sanremo2025"
Irama,2025-02-14 22:10:33,arisa e irama vi denuncio mi avete fatto piangere
Irama,2025-02-14 22:29:00,"#Sanremo2025 #Irama e #Arisa in ""Say something"" nella serata delle cover e duetti. 
Su 
@RaiUno
 @RaiPlay
 @RaiRadio2
@IRAMAPLUME
 @ARISA_OFFICIAL"
Irama,2025-02-14 22:59:44,"Rose 40
Clara 30
Rkomi 10
Tony 55
Noemi 55
Francesca 10
Modà 45
Irama 20
Gaia 30
Lucio 40
Brancale 20
The kolors 100
Marcella 90
Rocco 45"
Irama,2025-02-14 22:15:45,Sto piangendo  #sanremo25 #irama
Irama,2025-02-14 22:14:17,"Can we have an Arisa and Irama duet at #eurovision one year please

It would be incredible!!  #sanremo2025"
Irama,2025-02-14 22:15:05,"Spero che sempre più persone riescano ad apprezzare la tua voce e il tuo estro musicale superando i preconcetti diffusi su di te Filippo: sei arte pura.
Duetto pazzesco! 
#Irama #sanremo25 #Sanremo2025"
