artist,datetime,content
Lucio Corsi,2025-02-14 22:40:36,"ancora ferma ai due topini aka Lucio Corsi e Topo Gigio boh sciogliendomi 
#Sanremo2025"
Lucio Corsi,2025-02-14 22:32:29,"io una bimba di Lucio Corsi e topo Gigio per sempre

#sanremo2025"
Lucio Corsi,2025-02-14 22:43:37,"ecco inedite alcune foto della casa di Lucio Corsi
#Sanremo2025"
Lucio Corsi,2025-02-14 22:44:55,cmq post seduta dalla psico vedere le esibizioni di lucio corsi e riascoltare la sua canzone mi sta facendo un bell'effetto perché mi fa riflettere su quanto non devo per forza nascondere lati di me come la spontaneità o la dolcezza o la vulnerabilità e che va bene essere diversi
Lucio Corsi,2025-02-14 22:21:47,"La più grande scoperta di questo festival, per noi del pubblico generalista, è stato Lucio Corsi (o conferma per chi già era suo fan)"
Lucio Corsi,2025-02-14 22:33:14,"Sconcertante che Tony Effe e Lucio Corsi facciano lo stesso mestiere. 

#LucioCorsi #Sanremo2025"
Lucio Corsi,2025-02-14 22:09:04,"Lucio Corsi e Topo Gigio 

Peccato la mancanza di rispetto di Conti e poi di Mahmood che hanno totalmente ignorato Lucio Corsi, lasciandolo lì solo.
Una grande tristezza, dopo un momento magico.
Non è da tutti saper volare nel blu dipinto di blu!"
Lucio Corsi,2025-02-14 22:23:08,"Despues de ver lo de Lucio Corsi y Topo Gigio, Simone Cristicchi podria haber hecho una cover preciosa con Lublu el de los Lunnis

#Sanremo2025"
Lucio Corsi,2025-02-14 22:35:30,"topo gigio e lucio corsi vi voglio benissimo 
#Sanremo2025"
Lucio Corsi,2025-02-14 22:45:48,"Io se qualcuno dovesse dire una parola contro Lucio Corsi davanti a me
#Sanremo2025"
Lucio Corsi,2025-02-14 22:32:04,"carloco che ringrazia e saluta topo gigio e NON DICE UNA SINGOLA PAROLA A LUCIO CORSI IO BOH TRATTA I CONCORRENTI COME SE FOSSERO I MENO IMPORTANTI DI TUTTO IL FESTIVAL 

#Sanremo2025"
Lucio Corsi,2025-02-14 22:19:41,31 años tiene solo lucio corsi
