artist,datetime,content
Olly,2025-02-15 00:41:44,bresh é tutto ciò che olly sogna di essere
Olly,2025-02-15 00:52:13,non benjamin che reposta il meme su olly e benji #sanremo2025
Olly,2025-02-15 00:59:52,"vi giuro che se olly in questa cover è più in alto di bresh o in generale raggiunge anche solo la top ten io mi presenterò personalmente all'ariston a disfare tutto l'impianto, altro che problemi tecnici"
Olly,2025-02-15 00:55:18,"Olly non ha proprio capito il senso della canzone, lui si è fermato al ritmo, Bresh ha portato la memoria di De Andrè con rispetto"
Olly,2025-02-15 00:49:16,Questa esibizione meravigliosa che sicuramente sarà molto più bassa in classifica rispetto a quella baracconata portata da Olly #Sanremo2025
Olly,2025-02-15 00:48:05,"Breshino ha appena preso Olly per l'orecchio, gli ha scacazzato sul mullet e gli ha insegnato come cantare De Andrè"
Olly,2025-02-15 00:42:31,"ma perché olly non ha fatto il duetto con benji e fede 
pensate che ridere 
olly ft benji e fede"
Olly,2025-02-15 00:42:38,hanno ritardato perché cristiano de andré stava inseguendo olly dietro le quinte
Olly,2025-02-15 00:44:12,DOVEVA CAPITARE A OLLY
Olly,2025-02-15 00:56:43,"mi piace olly e sono una sua fan ma stasera se si trova sul podio davvero è scandalo

l’unico genovese che può stare lì è Bresh 

#Sanremo2025"
Olly,2025-02-15 00:07:34," Olly con Goran Bregović e la Wedding & Funeral Band cantano “Il pescatore” a #Sanremo2025

L'esibizione integrale è su RaiPlay
In audio su RaiPlay Sound"
Olly,2025-02-15 00:49:33,Nonostante i problemi tecnici Bresh nettamente meglio di Olly #Sanremo2025
Olly,2025-02-15 00:47:30,"Vai Bresh, spiega a Olly come si fa una cover di De Andrè 

#Sanremo2025"
Olly,2025-02-15 00:43:57,"Olly ha spento il microfono a Bresh per ripicca perché sa che non può competere 

#Sanremo2025"
Olly,2025-02-15 00:51:57,Ma quello è perché si è preso a male parole con Olly dietro le quinte #sanremo2025
Olly,2025-02-15 00:50:08,capite la differenza tra de andrè portato da olly cursed e de andrè portato da bresh good?
Olly,2025-02-15 00:29:56,oddio hanno sbagliato il codice di Olly ora Marta Donà picchia carlo conti nel backstage
Olly,2025-02-15 00:52:51,"Qualcuno all’ariston ha urlato ‘forza Doria , bravo olly” LA MIA GENTE MADONNA   #Sanremo2025"
Olly,2025-02-15 00:54:11,se olly è sopra bresh in questa serata (ma sempre) non risponderò più di me
Olly,2025-02-15 00:49:08,Olly è così che si omaggia la Liguria
Olly,2025-02-15 00:31:35,Il codice di Olly sbagliato avvistata md devastare i camerini in segno di protesta #sanremo2025
Olly,2025-02-15 00:43:23,"bresh è un olly che ce l'ha fatta ma non ce la fate a capirlo
#Sanremo2025"
Olly,2025-02-15 00:51:22,bresh comunque ha di nuovo pisciato in testa a olly ma il paese reale ha deciso che è meglio quest'ultimo #sanremo2025
Olly,2025-02-15 00:30:27,Oddio Carlo Conti ha sbagliato il codice di Olly ora Marta Donà fa annullare la serata cover vedete voi
Olly,2025-02-15 00:50:14,"Sabotato il genovese sbagliato, ovvero quello con la cover bella di De André.
Dio prendi le sofferenze di Bresh durante questa esibizione e dalle a Olly"
Olly,2025-02-15 00:48:06,md potrà sabotare bresh ma quel mostro di olly non avrà mai queste occhiaie cuntiche di breshino
Olly,2025-02-15 00:47:54,MARTA DONÀ LO SO CHE SEI TU CHE CERCHI DI BOICOTTARE BRESH PERCHÉ VUOI CHE SIA OLLY A VINCERE CON UNA CANZONE DI DE ANDRE #Sanremo2025
Olly,2025-02-15 00:38:36,"Se non vince Olly vince Fedez, purtroppo è questa la verità."
Olly,2025-02-15 00:44:11,"Olly non può vincere il derby quindi mette fuori uso il microfono di Bresh. Tutto logico per me.

#Sanremo2025"
Olly,2025-02-15 00:29:50,olly sabotato con il codice e nessuno se n'era accorto
Olly,2025-02-15 00:41:07,Cristiano De Andrè è arrivato in ritardo sul palco perché stava finendo di menare Olly #Sanremo2025
Olly,2025-02-15 00:48:41,"togliete i problemi al microfono di bresh, moltiplicateli e dateli a olly, basta
sono stanca #Sanremo2025"
Olly,2025-02-15 00:04:14,Olly con il gigantesco Bregovic ha realizzato qualcosa di inspiegabile e bellissima #Sanremo2025
Olly,2025-02-15 00:50:16,bresh palesemente boicottato da olly non faccio io le regole è semplicemente genova il derby della lanterna genoa-sampdoria si odiano ok
Olly,2025-02-15 00:49:06,Bresh >>> Olly #Sanremo2025
Olly,2025-02-15 00:05:29,"Comunque tutto quest'odio che state costruendo verso Olly,sta diventando un tantino pesante 

#Sanremo2025"
Olly,2025-02-15 00:10:09,"dai concerti a sanremo.
DICONO CHE È FESTA E LA FESTA SIAMO NOI ICO #Sanremo2025 #Olly 
@olly_nclusive"
Olly,2025-02-15 00:21:18,"Stasera sono poche la cover toppate. Le peggiori, PER ME, Cristicchi e Olly. Guarda un po' i super favoriti!?

#SANREMO2025"
Olly,2025-02-15 00:30:27,Il codice del televoto di Olly sbagliato chi è stato il genio lo voglio abbracciare
Olly,2025-02-15 00:41:54,Pensa il figlio di De Andrè mentre sentiva Olly rovinare la canzone del padre #SANREMO2025
Olly,2025-02-15 00:27:54,Se le bimbe di Olly lo votano dopo la merda che ha fatto solo perché è Olly non rispondo di me #Sanremo2025
Olly,2025-02-15 00:52:26,"Bresh >>>>> Olly 
E non dico altro
#Sanremo2025"
Olly,2025-02-15 00:08:18,Marta Donà spiegando alla sala stampa perché Olly merita di vincere nonostante la combo singolo-cover peggiore della storia
Olly,2025-02-15 00:53:46,"Marta Donà dietro le quinte dopo aver boicottato l'impianto fonico di Bresh perché altrimenti avrebbe fatto un omaggio a De André migliore di Olly 

#Sanremo2025"
Olly,2025-02-15 00:49:16,Bresh è tutto quello che pensate  sia Olly. Bresh su un altro pianeta. Mille volte meglio #Sanremo2025
Olly,2025-02-15 00:16:13,Literally Irama Olly and Achille this sanremo
Olly,2025-02-15 00:47:58,"Duetti de andré 
Bresh>>>>>>Olly  #Sanremo2025"
Olly,2025-02-15 00:42:57,OLLY HA SABOTATO VERAMENTE L'ESIBIZIONE NON CI CREDO #sanremo2025
Olly,2025-02-15 00:30:31,marta la t4rma pronta a uccidere carlocò per aver sbagliato il codice di olly #sanremo2025
Olly,2025-02-15 00:57:36,"Also dirò che se la canzone di Olly l'avesse portata Irama stareste parlando di noiaaa

#Sanremo #sanremo25 #Sanremo2025"
Olly,2025-02-15 00:50:02,Sulle cover di #DeAndre mi spiace ma vince #Bresh 2-1 su #Olly nonostante il VAR  #Sanremo2025
Olly,2025-02-15 00:13:49,L’Empire State Building fa i complimenti ad Olly per la cover. #Sanremo2025
Olly,2025-02-15 00:32:40,"Hanno sbagliato il codice di Olly, la manager non la prenderà benissimo (darà fuoco al camerino di Carlo) #Sanremo2025"
Olly,2025-02-15 00:39:56,se è l’unico modo per non far vincere sta merd FORZA OLLY
Olly,2025-02-15 00:49:40,"Bresh caga largamente in testa a olly e questa cover supera di gran lunga quella di olly (salvata solo dalla banda)
#Sanremo2025"
Olly,2025-02-15 00:32:48,spero che Olly stia guardando Brunori così può capire come si fa una cover senza far bestemmiare la gente #Sanremo2025
Olly,2025-02-15 00:38:34,The voices are winning tonight
Olly,2025-02-15 00:50:52,"Posso dire che nonostante i problemi tecnici Bresh e Cristiano De Andrè sono stati proprio bravi?
Decisamente meglio della cover di Olly
#Sanremo2025"
Olly,2025-02-15 00:43:35,Niente i poteri forti di Olly ci hanno boicottato bastardi
Olly,2025-02-15 00:50:34,la m4rta ha boicottato la cover di bresh perché olly ha devastato faber
Olly,2025-02-15 00:46:56,bresh sta facendo vedere a olly come si fa una cover di de andrè
Olly,2025-02-15 00:30:52,in che senso ha sbagliato il codice di olly???? siamo forse salvi????
