artist,datetime,content
Rkomi,2025-02-15 00:01:30,Olly non sarai mai rkomi nell'insuperabile era
Rkomi,2025-02-15 00:00:12,che è sta merda #Sanremo2025
Rkomi,2025-02-15 00:58:02,le canzoni di sanremo 2025 un beat così se lo sognano
Rkomi,2025-02-15 00:32:25,"i know we're not done but my top 10 in no particular order for tonight are giorgia/annalisa, achille/elodie, rkomi/francesca, the kolors, olly, joan thiele, lucio corsi, sarah toscano, gaia, and massimo ofc #Sanremo2025"
Rkomi,2025-02-15 00:37:01,le urla per fedez NO
Rkomi,2025-02-15 00:06:35,BRAVE MA FREDDINE
Rkomi,2025-02-15 00:47:35,comuqnue se la prendono tutti con rkomi per il corsivo quando bresh è li . sounding like a whole clown all the time
Rkomi,2025-02-15 00:48:40,"quella di fedez è stata una delle cover più belle di questa sera anche se molti non lo ammetteranno mai !!

#Sanremo2025"
Rkomi,2025-02-15 00:53:28,"Rose Villain 40
Moda 45
Clara 30
Tony effe 55
Noemi 55
Michielin 10
Rkomi 10
Lucio Corsi 40
Serena Brancale 20
Irama 20
Gaia 30
The kolors 100
Marcella bella 90
Rocco hunt 45
Gabbani 55
Giorgia 40
Cristicchi 20
Sarah toscano 80
Coma cose 65
Joan Thiele 20
Olly 65
Achille 60"
Rkomi,2025-02-15 00:54:58,"geppi: “dobbiamo ricantarla”
carlo conti: “NONONONO”

carlo conti nella sua testa: #Sanremo2025"
Rkomi,2025-02-15 00:20:40,elodie elodie imita un corvo o azzecca una cover a sanremo dai forza!!!!!! #Sanremo2025
Rkomi,2025-02-15 00:40:29,fedez vs olly domani sera sapete che faccio io io prendo e faccio una strage
Rkomi,2025-02-15 00:06:03,"Nella live del fantasanremo hanno detto i punteggi provvisori: i Coma Cose hanno fatto minimo 60 punti, Rkomi e Michielin 10 indovinate chi ha messo schierata la Michielin e lasciato in panchina i Coma Cose fancul0 perché sbaglio sempre
#Sanremo2025"
Rkomi,2025-02-15 00:35:47,scusate secondo tweet su sanremo della mia vita ma io a rkomi gli voglio bene che devo fare gli voglio bene come se avessee fatto la comunione con me quando eravamo piccoli non lo so
Rkomi,2025-02-15 00:24:12,rkomi
Rkomi,2025-02-15 00:22:47,mahmood outfit rubato a rkomi o forse è rkomi che ruba gli outfit a mahmood non lo so sono stanca
Rkomi,2025-02-15 00:02:59,Ragazzi parliamo tanto della fonetica di rkomi ma la pronuncia di Olly metterebbe in difficoltà anche Noam Chomsky
Rkomi,2025-02-15 00:44:43,"Top cuccioleria: Lucio Corsi, Rkomi e Bresh"
Rkomi,2025-02-15 00:37:11,rkomi è il palese frutto di una notte di sesso tra irama e topo gigio ditemi che lo vedete anche voi #sanremo2025
Rkomi,2025-02-15 00:35:00,codice sbagliato per farsi perdonare domani olly partirà con 500k voti in più al televoto
