artist,datetime,content
Rocco Hunt,2025-02-14 23:17:00,SANREMO | All'Ariston la voce di Pino Daniele con Rocco Hunt e Clementino. I due cantanti nel duetto attualizzano Yes I Know My Way #Sanremo2025 #ANSA https://ansa.it/sanremo_2025/notizie/artisti/2025/02/14/allariston-la-voce-di-pino-daniele-tutto-il-pubblico-in-piedi_7ab43bfd-166e-44aa-800a-1d54ea42d3d3.html…
Rocco Hunt,2025-02-14 23:08:05,"A ora salvo solo Rocco Hunt e Clementino.
E non so nemmeno se arrivo alla fine."
Rocco Hunt,2025-02-14 23:23:34,que vuelva Rocco Hunt #Sanremo2025
Rocco Hunt,2025-02-14 23:29:49,Giorgia e Annalisa al momento se la giocano con Rocco Hunt e Clementino secondo me #Sanremo #sanremo25 #sanremo2025
Rocco Hunt,2025-02-14 23:46:53,"è ora di far saltare questo profilo 
giorgia e annalisa dee voci incredibili ecc ecc ma a livello di emozioni… 
a me hanno trasmesso sinceramente più clementino e rocco hunt che loro ceh #Sanremo2025"
Rocco Hunt,2025-02-14 23:38:12,"#sanremo2025, #pagelle serata #cover in diretta. Giorgia e Annalisa, standing ovation (6,5). Pino Daniele rivive con Rocco Hunt (8)"
Rocco Hunt,2025-02-14 23:00:37,"Dalla prima serata col ""si 'na preta"" al batterista dei The Colors a Clementino e Rocco Hunt feat. Pino Daniele siamo ovunque e quantunque NapoliRules Soffriteci ciao
#sanremo25
#ForzaNapoliSempre"
Rocco Hunt,2025-02-14 23:24:59,io sto ancora pensando alla performance di clementino e rocco hunt e mi spiace per coloro che non hanno apprezzato non capite uno stracazzo di niente
Rocco Hunt,2025-02-14 23:13:33,"#Sanremo2025, Rocco Hunt e Clementino cantano ""Yes, I know my way"" del grande Pino Daniele"
Rocco Hunt,2025-02-14 23:43:35,"Il vero napoletano boccia Rocco Hunt e Clementino e fa vincere la cover di ""un giorno all'improvviso"" dei Coma Cose"
