artist,datetime,content
Sarah Toscano,2025-02-14 23:40:16,SARAH TOSCANO SEI LETTERALMENTE LA POP STAR  CHE SI MERITANO LE NUOVE GENERAZIONI
Sarah Toscano,2025-02-14 23:45:51,boh raga dire che sarah toscano “non ha il talento per stare su quel palco” significa o che siete sordi o che guardate sanremo con il muto sennò non si spiega #sanremo2025
Sarah Toscano,2025-02-14 23:40:52,sarah toscano a 19 anni a sanremo spaccando i culi e io più grande di lei qua sul divano a guardare e a twittare tutta sera #Sanremo2025
Sarah Toscano,2025-02-14 23:41:15,Oh mi ha sorpreso Sarah Toscano! Bella questa cover #Sanremo2025
Sarah Toscano,2025-02-14 23:39:44,"sarah toscano ha una voce che veramente non ha nulla da invidiare a tante altre cantanti di questo festival, PAZZESCA #sanremo2025"
Sarah Toscano,2025-02-14 23:43:38,19 anni e tra qualche anno sarà Sarah Toscano una tra le artiste più rilevanti a livello internazionale
Sarah Toscano,2025-02-14 23:43:57,"SEI UNA CAZZO DI POPSTAR SARAH TOSCANO
A 19 ANNI SU QUEL CAZZO DI PALCO HAI TIRATO FUORI TUTTO"
Sarah Toscano,2025-02-14 23:47:45,in un mondo di olly sii sarah toscano
Sarah Toscano,2025-02-14 23:46:02,sei da pelle d’oca  SARAH TOSCANO MERITI TUTTO E PUNTO
Sarah Toscano,2025-02-14 23:42:58,brava Sarah Toscano sei la crazy dita disco diva
Sarah Toscano,2025-02-14 23:39:31,SARAH TOSCANO È LA VERA RIVELAZIONE DI QUESTO SANREMO A PRESCINDERE DA QUELLO CHE DICONO QUEI CESSI DELLA STAMPA #Sanremo2025
Sarah Toscano,2025-02-14 23:38:40,"Sarah Toscano è una bravissima ragazza. Diligente, costante nell'impegno e propositiva"
Sarah Toscano,2025-02-14 23:44:14,Mi sono persa Sarah Toscano perché ho dovuto fermare tutto e spiegare il problema del Fentanyl in America
Sarah Toscano,2025-02-14 23:43:32,sarah toscano la dimostrazione che marisa il suo lavoro lo sa fare eccome…..
Sarah Toscano,2025-02-14 23:41:39,SARAH TOSCANO HAI SPACCATO #sanremo2025
Sarah Toscano,2025-02-14 23:47:34,che festival meraviglioso che sta facendo SARAH TOSCANO  #Sanremo2025
Sarah Toscano,2025-02-14 23:41:35,"sarah toscano a me è piaciuta dal giorno zero ad amici mi ricordo quando la scagavano tutti per preferire le altre ma mamma mia vedetela adesso che presenza scenica e che voce vi prego qualcuno le dica di smetterla di fare hit come sexy magica e le dia pezzi potenti 
#sanremo25"
Sarah Toscano,2025-02-14 23:39:07,"SARAH TOSCANO COS'HAI COMBINATO 
#Sanremo2025"
