artist,datetime,content
Serena Brancale,2025-02-14 23:33:58,"mia personale classifica per ora:
Serena Brancale e Alessandra Amoroso
Giorgia e Annalisa
Arisa e Irama (nonostante lui)
Gaia e Toquinho
(gli altri boh)"
Serena Brancale,2025-02-14 23:24:37,"Stasera Giorgia, Annalisa, Serena Brancale e Alessandra Amoroso volevano proprio far CROLLARE l’Ariston. #Sanremo2025 #TvTalk"
Serena Brancale,2025-02-14 23:14:25,"#Sanremo2025 Serena Brancale e Alessandra Amoroso che hann cantà 'If I ain't got you' dela Alicia Keys per mì ìnn stà el mument pusè bell del festival fin adèss. Superlatìv. 
Ghe n'è per nisùn.
Tac."
Serena Brancale,2025-02-14 23:38:52,serena brancale e aleamo sono state spanne sopra giorgia e annalisa ma non ve le cagate perché invece dei nomi elogiati sono i nomi perculati dalla tl I will STAND on my ground
Serena Brancale,2025-02-14 23:08:19,"Serena Brancale

#Sanremo2025"
Serena Brancale,2025-02-14 23:39:29,Il modo in cui Sarah Toscano non stia sbagliando assolutamente niente in questo festival tra canzone portata in gara e cover ma debba essere scagata solo perché Sarah Toscano (stesso discorso per Serena Brancale) #Sanremo2025
Serena Brancale,2025-02-14 23:26:27,"qui per andare contro corrente e contro me stessa di due secondi fa, alessandra amoroso e serena brancale per me sono state meglio di giorgia e annalisa sorry

le amo tutte e 4 ma questa è la mia personale verità #Sanremo2025"
Serena Brancale,2025-02-14 23:33:31,"Io il podio lo farei: 
1. Giorgia e Annalisa
2. Serena Brancale e AleAmo
3. Lucio Corsi e Topo Gigio

#Sanremo2025"
Serena Brancale,2025-02-14 23:47:53,"Al momento il miglior duetto tra voce ed emozioni trasmesse è quello di 
@AmorosoOF
 e Serena Brancale   Ho ancora i brividi #Sanremo2025 #Alessandraamoroso"
Serena Brancale,2025-02-14 23:25:53,"La standing ovation andava fatta pure per serena brancale e Alessandra amoroso ma purtroppo questo siamo.

#sanremo2025"
Serena Brancale,2025-02-14 23:55:56,"La canzone di Serena Brancale è in italiano con qualche inserto in barese. In più lei è una cantante navigata diplomata al conservatorio, sa effettivamente cantare. E suona. E in linea di massima è artisticamente agguerrita"
Serena Brancale,2025-02-14 23:28:28,"Dato che il festival è truccato e lo vince Serena Brancale vi posso dire che stasera il primo posto non fa né a Giorgia né a Cristicchi
Ci sentiamo tra un paio d'ore"
Serena Brancale,2025-02-14 23:34:16,Se il podio non vede Giorgia e Annalisa e Serena Brancale d Alessandra Amoroso insieme vi faccio passare un brutto quarto d'ora #Sanremo2025
Serena Brancale,2025-02-14 23:39:16,cmq state esaltando la cover di giorgia che è stata sovrastata completamente da annalisa perché la canzone non era nelle sue corde (anche per l'inglese) e poi dormite sulla cover di serena brancale poi la gente non ha ragione quando dice che fate a chi figl e a chi figliastr
