artist,datetime,content
The Kolors,2025-02-14 22:30:57,"#sanremo25 
The Kolors and Sal Da Vinci teaming up for his hit ""Rossetto e caffè"" is another very pleasant surprise."
The Kolors,2025-02-14 22:46:36,SAL DA VINCI THE KOLORS ROCCO HUNT E CLEMENTINO MI HANNO TRASPORTATA IN UNA DIMENSIONE PARALLELA VI AMO FORZA NAPOLI PER SEMPRE #Sanremo2025
The Kolors,2025-02-14 22:32:45,può carlo conti o il papa crepare così questo sacrificio ci serva per portare i the kolors e lucio corsi in top3 stasera
The Kolors,2025-02-14 22:46:57,«Rossetto e Caffé» da Tiktok al palco di #Sanremo2025 con i The Kolors e Sal Da Vinci
The Kolors,2025-02-14 22:56:10,"Oddio
@cmqpiena
mi ha fatto urlare associando Stash dei The Kolors a Irene pivetti
#Sanremo2025"
The Kolors,2025-02-14 22:28:18,"Mia madre in questo momento con il cellulare riprendendo Sal e i The Kolors:
#Sanremo2025"
The Kolors,2025-02-14 22:28:15,E ALLA FINE I THE KOLORS COLPISCONO SEMPRE #sanremo2025
The Kolors,2025-02-14 22:30:46,The Kolors e Sal da Vinci #Sanremo2025
The Kolors,2025-02-14 22:29:42,ESIBIZIONE DEI THE KOLORS
The Kolors,2025-02-14 22:29:34,fate vincere i the kolors ho bisogno del bis dove stanno i napoletani quando servono
The Kolors,2025-02-14 22:28:22,Il batterista di The Kolors è uno tranquillo comunque. Quando il BPM è a 60 lui si muove a 280. #Sanremo2025
The Kolors,2025-02-14 22:28:17,"i the kolors hanno perso l’occasione di fare la cosa piú divertente di sempre cioé chiamare ste de martino per ballare sul palco rossetto e caffé

 #Sanremo2025"
The Kolors,2025-02-14 22:27:04,I am becoming a BIG fan of The Kolors  #sanremo2025
The Kolors,2025-02-14 22:34:17,"Rossetto e caffè con i the Kolors è stupenda, hanno spaccato tutto, sul podio come minimo"
The Kolors,2025-02-14 22:28:53,Rossetto e caffè non tradisce mai. Dal da vinci e the kolors vincitori #Sanremo2025
The Kolors,2025-02-14 22:25:33,"Rossetto e Caffè cantata al teatro Ariston grazie ai The Kolors 

POESIA.
#Sanremo2025"
The Kolors,2025-02-14 22:27:09,Mi stanno piacendo pure i The Kolors e Sal Da Vinci #Sanremo2025
The Kolors,2025-02-14 22:47:33,"Prima i the kolors con Sal da vinci ora rocco hunt con clementino
NAPOLI SEMPRE PRESENTE

#Sanremo2025"
The Kolors,2025-02-14 22:39:46,the kolors x sal da vinci la colonna sonora della mia vita per me 
The Kolors,2025-02-14 22:31:33,"Possiamo avere il bis di sal da Vinci e the kolors invece che sti due?

#Sanremo20205"
The Kolors,2025-02-14 22:28:02,"I the Kolors pronti a campare di rendita a vita con questa cover di ""Rossetto e caffè""
#sanremo2025"
The Kolors,2025-02-14 22:55:18,The Kolors 100 punti al FantaSanremo #Sanremo2025
The Kolors,2025-02-14 22:25:19,I THE KOLORS POTEVANO FARE LA COSA PIÙ ICONICA DI QUESTO SANREMO E CANTARE ROSSETTO E CAFFÈ ED È LETTERALMENTE QUELLO CHE HANNO FATTO
The Kolors,2025-02-14 22:33:58,SAL DA VINCI CON L’ARRANGIAMENTO DI ROSSETTO E CAFFÈ DI STASH AND THE KOLORS ALL’EUROVISION
The Kolors,2025-02-14 22:27:55,the kolors comunque sbagliatela una cosa ogni tanto perché qui stiamo iniziando a discutere la religione misterica il dogma l'infallibilità dei the kolors
The Kolors,2025-02-14 22:29:38,"Mi sono sentito rappresentato da loro tre durante il duetto tra i The Kolors e Sal Da Vinci:

#Sanremo2025"
The Kolors,2025-02-14 22:29:14,sono almeno quattro anni che i the kolors non ne sbagliano mezza questo si chiama reinventarsi nel modo giusto
The Kolors,2025-02-14 22:28:13,"Finalmente un riarrangiamento e non un karoake.
Chissà in quale multiverso Rossetto e caffè ha vinto Sanremo.
Bravissimi i The Kolors

#sanremo2025"
The Kolors,2025-02-14 22:28:01,THE KOLORS TOP 3 LO DICO
The Kolors,2025-02-14 22:26:39,"THE KOLORS SA ESATTAMENTE QUELLO CHE STA FACENDO 
THE GOAT

#Sanremo2025"
The Kolors,2025-02-14 22:23:28,"FINALMENTE I THE KOLORS E SAL DA VINCI CON ROSSETTO E CAFFÈ 

#Sanremo2025"
The Kolors,2025-02-14 22:28:43,"Fichissimi The Kolors e Sal Da Vinci

#sanremo25 
#Sanremo20205"
The Kolors,2025-02-14 22:30:47,"La caciara dei the kolors sempre la migliore
Purtroppo loro non sbagliano mai #Sanremo20205"
The Kolors,2025-02-14 22:28:12,"i the kolors con sal da vinci dando iconicità

#Sanremo2025"
The Kolors,2025-02-14 22:45:56,"Non è una serata cover  senza la musica napoletana.
Grazie Rocco e Clementino e Sal e The Kolors 
#sanremo2025"
The Kolors,2025-02-14 22:28:54,THE KOLORS CI AVETE DATO TUTTO NON VI RINGRAZIEREMO MAI ABBASTANZA #Sanremo2025
The Kolors,2025-02-14 22:28:30,Stash è un professionista del nazional popolare! Vi ricordate quando Elisa ad amici schierava sempre Stash e the Kolors perché era sicura di vincere? Ecco è ancora così! Bravi bravi bravi! #Sanremo2025
The Kolors,2025-02-14 22:59:44,"Rose 40
Clara 30
Rkomi 10
Tony 55
Noemi 55
Francesca 10
Modà 45
Irama 20
Gaia 30
Lucio 40
Brancale 20"
The Kolors,2025-02-14 22:28:08,This Sanremo the Kolors cover OMG! Please put it on streaming! 
The Kolors,2025-02-14 22:40:25,"CHE HITTONA QUESTA ESIBIZIONE, SONO SEMPRE I THE KOLORS #Sanremo2025"
The Kolors,2025-02-14 22:28:02,E ANDIAMO CON I PUNTI GRAZIE THE KOLORS GRAZIE SAL DA VINCI GRAZIE #Sanremo2025
The Kolors,2025-02-14 22:30:12," The Kolors con Sal Da Vinci cantano “Rossetto e caffè” a #Sanremo2025

L'esibizione integrale è su RaiPlay
In audio su RaiPlay Sound"
The Kolors,2025-02-14 22:29:02,"Pazzesca la versione di ""Rossetto e caffè"" di Sal Da Vinci e The Kolors 
#Sanremo2025"
The Kolors,2025-02-14 22:26:05,"SuperSimo avrebbe definito GIGIONA la scelta dei The Kolors di portare Rossetto e caffè con Sal Da Vinci 

#Sanremo2025"
The Kolors,2025-02-14 22:28:36,FORZA THE KOLORS CODICE 10
