artist,datetime,content
Tony Effe,2025-02-14 23:48:27,"Non sto dicendo che Tony Effe ha cantato male, sto solo dicendo che se avvicini una mazzo di fiori all’orecchio puoi sentire nitidamente il suono delle bestemmie di Franco Califano

#Sanremo2025 #Sanremo25 #Sanremo #TonyEffe #Satiremo"
Tony Effe,2025-02-14 23:29:38,Gara senza esclusione di colpi tra Cristicchi e Tony Effe a chi canta di meno. #Sanremo2025
Tony Effe,2025-02-14 23:59:38,complimenti olly non era facile fare peggio di tony effe eppure ci sei riuscito
Tony Effe,2025-02-14 23:57:07,"Tony Effe sul palco di Sanremo con la collana 'gela' Carlo Conti: ""Ti sei salvato"" https://ilfattoquotidiano.it/2025/02/14/tony-effe-carlo-conti-collana-sanremo-2025/7878793/?utm_term=Autofeed&utm_campaign=Echobox2021&utm_medium=Social&utm_content=magazine&utm_source=Twitter#Echobox=1739572248…"
Tony Effe,2025-02-14 23:18:39,Se ho capito bene Rose Villain e Tony Effe hanno fatto due performance indecenti anziché portare sul palco insieme quel gioiello di Michelle Pfeiffer
Tony Effe,2025-02-14 23:12:18,mahmood mandato da tony effe a picchiare carloco #sanremo2025
Tony Effe,2025-02-14 23:35:04,"Nel retropalco Tony Effe sta chiedendo a Giorgia “come si chiama quella cosa che fai con la voce?”

#Sanremo #sanremo25 #Sanremo2025"
Tony Effe,2025-02-14 23:03:33,mahmood ha spaccato il naso di conti al posto di tony effe. plot twist. #Sanremo2025
Tony Effe,2025-02-14 23:43:01,Orecchini di Tarina Tarantino beccati questa Tony Effe
Tony Effe,2025-02-14 23:34:17,"SANREMO | Tony Effe senza la collana sul palco, il siparetto con Conti. Con Noemi ha cantato Tutto il resto è noia di Califano #Sanremo2025 #ANSA"
Tony Effe,2025-02-14 23:17:09,ha fatto quello che stava per fare tony effe
Tony Effe,2025-02-14 23:04:57,mahmood tirando un pugno a carloco è stato tutto quello che tony effe avrebbe voluto essere #Sanremo2025
Tony Effe,2025-02-14 23:37:34,Born to Battiato forced to Tony Effe
Tony Effe,2025-02-14 23:58:31,"Carlo conti e Tony Effe nel backstage mentre cantavano ""Rossetto e caffè"" #Sanremo2025"
Tony Effe,2025-02-14 23:18:36,"#Sanremo2025 
""Toglietemi tutto, ma non la mia collana"" dice Tony Effe: mentre Fedez…

La quarta serata prosegue con ""Sanremo in uno scatto"" di 
@lefrasidiosho
."
Tony Effe,2025-02-14 23:00:17,Marcella palese ha rubato la collana di Tony effe #sanremo2025 #sanremo
Tony Effe,2025-02-14 23:01:00,Che cojoni Mahmood  comunque meglio di Tony Effe..ma più o meno il livello di rottura di palle è quello
Tony Effe,2025-02-14 23:15:12,“praticamente tony effe era incazzato nero e ha avvertito mahmood che ha tirato un pugno in bocca a carl0”
Tony Effe,2025-02-14 23:42:34,"Tony Effe alto 1,70, peraltro…"
Tony Effe,2025-02-14 23:30:00,"""Stasera non ti facciamo parlare""
Tony Effe duro con Carlo Conti. La reazione del conduttore non si è fatta attendere https://fanpa.ge/gu0eI"
Tony Effe,2025-02-14 23:28:12,Per scrivere supererò le correnti gravitazionali bisogna aver letto qualche libro. Chi instagramma invece scrive come Tony effe #sanremo25
Tony Effe,2025-02-14 23:31:15,"La madre di Cristicchi è guarita, Fedez non è più depresso, Tony Effe può indossare le sue collane, Irama ha iniziato a parlare bene, Rkomi non parla non parla più in corsivo, Elodie di è ricordata alle 7, tutto questo grazie a questa loro due #sanremo2025"
Tony Effe,2025-02-14 23:59:06,Chi sostiene il contrario che ritornasse ad ascoltare Tony Effe #Sanremo2025
Tony Effe,2025-02-14 23:08:36,"tony effe mentre si avviciva a carlocò
#Sanremo2025 #Sanremo"
Tony Effe,2025-02-14 23:24:02,"#Sanremo2025, Top e Flop delle Cover LIVE: Kekko-Renga a prova di terremoto, The Sound of Silence in salsa horror. Sì alla collana ritrovata di Tony Effe e alla classe di Topo Gigio. A cura di 
@IlContiAndrea"
