artist,datetime,content
Willie Peyote,2025-02-14 21:53:49,"questa entra direttissima tra le mie cover preferite di sempre insieme a fulminacci-lundini, medley dei pinguini, willie peyote-bersani"
Willie Peyote,2025-02-14 21:17:35,"ma colleghiamoci con willie peyote nel backstage:

#sanremo2025"
Willie Peyote,2025-02-14 21:29:22,ignazio del volo e willie peyote gli unici baffi che tollero su quel palco
Willie Peyote,2025-02-14 21:01:53,"""WILLIE PEYOTE E DITO NEL... NELLA PIAGA"" 
#Sanremo2025"
Willie Peyote,2025-02-14 21:16:45,WILLIE PEYOTE ESCI SUBITO E TIRA UNA MICROFONATA IN TESTA A RENGA
Willie Peyote,2025-02-14 21:03:08,"WILLIE PEYOTE E DITO NEL…???

Cosa stava per dire CarloCò? 

#Sanremo2025"
Willie Peyote,2025-02-14 21:04:25,ho appena capito che io non distinguo aiello da chiello e che pensavo che chiello avesse la faccia di willie peyote boh
Willie Peyote,2025-02-14 21:51:08,stasera willie peyote e ditonellapiaga insieme
Willie Peyote,2025-02-14 21:17:05,Chiediamo a willie peyote cosa pensa di renga
Willie Peyote,2025-02-14 21:20:52,"purtroppo la mia top 3 dei sogni è
willie peyote
lucio corsi
shablo gue tormento joshua"
Willie Peyote,2025-02-14 21:15:45,La serenità con cui Willie Peyote sta guardando la partita
Willie Peyote,2025-02-14 21:16:10,Sanremo qui Sanremo li è non c'è un cazzo di video del concerto dei FASK o di quello che hanno combinato con Willie peyote ma prontoooo
