artist,datetime,content
Bresh,2025-02-15 23:08:14,si è dimenticato bresh e brunori per strada o non si spiega
Bresh,2025-02-15 23:42:29,boh ragazzi se vince saliamo su una nave e affondiamo con il canto sirenico di bresh
Bresh,2025-02-15 23:14:14,"Commento su sanremo, franci michielin mia prefe con la canzone piú bella, fedez aimè forte forte, noemi mi piace tantissimo, ai the kolors voglio benissimo, bresh hai rubato il mio cuore irremediabilmente ti porterei sul podio, lucio cucciolino e lauro ti amo sempre #Sanremo2025"
Bresh,2025-02-15 23:36:39,a me i tweet bresh vs olly mi fanno spaccare raga siamo a sanremo non al derby possiamo tranquillamente apprezzarli entrambi e non metterli necessariamente uno contro l'altro !!
Bresh,2025-02-15 23:04:29,ciao Bresh ti dedico Amici Mai
Bresh,2025-02-15 23:28:46,Allora mia top 5 in ordine casuale Achille Olly Lucio Corsi Brunori Bresh #Sanremo2025
Bresh,2025-02-15 23:00:00,"io c'ero quando ero l'unica a considerare bresh un figo, facile dirlo ora"
Bresh,2025-02-15 23:18:30,"spiace ma no, brunori e bresh hanno già cantato"
Bresh,2025-02-15 23:46:00,Scusate ma mi hanno appena ricordato dell’amica che da ragazzina faceva da babysitter a Bresh
Bresh,2025-02-15 23:07:30,"Sputo fatti #Sanremo2025:

-la cover di Bresh doveva essere in top 5 
-Lucio corsi merita la vittoria
-Brunori Sas ha scritto un testo più bello di Cristicchi
-Elodie ha dei pezzi che non la valorizzano
-Olly non piace solo alle ragazzine
-Fedez sta facendo un bellissimo festival"
Bresh,2025-02-15 23:52:25,"sanremo si fuese woke:

carlo cunty
they kolors 
rose vegan 
ollyolanda díaz
rocco czech hunter 
gaya 
la bresh 
rkomió
francesco gaybanni
serena LGTBrancale
oscura
francesca skinny 
sarah transcano 
willie poyote 
giorgyasss 

expresentador: ama (sin el deus porque es ateo)"
Bresh,2025-02-15 23:06:34,"come cazzo fai a dire questo quando si sono esibiti brunori, willie, serena, bresh, noemi, clara"
Bresh,2025-02-15 23:03:44,Io al centro con Bresh e Olly ai lati #Sanremo2025
Bresh,2025-02-15 23:47:57,"Estoy tan enamorada de Bresh os juro, miralo es majisimo, canta de maravilla, tiene un temon"
Bresh,2025-02-15 23:12:01,"Volendo riportarvi in tl questa meraviglia che risponde al nome di Andrea Emanuele Brasi in arte Bresh 

#Sanremo2025"
Bresh,2025-02-15 23:06:24,passo dal sentirmi male x bresh  tossichello anima tormentata porco al sentirmi male per brunori e willie eleganza fascino porcox2 io sono questa
Bresh,2025-02-15 23:14:08,"Oooooohhhh
Bambina

(Bresh) 

#Sanremo2025"
Bresh,2025-02-15 23:43:08,MA PERVHE NON PUNTATE SU BRESH O RKOMI CHE ALMENO LE LORO CANZONI SONO CARINEEEEE ora mi metto ad urlare
Bresh,2025-02-15 23:36:33,La canzone di Bresh è una grower pazzesca. #Sanremo2025
Bresh,2025-02-15 23:45:50,madonna bresh voglio l'album aspetto da tre anni io oro blu l'ho divorato
Bresh,2025-02-15 23:37:02,"Bono Bresh, bono Willie Peyote, bono Brunori Sas, boni tutti, ma il più porco, colui che vince la categoria del super porchissimo per me rimarrà sempre quel gran porco di Ale Cattelan, scusate
#sanremo2025"
Bresh,2025-02-15 23:02:52,Comunque Tedua e Bresh che si supportano su ig sinceramente i più carini del mondo ho non ironicamente pianto
Bresh,2025-02-15 23:39:32,due meme mi stanno facendo crepare dal ridere: bresh che deve ricantare creuza de ma a ogni piccolo intoppo e il completto di marta donà con le mazzette ai giornalisti e le sedie con la scossa per la platea
Bresh,2025-02-15 23:09:33,Everyone lusting for Bresh and his music… I told y’all!! #Sanremo2025
Bresh,2025-02-15 23:00:34,no amici ma che bono è bresh aiuto sto sbloccando una nuova crush https://x.com/desinella/stat/desinella/status/1890876704505078124…
Bresh,2025-02-15 23:35:58,"Comunque, avviso tutte le twitterine che sono 10 giorni che non dormo e ho le stesse occhiaie di Bresh"
Bresh,2025-02-15 23:18:18,mia madre vuole votare bresh e Achille. vuole anche votare fedez perché é depresso ma adesso le faccio cambiare idea
