artist,datetime,content
Coma_Cose,2025-02-15 23:23:01," Cuoricini  Cuoricini  Cuoricini 

E pure quest’anno i Coma_Cose, zitti zitti, hanno fatto la loro porca figura e hanno servito.

#Sanremo2025"
Coma_Cose,2025-02-15 23:24:25,"Il pezzo dei Coma_Cose ha qualcosa dei Baustelle.

#Sanremo2025"
Coma_Cose,2025-02-15 23:22:02,the only way i can explain coma_cose is that they have so much charm + charisma. they’re so good together on stage
Coma_Cose,2025-02-15 23:19:49,i coma_cose dovevano solamente portare malavita a sanremo
Coma_Cose,2025-02-15 23:21:44,i coma cose sono la cosa più vicina alle divinità che abbiamo in italia
Coma_Cose,2025-02-15 23:24:12,come si fa ad odiare i coma cose siete infelici #sanremo2025
Coma_Cose,2025-02-15 23:26:38,"Sul palco i #Coma_Cose

Pubblico pieno di  per loro

#Sanremo #Sanremo2025 #fantasanremo"
Coma_Cose,2025-02-15 23:24:17,"¿Y si hacemos un http://change.org para que Coma_Cose vaya a San Marino y los represente, 
@KokoroMiss
? 
#Sanremo2025"
Coma_Cose,2025-02-15 23:20:32,I think I want Coma_Cose to win #Sanremo2025 for funz
Coma_Cose,2025-02-15 23:23:07,"Les Coma_Cose, couple à la ville, sont là avec une chanson pop aux sonorités très années 80, déjà un succès radio en Italie #Sanremo2025"
Coma_Cose,2025-02-15 23:21:23,coma cose what a slay this year
Coma_Cose,2025-02-15 23:26:19,Carlo Conti che chiama California “La SUA signora” riferito a Fausto quando Carlo Conti non ha capito che è Fausto ad essere “il SUO signore” dato che California regge il peso dei Coma Cose sulle sue spalle #sanremo2025
Coma_Cose,2025-02-15 23:13:42,"il blocco: Achille Lauro, Coma Cose, Cristicchi, Elodie 

#Sanremo2025"
Coma_Cose,2025-02-15 23:44:12,"#Striscialanotizia #Sanremo2025 
@SanremoRai
 @coma_cose"
Coma_Cose,2025-02-15 23:29:25,"Intrecciando vita privata e canzoni, dopo innamoramento e crisi, i Coma_Cose tra le altre cose raccontano un terzo step: come il matrimonio forse rincoglionisca un po’, ma si sta così bene, così leggeri. #Sanremo2025"
