artist,datetime,content
Elodie,2025-02-16 00:51:20,"Da Elodie in poi, stanno salendo sul palco tutto scazzati

#Sanremo2025"
Elodie,2025-02-16 00:54:23,"In un mondo giusto il podio sarebbe stato occupato da Giorgia, Noemi ed Elodie. 
Ma non siete ancora pronti, in fondo il nostro paese non le merita 

#Sanremo2025"
Elodie,2025-02-16 00:53:28,non so cosa sia successo con elodie ma posso solo dire che una donna che ha fatto una performance del genere non ve la meritate #Sanremo2025
Elodie,2025-02-16 00:36:31,"comunque mi spiace troppo per Elodie, amore che è spero stia bene"
Elodie,2025-02-16 00:43:19,Ooooooooh ecco spiegata l’indifferenza nei confronti di Elodie #SANREMO2025
Elodie,2025-02-16 00:36:40,"Perché leggo che Elodie e altri cantanti in gara sono incazzati, se ci sono finalmente drammi vorrei esserne al corrente."
Elodie,2025-02-16 00:49:36,"ma cosa sono ste storie che leggo
- tony effe stanco del festival già in viaggio verso roma 
- elodie incazzata perché non le hanno fatto salire le ballerine 
- lucio corsi bestemmiando dietro le quinte 

sanremo sta forse sanremando??? #Sanremo2025"
Elodie,2025-02-16 00:57:22,Elodie ha così tanto preso a cuore la storia del dramma che ha deciso di incazzarsi pure lei
Elodie,2025-02-16 00:50:48,Qualcuno ci deve dire immediatamente cosa si è calata la marcuzzi e che fine hanno fatto elodie e tony effe
Elodie,2025-02-16 00:57:17,las calles italianas diciendo que otro cantante le ha roto el vestido a elodie antes de salir y tony effe ya esta de vuelta para roma????
Elodie,2025-02-16 00:48:55,Tony effe sta tornando a Roma Elodie incazzata nera Fedez ricattato prontoooo???  #sanremo_2025
Elodie,2025-02-16 00:25:02,ma ditemi di più su questo drama di Elodie
Elodie,2025-02-16 00:48:48,"comunque elodie incazzata, rose già cambiata di abito sta facendo festa con gli amici, filo sembrava strano prima di cantare. non so ma mi sembra tutto molto strano."
Elodie,2025-02-16 00:43:03,in che senso abbiamo un elodie gate sanremo sta sanremando sul finale????? #Sanremo2025
Elodie,2025-02-16 00:49:24,"Quindi si può sapere perché la dea Elodie era nera come chi sappiamo noi? Mancavano le ballerine e non si è presentata nemmeno a Radio2 
#Sanremo2025"
Elodie,2025-02-16 00:22:26,"Elodie non ti meritano amore, mi fa solo incazzare vedere la passività con la quale guardano la tua performance che supera di gran lunga il 95% di quelle attualmente in gara, frutto solo di un sistema mediocre ed ormai superato che non riconosce l'impegno vero di un artista"
Elodie,2025-02-16 00:53:53,CHI HA FATTO IMBESTIALIRE ELODIE?
Elodie,2025-02-16 00:49:52,Prendete le sofferenze di Elodie e datele a 0lly
Elodie,2025-02-16 00:49:21,non sono più invested sulla gara perché sto pensando esclusivamente all'elodie gate voglio sapere ogni singolo dettaglio è in questi momenti che purtroppo vorrei fabrizio corona con falsissimo
Elodie,2025-02-16 00:43:59,scusate qualcuno faccia uscire subito i retroscena della vicenda elodie UNICA COSA INTERESSANTE IN UNA SETTIMANA #Sanremo2025
Elodie,2025-02-16 00:50:27,"Ho amato come hai brillato di passione in questo Festival sei una persona rara e preziosa  Tutto il mio affetto va a te e all'artista che sei diventata
@Elodiedipa
 #Elodie #Sanremo2025"
Elodie,2025-02-16 00:42:30,"necessito info su tony effe che scappa e su elodie nera come se le avessero tolto le collane 2 secondi prima di esibirsi 
#sanremo2025"
Elodie,2025-02-16 00:48:26,ma dove erano le ballerine di elodie  #Sanremo2025
Elodie,2025-02-16 00:51:32,Le sue lacrime hanno reso interessante questo festival noiosissimo fatela vincere ELODIE CODICE 20
Elodie,2025-02-16 00:43:56,tonyeffe è partito per roma elodie nera iannone c'entra non c'entra boh la sala stampa nel frattempo devo seguire la diretta CALMATEVI DEVO STARE AL PASSO
Elodie,2025-02-16 00:44:36,elodie incazzata nera con tutta l'italia di sottofondo
Elodie,2025-02-16 00:46:54,qualcuno mi faccia sapere qualcosa in più su elodie o compio il gesto estremo
Elodie,2025-02-16 00:48:38,"Elodie incazzata, Tony Effe sul frecciarossa per Roma, Olly favorito, Cristicchi malcagato, Lucio CORSI, Giorgia svisando, Michielin e Noemi robbate, Ranieri con un occhio esploso #Sanremo2025"
