artist,datetime,content
Francesco Gabbani,2025-02-15 22:15:07,"Francesco Gabbani è una bellissima persona che si merita tutto il bene di questo mondo, comunque.
#Sanremo2025"
Francesco Gabbani,2025-02-15 22:14:28,"""Ma in fondo tu lo sai quello che sento
È vivere davvero ogni momento""
Bellissima la canzone di Francesco Gabbani   
#Sanremo2025"
Francesco Gabbani,2025-02-15 22:09:48,Alberto Angela presenta Francesco Gabbani 4 unicorni sono nati nel mondo #sanremo2025
Francesco Gabbani,2025-02-15 22:14:11,"Che bravo Francesco Gabbani  
viva la vita così com’è …#Sanremo2025"
Francesco Gabbani,2025-02-15 22:09:22,"Francesco Gabbani time 
Hskahaha THE GLITTER SUIT I LOVE YOU SO MUCH
#Sanremo2025"
Francesco Gabbani,2025-02-15 22:14:17,"Viva la Vita, viva Francesco Gabbani #Sanremo2025"
Francesco Gabbani,2025-02-15 22:15:35,"SANREMO 2025 - SERATA FINALE
11. Francesco Gabbani - Viva la vita 
Tempo composto, Struttura bitematica con variazioni equilibrate e coerenti.
Quando un Compositore è competente e  interprete raffinato.
Chapeau!!!"
Francesco Gabbani,2025-02-15 22:09:51,Da anni mi domando se Francesco Gabbani mi sta molto molto simpatico o molto molto antipatico #Sanremo2025
Francesco Gabbani,2025-02-15 22:21:56,"Sanremo 2025 | Francesco Gabbani con “Viva La Vita”

Finale

#Sanremo2025"
Francesco Gabbani,2025-02-15 22:23:27,"Francesco Gabbani: uma canção que soa como um abraço, bem acima do que eu esperava. Mas não é para top 5 de Sanremo.

Noemi: e se as mulheres entregassem também a balada clássica masculina italiana? A Nonô tem personalidade e fez isso! Vocalista com um timbre único.

#Sanremo2025"
Francesco Gabbani,2025-02-15 22:15:17,"Qui per dire che noi siamo molto fortunati ad avere un artista come Francesco Gabbani 

#Sanremo2025"
Francesco Gabbani,2025-02-15 22:15:13,Francesco Gabbani I BRIVIDIIII #Sanremo2025
Francesco Gabbani,2025-02-15 22:00:13,Francesco Gabbani e la fidanzata Giulia: “Stiamo insieme da sette anni e lavoriamo insieme”
Francesco Gabbani,2025-02-15 22:13:31,"Francesco Gabbani, tu sei il sole di #Sanremo2025 "
Francesco Gabbani,2025-02-15 22:10:36,"Francesco Gabbani seni çok seviyorum istersen çık wine me dine me söyle yine de seni çok sevicem
#Sanremo2025"
Francesco Gabbani,2025-02-15 22:13:06,"francesco gabbani mi mette proprio di buon umore
#Sanremo2025"
Francesco Gabbani,2025-02-15 22:09:03,"Codice 11: Francesco Gabbani
#Sanremo2025"
Francesco Gabbani,2025-02-15 22:11:19,"Francesco Gabbani è il mio porto sicuro dove mi rifugio quando ne sento il bisogno e questo brano sarà la mia nuova casa
#Sanremo2025"
Francesco Gabbani,2025-02-15 22:15:50,"Francesco Gabbani è un perenne inno alla vita. Ed è bellissimo, ci vorrebbero più persone come lui.
#Sanremo2025"
Francesco Gabbani,2025-02-15 22:11:51,viva la phyga finchè ce n'è canta francesco gabbani
Francesco Gabbani,2025-02-15 22:14:19,Estoy convencida de que la música y la sonrisa de Francesco Gabbani es lo que suministra de energía a la Tierra #Sanremo2025
Francesco Gabbani,2025-02-15 22:13:11,"Ma cosa è successo a Francesco Gabbani? Era bravo, poi è diventato banale #Sanremo2025"
Francesco Gabbani,2025-02-15 22:16:12,"francesco gabbani, l’artista e l’uomo che sei questa canzone è così sincera, è impossibile non sorridere #Sanremo2025"
Francesco Gabbani,2025-02-15 22:09:16,Francesco Gabbani molla la musica e datti al porno con quel nerchione che ti ritrovi
Francesco Gabbani,2025-02-15 22:11:07,francesco gabbani ha devastato la penisola italiana
Francesco Gabbani,2025-02-15 22:17:37,La de Francesco Gabbani no me mata mucho la verdad. #Sanremo2025 #Sanremo
Francesco Gabbani,2025-02-15 22:12:59,"straordinario che il palco dell'Ariston abbia resisto a sorreggere contemporanea Alberto Angela e Francesco Gabbani

#Sanremo2025"
Francesco Gabbani,2025-02-15 22:14:15,"La chaotic energy di Francesco Gabbani è pura serotonina 
#Sanremo2025"
Francesco Gabbani,2025-02-15 22:15:45,"televoto pazzo vince francesco gabbani salgono quelli di un professore sul palco
#Sanremo2025"
Francesco Gabbani,2025-02-15 22:13:25,fun fact: high fashion by addison rae debuted with more streams than viva la vita by francesco gabbani on spotify
Francesco Gabbani,2025-02-15 22:12:42,"io: * contemplando come morire perché ho scoperto di aver perso 340 euro e la postepay *
Francesco Gabbani: viva la vitaaa"
Francesco Gabbani,2025-02-15 22:10:38,i remember when francesco gabbani saved both my cats from a burning building and then paid for my groceries #Sanremo2025
Francesco Gabbani,2025-02-15 22:11:51,"Undecima cancion de la noche: Francesco Gabbani - Viva la vita #Sanremo2025 

¡Francesco Gabbani si o si a Eurovisión!"
Francesco Gabbani,2025-02-15 22:11:49,"Strano che, tra i cantautori in gara a #Sanremo2025, si citino sempre Simone Cristicchi, Brunori Sas e Lucio Corsi, ma quasi mai Francesco #Gabbani, che è un cantautore sensibile e di talento."
Francesco Gabbani,2025-02-15 22:12:49,Francesco Gabbani sottovalutato
