artist,datetime,content
Giorgia Sanremo,2025-02-15 23:31:05,"«Non so più quante volte ti ho cercato
per quegli occhi, per quegli occhi che fanno da luna
Non so più quante notti ti ho aspettato
per finire a ingoiare tutta la paura
di rimanere sola» 
#Giorgia #sanremo_2025"
Giorgia Sanremo,2025-02-15 23:29:04,"Mamma i brividi!!!!!! 
#giorgia #sanremo_2025 #SANREMO2025"
Giorgia Sanremo,2025-02-15 23:34:55,Immensa #Giorgia #sanremo_2025
Giorgia Sanremo,2025-02-15 23:24:59,Is everyone seated?!?! It’s time for Giorgia!!!!! #sanremo #Sanremo2025
Giorgia Sanremo,2025-02-15 23:30:47,Basta zio budino datele 'sta palma del vincitore o compio la strage degli innocenti #Giorgia #sanremo_2025
Giorgia Sanremo,2025-02-15 23:26:48,"Giorgia per favore raccontami e cantami ogni sera la favola della buonanotte...ne ho fisiologicamente bisogno 
#Giorgia #sanremo_2025 #FestivaldiSanremo2025 #Rai1 #Sanremo2025"
Giorgia Sanremo,2025-02-15 23:27:44,"Mamma
Mia che canzone di merda #Giorgia.  #sanremo_2025"
Giorgia Sanremo,2025-02-15 23:35:27,Quando si parla di Voce c'è solo la tua ... #Giorgia #sanremo_2025
Giorgia Sanremo,2025-02-15 23:32:28,Il pubblico in piedi! Grande Giorgia! #Sanremo_2025  #Sanremo2025
Giorgia Sanremo,2025-02-15 23:57:27,#Giorgia #Sanremo #1
Giorgia Sanremo,2025-02-15 23:29:28,"ALZATEVI TUTTI A FARE LA STANDING OVATION A MADRE GIORGIA 
#sanremo_2025"
Giorgia Sanremo,2025-02-15 23:30:08,Ma ci rendiamo conto?? NOSTRA MADRE  #giorgia #sanremo_2025
Giorgia Sanremo,2025-02-15 23:30:13,Standing Ovation per #Giorgia #sanremo_2025 #sanremo
Giorgia Sanremo,2025-02-15 23:27:03,È  molto bella la canzone di Giorgia #sanremo_2025
Giorgia Sanremo,2025-02-15 23:30:59,"GIORGIA un peu stressée au début, 2 petites imprécisions mais LE RESTE …. Quelle claque. Comme dab’ QUEEN !!!!
Olly vs GIORGIA 
#sanremo_2025"
Giorgia Sanremo,2025-02-15 23:28:39,"Ecco la falsa modesta con i suoi virtuosismi vocali #Giorgia 
#sanremo_2025"
Giorgia Sanremo,2025-02-15 23:30:39,"IN PIEDI TUTTI, LA VINCITRICE 
@Giorgia
 #sanremo_2025"
Giorgia Sanremo,2025-02-15 23:32:35,La canzone migliore eseguita sublimamente dalla cantante piú brava . La vittoria dovrebbe essere scontata ! #giorgia #sanremo_2025
Giorgia Sanremo,2025-02-15 23:30:34,Immensa Giorgia #giorgia #sanremo_2025
Giorgia Sanremo,2025-02-15 23:29:17,"@Giorgia
 #sanremo_2025 hai vinto "
Giorgia Sanremo,2025-02-15 23:39:35,"  Grazie Giorgia per questa canzone meravigliosa. 
È un dono grande...
@Giorgia
 
#sanremo_2025"
Giorgia Sanremo,2025-02-15 23:29:09,"CODICE 18 
@Giorgia
 #sanremo_2025"
Giorgia Sanremo,2025-02-15 23:39:19,"#Giorgia #Sanremo
GIORGIA FOREVER: STRATOSFERICA, GALATTICA, UNIVERSALE....e pensare che l'anno scorso voleva appendere l'ugola al chiodo!!"
Giorgia Sanremo,2025-02-15 23:30:10,"Come voce quella di 
@giorgia
 è la migliore, non esiste competizione. 

#Sanremo2025 
#Sanremo25 
#Giorgia #Sanremo"
Giorgia Sanremo,2025-02-15 23:25:58,"Un altro livello, Giorgia
#sanremo_2025"
Giorgia Sanremo,2025-02-15 23:27:34,SE NON VOTATE GIORGIA......#Sanremo
Giorgia Sanremo,2025-02-15 23:27:00,"Prima o poi la troveranno una canzone decente per Giorgia 
#sanremo_2025"
Giorgia Sanremo,2025-02-15 23:29:18,"Tira aria di vittoria per #Giorgia

#sanremo
#sanremo25
#sanremo2025"
Giorgia Sanremo,2025-02-15 23:27:16,"Ha già vinto altra categoria,voce meravigliosa #Giorgia
#sanremo_2025"
Giorgia Sanremo,2025-02-15 23:28:57,"Immensa #Giorgia

#sanremo_2025"
Giorgia Sanremo,2025-02-15 23:31:07,"Lucio Dalla sembra   ... sta canzone di Giorgia  ... #sanremo_2025 
( stesso  ritornello  de ""  la sera dei miracoli "" )"
Giorgia Sanremo,2025-02-15 23:25:09,Arriva la classe adesso…#Giorgia #sanremo_2025
Giorgia Sanremo,2025-02-15 23:34:55,Immensa #Giorgia #sanremo_2025
Giorgia Sanremo,2025-02-15 23:24:59,Is everyone seated?!?! It’s time for Giorgia!!!!! #sanremo #Sanremo2025
Giorgia Sanremo,2025-02-15 23:27:34,SE NON VOTATE GIORGIA......#Sanremo
