artist,datetime,content
Irama,2025-02-16 00:44:18,irama ci ha messo la dr0ga dentro questa parte di lentamente
Irama,2025-02-16 00:16:33,Irama anche quest’anno ha sanremato con onore #Sanremo2025
Irama,2025-02-16 00:17:38,"irama per me hai vinto e vincerai sempre tu
lentamente è meravigliosa
#Sanremo2025"
Irama,2025-02-16 00:18:16,#alletattoo #irama  #sanremo_2025
Irama,2025-02-16 00:19:48,"Comunque se Irama avesse portato una dei tre inediti che ha cantato ai palazzetti a novembre sarebbe stato più apprezzato, soprattutto se avesse portato “Senz’anima”, quella canzone è un capolavoro #Sanremo2025"
Irama,2025-02-16 00:28:51,"Clara e Irama prossimamente protagonisti del live action di cenerentola 
#Sanremo2025"
Irama,2025-02-16 00:16:05,estoy llorando con Irama… #sanremo2025
Irama,2025-02-16 00:18:19,"Was it just me, or did this performance have a weirdly rocky start? Regardless, the song is stunning. This isn’t his year, but I still can’t shake the feeling that we’re going to keep seeing Irama at #Sanremo2025 until he wins, so at some point we’ve just got to get it over with."
Irama,2025-02-16 00:22:36,"questa canzone e questo artista meritano la standing ovation ma non siete pronti a questo discorso SEI INMENSO Irama IMMENSO MERITA DI VINCERE VOTATE CODICE 22 
#Sanremo2025"
Irama,2025-02-16 00:16:11,posso dire che la canzone di irama è più bella di quella di olly? e a me fa cagare irama? POSSO O NO?
Irama,2025-02-16 00:17:15,irama vestito da ragazzino nella banda della scuola di una qualsiasi serie tv americana #sanremo2025
Irama,2025-02-16 00:17:49,"Grande Irama che fa il cosplay di Harry Styles agli American Music Awards del 2014
#Sanremo2025"
Irama,2025-02-16 00:21:40,"Si scrive Irama si legge arte. 
#Sanremo2025"
Irama,2025-02-16 00:38:39,Irama 2025 membership merch box concept photobook #Sanremo2025
Irama,2025-02-16 00:39:56," Secondo #Irama vince... Topo Gigio! 

#Sanremo2025 #RadioFestival #Suite1025
 Segui la diretta: https://play.rtl.it/live/1/radiovisione/…"
Irama,2025-02-16 00:16:43,Irama vestito da Ivana Spagna  #sanremo_2025
Irama,2025-02-16 00:32:36,"La fiamma brucia, ma inevitabilmente consuma la candela. Si scioglierà la cera. E di noi, il buio, sarà tutto quel che resta.

 Irama
 Lentamente
 
L’esibizione integrale è su RaiPlay
In audio su RaiPlay Sound 

#Sanremo2025"
Irama,2025-02-16 00:23:21,"Prima milord di sailor moon 
Ora lady oscar
Irama vuole omaggiare i tempi d'oro dei cartoni animati
#Sanremo2025"
