artist,datetime,content
Joan Thiele,2025-02-16 00:39:54,Tanto Joan Thiele e tanto onesta pare è già stato detto?
Joan Thiele,2025-02-16 00:43:29,"Comunque bella voce di Joan Thiele, sottovalutata"
Joan Thiele,2025-02-16 00:43:13,quanto cazzo mi urta la consapevolezza che questa meraviglia di canzone ma soprattutto un’artista come joan thiele passeranno troppo inosservate da parte del grande pubblico di sanremo
Joan Thiele,2025-02-16 00:40:52,JOAN THIELE LA PRINCIPESSA
Joan Thiele,2025-02-16 00:41:36,JOAN THIELE IO TI HO CAPITA!
Joan Thiele,2025-02-16 00:42:00,"Di 29 pezzi più o meno tutti simili o comunque in gran parte piatti, l'unica vera eccezione è Joan Thiele. Ma figuriamoci se si può dire una roba simile in Italia. #Sanremo2025"
Joan Thiele,2025-02-16 00:58:10,"Gaia non ha le sopracciglia perché le ha prestate a Joan Thiele.
[
@BarabbaMarlin
]"
Joan Thiele,2025-02-16 00:42:45,joan thiele tu con questa canzone hai cucinato talmente tanto che temo che sarai proprio la più derubata di questa edizione non ti capiranno mai
Joan Thiele,2025-02-16 00:43:05,in un mondo giusto in cui i giornalisti hanno il potere di dare spazio e valore ad artisti meno mainstream e più complessi joan thiele sarebbe stata per tutta la settimana in top5
Joan Thiele,2025-02-16 00:42:12,"i miei gusti non rispecchiano quelli della società in cui vivo perché per esempio io Joan Thiele l’avrei messa in top5 anche prima di ascoltarla, proprio sulla fiducia"
Joan Thiele,2025-02-16 00:43:06,"Joan Thiele anche tu sarai robbata malamente stasera
Ma sei LA rivelazione di questo festival"
Joan Thiele,2025-02-16 00:44:16,Joan Thiele is the clear winner of this Sanremo for me! This song is perfect! Hope she will get a respectable placement in the end! #sanremo25
Joan Thiele,2025-02-16 00:44:57,Lato positivo di carloco che non mostra la classifica estesa è che ci risparmieremmo Joan Thiele ingiustamente in fondo probabilmente pure sotto Marcella Bella #Sanremo2025
Joan Thiele,2025-02-16 00:48:58,"Che vi devo dire: Joan Thiele, per me merita la prima colonna della classifica. Che brava! 
#Sanremo2025"
Joan Thiele,2025-02-16 00:43:05,joan thiele loro potranno non averti capito ma io ti ho capita a livello spirituale e spero che possiamo vederci per un caffè per scambiare presto due chiacchiere parlare di questa tua aura mistica condividere un attimo la stessa aria
Joan Thiele,2025-02-16 00:42:50,joan thiele il tuo flow è troppo potente la tua aura troppo etrusca le tue trecce troppo cunt fermati o ti uccideranno
Joan Thiele,2025-02-16 00:45:55,e BRAVISSIMA joan thiele hai fatto un sanremo coi fiocchi. sempre elegante sempre impeccabile sempre talentuosa sarai sempre la mia preferita
Joan Thiele,2025-02-16 00:49:25,joan thiele io ti amo molto sappilo
Joan Thiele,2025-02-16 00:44:49,Speriamo siano in tanti a svegliarsi su Joan Thiele  #Sanremo2025
Joan Thiele,2025-02-16 00:43:46,"[ #Sanremo2025 - 5e soirée]

Encensée par la presse, Joan Thiele risque d'avoir du mal à mobiliser le public avec une proposition captivante, hypnotique, ensorcelante. Vous l'aurez compris : je craque au plus haut point et prie pour que ce ne soit que partie remise à l'Ariston"
Joan Thiele,2025-02-16 00:49:17,questi testi di Joan Thiele e Lucio Corsi mi scaldano il cuoricino #sanremo2025
Joan Thiele,2025-02-16 00:48:29,"mia personalissima top 3 aggiornata

1. Joan Thiele
2. Guè
3. Fedez"
Joan Thiele,2025-02-16 00:44:01,Joan Thiele - Eco... groundbreaking iconic amazing show-stopping legendary performance.. she's so coming 22nd isn't she #Sanremo2025
Joan Thiele,2025-02-16 00:42:33,joan thiele farai un terribile 25esimo posto ma sarai in cima al mio wrapped e questo rappresenta un po’ la persona che sono
Joan Thiele,2025-02-16 00:45:40,e la magia che hanno portato sul palco sia lucio corsi che joan thiele dovreste solo ringraziare per aver assistito a tutto ciò
Joan Thiele,2025-02-16 00:46:50,"Passare da quel pezzone di Joan Thiele a questo canto da dinosauro di Massimo Ranieri, pare di fare il viaggio indietro nel tempo con la DeLorean #sanremo2025"
Joan Thiele,2025-02-16 00:50:04,"La top 5 giusta sarebbe:
Lucio Corsi
Brunori Sas
Sarah Toscano
Joan Thiele
Elodie"
Joan Thiele,2025-02-16 00:45:22,"Tiene pinta de que Joan Thiele va a ser la robada de este Festival y me parece incomprensible. Cancion e interpretaciones de una calidad absoluta, no ha fallado ni una #Sanremo2025"
Joan Thiele,2025-02-16 00:42:14,Joan Thiele a momenti mi da fortissime vibes da Meg dei 99 Posse.
Joan Thiele,2025-02-16 00:48:18,vai amore prendiamoci questo 28esimo posto con fierezza! (ti meriti minimo la top 10 amore ma sei la robbata dell'edizione) #SANREMO2025
Joan Thiele,2025-02-16 00:41:44,joan thiele in un paese giusto arriverebbe tra i primi 3 ma sappiamo tutti che purtroppo non succederà #Sanremo2025
Joan Thiele,2025-02-16 00:42:49,sapete chi dovrebbe davvero vincere esatto joan thiele
Joan Thiele,2025-02-16 00:43:42,"Joan Thiele troppo sottovalutata, questa canzone è molto bella 

 #Sanremo2025"
Joan Thiele,2025-02-16 00:43:18,la rapina a mano armata che subirà joan thiele
Joan Thiele,2025-02-16 00:41:50,Madre mia che pezzone questo di Joan Thiele
Joan Thiele,2025-02-16 00:43:26,a mio avviso il pubblico ha applaudito troppo poco joan thiele io le avrei fatto una standing ovation di 30 minuti #sanremo_2025
Joan Thiele,2025-02-16 00:46:24, Joan Thiele - Eco #Sanremo2025
Joan Thiele,2025-02-16 00:43:22,joan thiele ha 33 anni?? COSA
Joan Thiele,2025-02-16 00:44:06,joan thiele e quell'assolo di chitarra esatto
Joan Thiele,2025-02-16 00:44:53,#sanremo2025 triste il fatto che joan thiele abbia zero possibilità di vincere perché a me piacerebbe come plot twis
Joan Thiele,2025-02-16 00:42:52,Votate un po' anche Joan Thiele
Joan Thiele,2025-02-16 00:42:45,comunque joan thiele anche la vestita meglio
Joan Thiele,2025-02-16 00:44:39,Miodio ultima performance di Joan Thiele
Joan Thiele,2025-02-16 00:44:35,Joan Thiele altra rivelazione di questo Festival #Sanremo2025
Joan Thiele,2025-02-16 00:40:00,perché noto solo ora la somiglianza di joan thiele con giugiulola?
Joan Thiele,2025-02-16 00:41:50,Non riesco a non ridere sentendo il nome di Joan Thiele perché penso a quel tweet Joan thiele e tanto onesta pare
Joan Thiele,2025-02-16 00:43:07,Le gambe di Joan Thiele
Joan Thiele,2025-02-16 00:41:08,NON VOGLIO VEDERE LA MIA CUCCIOLA JOAN THIELE NEI BASSIFONDI DI QUELLA CLASSIFICA DI MERDA NON CE LA FACCIO
Joan Thiele,2025-02-16 00:53:19,"Joan Thiele è una sorta di dea egizia. 
Ogni volta che appare è un'esperienza esoterica sublime. 

#Sanremo2025"
Joan Thiele,2025-02-16 00:42:58,"Joan Thiele, o un'altra dei pochi di cui andrò ad ascoltare anche qualcosa d'altro dopo sti giorni. #Sanremo2025"
Joan Thiele,2025-02-16 00:43:18,comunque Joan Thiele la più sottovalutata del festival purtroppo
Joan Thiele,2025-02-16 00:40:39,JOAN THIELE AHHHHHHHHH #sanremo_2025
Joan Thiele,2025-02-16 00:43:59,Joan Thiele ha anche ricevuto il bouquet più CHIC com’è giusto che sia #Sanremo2025
