artist,datetime,content
Marcella Bella,2025-02-15 21:08:40,amo Marcella Bella in versione Cugino di Campagna #Sanremo2025
Marcella Bella,2025-02-15 21:18:55,Marcella Bella adesso va a festeggiare uccidendo dei cuccioli di dalmata
Marcella Bella,2025-02-15 21:11:55,"65 yaş üstü kraliçelerin her sene sanremoya gelip bize boplar armağan edip 73. falan olup ortamı terketmesi  marcella bella ablam teşekkürler 
#Sanremo2025"
Marcella Bella,2025-02-15 21:12:47,"Comunque come l'ha preso sul serio il fantasanremo Marcella Bella forse solo Emma nel 2020, va ammesso
 #Sanremo2025"
Marcella Bella,2025-02-15 21:13:04,"btw io e le mie amiche abbiamo iniziato a cantare x scherzo la canzone di marcella bella x prendere in giro le cinquantenni che la postano su tiktok,,, turns out che ora nn ce la togliamo dalla testa e la sappiamo a memoria e ora l'abbiamo cantata urlando"
Marcella Bella,2025-02-15 21:11:39,"IL BOPPONE SOTTOVALUTATO DI MARCELLA BELLA SARAI PER SEMPRE RICORDATA REGINA
#Sanremo2025"
Marcella Bella,2025-02-15 21:34:46," #Sanremo2025 La #Finale La grinta di Marcella Bella in ""Pelle diamante""
CODICE TELEVOTO 03
Diretta su 
@RaiUno
 @RaiPlay"
Marcella Bella,2025-02-15 21:11:36,marcella bella hai fatto un sanremo meraviglioso bravissima
Marcella Bella,2025-02-15 21:11:27,Io ringrazio Marcella Bella per questa canzone perché da mercoledì mattina ho i per te di tik tok pieni di donne di mezz’età che la ballano e mi strappano sempre un sorriso
Marcella Bella,2025-02-15 21:12:35,Comunque Marcella Bella è ancora top #Sanremo2025
Marcella Bella,2025-02-15 21:13:28,"L’unica persona a cui si deve dimostrare qualcosa è la stessa che vediamo riflessa allo specchio. Imparare a bastarsi, senza chiedere il permesso.

 Marcella Bella
 Pelle diamante

L’esibizione integrale è su RaiPlay
In audio su RaiPlay Sound 

#Sanremo2025"
Marcella Bella,2025-02-15 21:09:30,Marcella Bella ha rovinato questo paese lei Pupo e i Pooh #Sanremo2025
Marcella Bella,2025-02-15 21:10:33,marcella bella sei la mia vincitrice 
Marcella Bella,2025-02-15 21:11:56,In pratica Marcella Bella è quello che voleva essere Lucio Corsi. #Sanremo2025
Marcella Bella,2025-02-15 21:09:28,"Che palle Marcella Bella che non riesce ad andare a tempo cascasse il mondo

 #Sanremo2025"
Marcella Bella,2025-02-15 21:11:34,ma che cazzo dite in che senso marcella bella ha 72 anni ma scherzate  #Sanremo2025
Marcella Bella,2025-02-15 21:11:32,Quando Marcella Bella fa spallucce nella choreo mentre dice “stronza” io urlo - yas girl #Sanremo2025
Marcella Bella,2025-02-15 21:12:45,"Canzone di Marcella Bella nei post Semplicemente me. 

#Sanremo2025"
Marcella Bella,2025-02-15 21:23:02,"Marcella Bella, 'mia canzone per tutte le donne'. E' in gara con il brano Pelle Diamante http://ow.ly/eX1j105ZHKz

#ANSA"
Marcella Bella,2025-02-15 21:13:03,"RAGA MARCELLA BELLA HA 72 FOTTUTI ANNI????
#Sanremo2025"
Marcella Bella,2025-02-15 21:16:34,"#sanremo2025 
Testo e significato della canzone di Marcella Bella: Pelle Diamante "
Marcella Bella,2025-02-15 21:10:02,oggi marcella bella ha preparato il polpettone
Marcella Bella,2025-02-15 21:09:39,Marcella Bella
Marcella Bella,2025-02-15 21:11:10,quando sentirete la canzone di Marcella Bella suonare dai carri del pride ricordatevi che si stava facendo eleggere con Alleanza Nazionale
Marcella Bella,2025-02-15 21:09:53,marcella bella ha donato la colonna sonora alle over 50 neodivorziate 
Marcella Bella,2025-02-15 21:12:28,marcella bella forte tosta indipendente la mia cazzo di canzone #Sanremo2025
Marcella Bella,2025-02-15 21:09:48,llamarte marcella bella da las mismas vibras que llamarte francisco franco
Marcella Bella,2025-02-15 21:08:37,Marcella bella s'è fatta prestare il vestito dai Cugini di campagna #Sanremo2025
Marcella Bella,2025-02-15 21:11:26,Marcella Bella ha servito River Song
Marcella Bella,2025-02-15 21:09:48,"Marcella Bella che voleva essere la Berté e invece è i Ricchi e Poveri.
#Sanremo2025"
Marcella Bella,2025-02-15 21:10:29,"Si è parlato poco della magnifica coreografia di Marcella Bella, devastante

#Sanremo2025"
Marcella Bella,2025-02-15 21:13:35,Non si è detto abbastanza ma Marcella Bella ha servito per tutto il festival
Marcella Bella,2025-02-15 21:14:31,"Forse, e dico forse, oggi sentiamo più vicina la narrazione di Lucio Corsi che non quella di Marcella Bella. #Sanremo2025"
Marcella Bella,2025-02-15 21:12:33,"Immagina chiamarti Marcella Bella e non essere che ne so una mucca in un cartone animato 
#sanremo2025"
Marcella Bella,2025-02-15 21:23:14,"ACCADDE OGGI - 15 Febbraio 1986 
Si conclude il trentaseiesimo FESTIVAL di SANREMO. Trionfa EROS RAMAZZOTTI con: ADESSO TU.
La classifica finale e i vincitori. 
1° Eros Ramazzotti - Adesso tu 
2° Renzo Arbore - Il clarinetto 
3° Marcella Bella - Senza un briciolo di testa"
