artist,datetime,content
Rkomi,2025-02-15 23:50:14,prossimi live di lou o rkomi vi prego facciamo in modo che l'uno sappia l'esistenza dell'altro
Rkomi,2025-02-15 23:58:02,rkomi international
Rkomi,2025-02-15 23:55:16,rkomi scambiato per louis
Rkomi,2025-02-15 23:43:08,MA PERVHE NON PUNTATE SU BRESH O RKOMI CHE ALMENO LE LORO CANZONI SONO CARINEEEEE ora mi metto ad urlare
Rkomi,2025-02-15 23:38:53,"ciao 
@rkomi_mirko
 tu ascolti halsey? Dovresti anche lei veniva accusata di cantare in corsivo siete gemellini"
Rkomi,2025-02-15 23:06:19,RKOMI SCAMBIATO PER LOUIS TOMLINSON CON LA MAGLIETTA DELL’ERAS TOUR
Rkomi,2025-02-15 23:14:51,"Codice 28 votatelo 
@rkomi_mirko
 sei diventato internazionale"
Rkomi,2025-02-15 23:53:13,featuring louis x rkomi a mezzanotte
Rkomi,2025-02-15 23:45:14,festival così noioso che sto scrivendo una fan fiction sulla michelin e rkomi
Rkomi,2025-02-15 23:51:22,"Mirko è il sesto membro degli One Direction in realtà 
@rkomi_mirko
 
#sanremo_2025"
Rkomi,2025-02-15 23:48:32,"rkomi sei il più divertente, ti voglio bene"
Rkomi,2025-02-15 23:48:31,rkomi con la maglia di taylor scambiato per louis dalle internazionali durante sanremo che risponde con un meme twitterino non te lo puoi inventare
Rkomi,2025-02-15 23:34:16,ma gli internazionali che hanno visto la foto di rkomi con la maglia dell’eras e lo stanno scambiando per louis tomlinson
Rkomi,2025-02-15 23:41:09,rkomi questo sanremo ci ha dato tutto quel boppone del ritmo delle cose punti al fantasanremo una nuova lingua da studiare e una scorta di meme infinita grazie
Rkomi,2025-02-15 23:07:07,"io: so che è rkomi
sempre io: i can't unsee è louis"
Rkomi,2025-02-15 23:41:41,questa collisione rkomi x louis tomlinson sanremo 2025 non te la puoi inventare
Rkomi,2025-02-15 23:38:05,"rkomi ft louis tomlinson io ci credo, non ho certezze ma neanche dubbi"
Rkomi,2025-02-15 23:21:11,"mia top 5 in ordine sparso

irama
achille
franci
rkomi
olly"
Rkomi,2025-02-15 23:27:29,"willie peyote,bresh,rkomi e achille lauro quando salgono sul palco dell’ariston #sanremo2025 https://x.com/datrotajohnson/status/1740486216947319093/video/1…"
Rkomi,2025-02-15 23:33:24,"Rkomi, serena brancale e willie peyote che ballano i coma_cose #Sanremo2025 https://x.com/21metgala/stat/21metgala/status/1890588037270102182…"
Rkomi,2025-02-15 23:44:50,Entro la fine del 2025 io voglio una foto Rkomi x Louis
Rkomi,2025-02-15 23:55:07,Seguito rkomi su twitter persona più divertente mai sbarcata qua sopra dioccarro
Rkomi,2025-02-15 23:24:59,rkomi scambiato per louis questo é il mondo in cui voglio vivere
Rkomi,2025-02-15 23:48:21,adesso si è ribaltato sanremo e tutte le luisine voteranno n28 e vincerà rkomi assurdo ragazzi (io una di quelle)
