artist,datetime,content
Rose Villain,2025-02-15 21:38:39,"Dalla mise, alla grinta vocale, ai sorrisi, stasera Rose Villain ha provato a salire di livello.

#Sanremo2025
#tvtalk"
Rose Villain,2025-02-15 21:33:15,"Rose Villain
Perché?"
Rose Villain,2025-02-15 21:41:57,Rose Villain serata finale #Sanremo2025 #RoseVillain
Rose Villain,2025-02-15 21:41:12,"Se si trattasse di miss sanremo rose villain avrebbe già vinto, ma dobbiamo votare le canzoni. #Sanremo2025"
Rose Villain,2025-02-15 21:41:35,"L’essere umano è mediocre: è bastata Clara per dimenticare subito Rose Villain.

#Sanremo #sanremo25 #Sanremo2025"
Rose Villain,2025-02-15 21:38:15,ROSE VILLAIN DAMMI UNA POSSIBILITÀ #Sanremo2025
Rose Villain,2025-02-15 21:37:05,"Penso che oggi Rose Villain si é salita al palco scenico veramente nervosa o stanca e non ci ha offerto la sua migliore interpretazione.

#Sanremo2025"
Rose Villain,2025-02-15 21:34:28,"Rose Villain, livello di ""pietraggine"" stasera: Stonehenge 
#sanremo25 #Sanremo2025"
Rose Villain,2025-02-15 21:37:33,"Una passione che fonde il cielo e la terra, avvicinando inferno e paradiso. In quell’orizzonte di contrasti c’è l’inquietudine sovversiva di due amanti.

 Rose Villain
 Fuorilegge

L’esibizione integrale è su RaiPlay
In audio su RaiPlay Sound 

#Sanremo2025"
Rose Villain,2025-02-15 21:35:05,rose villain sei certezza
Rose Villain,2025-02-15 21:43:37,"Clara dopo Rose Villain.

Chi è senza peccato scagli la prossima petra 

#Sanremo2025"
Rose Villain,2025-02-15 21:33:43,"rose villain te la lancio con la fionda 
#Sanremo2025"
Rose Villain,2025-02-15 21:35:51,a me non interessa che è uguale a click boom io ho abusato di questa hit rose villain verrai derubata come sempre ma sei la mia fuorilegge preferita
Rose Villain,2025-02-15 21:41:14,Rose Villain nonostante i 10 anni in più per me oggi stravince la gara di figaggine con Clara. Attendiamo Elodie.
Rose Villain,2025-02-15 21:37:33,"Mia top 3:
Brunori
Rose Villain
Lucio Corsi
#sanremo2025"
Rose Villain,2025-02-15 21:48:18,"este streak de Rose Villain, Tony Effe, Clara y Serena Brancale por favor un respiro de tanto temazo"
Rose Villain,2025-02-15 21:36:33,"ho detto a mia mamma che rose villain é sposata e mi fa ""con gue?"""
Rose Villain,2025-02-15 21:42:19,"Rose Villain e poi Clara, il festival della gnocca può terminare qui.

#Sanremo2025"
Rose Villain,2025-02-15 21:54:01,Rose Villain Clara e Serena Brancale una dietro l’altra quelle scale non possono reggere il peso della f pesante ancora a lungo #Sanremo2025
Rose Villain,2025-02-15 21:38:25,"si ti capisco, anch’io guardo così rose villain"
Rose Villain,2025-02-15 21:35:20,Rose Villain proprio Eurovision material #sanremo2025
