artist,datetime,content
Simone Cristicchi,2025-02-15 23:44:11,Simone Cristicchi. Nenhum comentário. Nenhuma torcida. #SANREMO2025
Simone Cristicchi,2025-02-15 23:46:58,The Italian press and public with Simone Cristicchi #Sanremo2025
Simone Cristicchi,2025-02-15 23:45:25,Di cosa parla ‘Quando sarai piccola’ di Simone Cristicchi a Sanremo 2025
Simone Cristicchi,2025-02-15 23:47:44,"Simone Cristicchi, perché ogni tanto i caregiver devono impietosire, è giusto. 
#sanremo_2025"
Simone Cristicchi,2025-02-15 23:46:47,NON SI SONO ALZATI GRAZIE GESÙ MIO SIMONE CRISTICCHI SEI OUT
Simone Cristicchi,2025-02-15 23:42:44,L'ESIBIZIONE DI SIMONE CRISTICCHI ANTICIPATA DA QUESTA COSA  #Sanremo2025
Simone Cristicchi,2025-02-15 23:53:39,"L'Eurovision 2025 si terrà in Svizzera.
A questo punto spero che vinca Simone Cristicchi così potrà portare pure la mamma.
#SANREMO2025 #Eurovision2025 #SimoneCristicchi"
Simone Cristicchi,2025-02-15 23:47:00,"L'autre grand favori, Simone Cristicchi. Chanteur à texte, il a écrit cette chanson en forme d'hommage à sa mère atteinte d'Alzheimer, et sur la façon dont le rapport parent/enfant s'inverse dans ces circonstances. Il est impossible de ne pas être (très) ému. #Sanremo2025"
Simone Cristicchi,2025-02-15 23:52:52,"Sono convinto che sul podio ci saranno questi tre:
-Giorgia
-Simone Cristicchi
-Achille Lauro.
Scegliete voi l'ordine.
#sanremo25 #Sanremo2025 #Sanremo"
Simone Cristicchi,2025-02-15 23:43:39,A me la canzone di Simone Cristicchi non piace. E non mi piace come la canta. Ooohhh l’ho detto #FestivaldiSanremo2025
Simone Cristicchi,2025-02-15 23:44:17,"Creéis que a Simone Cristicchi le han podido pasar factura sus declaraciones sobre los Sanremo de Amadeus? Más allá de que creáis más o menos acertadas sus palabras, pensáis que le ha perjudicado? #Sanremo2025"
Simone Cristicchi,2025-02-15 23:42:36,NO VABBE SIMONE CRISTICCHI!!! *spegne la televisione
Simone Cristicchi,2025-02-15 23:48:35,"Simone Cristicchi deserves the whole fucking world 

#Sanremo2025"
Simone Cristicchi,2025-02-15 23:47:51,nn mi interessa ma x me se non vi piace la canzone di simone cristicchi è solo perchè siete insensibili perche lui puo anche non piacervi e si abbiamo gusti diversi ma non potete dire cose come “fa cagare” ecc
Simone Cristicchi,2025-02-15 23:45:09,"19. Simone Cristicchi – ""Quando sarai piccola""

A heartbreaking autobiographical lullaby Cristicchi sings to his mother who suffers Alzheimer's disease. ""Quando sarai piccola"" is a son’s promise to a mother losing herself, a tender attempt to hold onto what time tries to erase."
Simone Cristicchi,2025-02-15 23:46:44,"Dobbiamo confessarvi che ci siamo commossi durante l’esibizione di Simone Cristicchi

Perché abbiamo finito gli streghini ghiacciati 

#sanremo_2025"
Simone Cristicchi,2025-02-15 23:45:26,"Quando sarai piccola, Simone Cristicchi: testo e significato della canzone di Sanremo 2025 (video)"
Simone Cristicchi,2025-02-15 23:43:10,simone cristicchi è dal giorno 1 che lo scambio per barbasophia aiuto #sanremo2025
