artist,datetime,content
The Kolors,2025-02-15 22:41:49,"Mi immagino questo incubo: vado ad una festa, mi dicono c'è un gruppo tosto, entro, chiudono le porte e non posso più uscire fino alle 3.00 e dentro ci sono i the Kolors. 

#Sanremo2025"
The Kolors,2025-02-15 22:39:28,la canzone dei the kolors non vincerà sanremo ma una cosa è sicura: sarà il tormentone di questa estate 2025 a mani bassissime #Sanremo2025
The Kolors,2025-02-15 22:42:45,"The Kolors brano per i trenini di Capodanno.
#Sanremo2025 #Sanremo_2025 #TheKolors"
The Kolors,2025-02-15 22:44:02,can the kolors please go to eurovision one year it’s all i want
The Kolors,2025-02-15 22:50:35,SE I THE KOLORS HANNO ZERO FAN IO SONO MORTA
The Kolors,2025-02-15 22:50:36,purtroppo nessuno capirà mai i the kolors a sanremo come li capisco io stash voleva solo divertirsi e basta a lui nn frega + un cazzo ha portato un duetto con sal da vinci alla serata cover e gianluca fru sul palco per lui è finito qua sanremo
The Kolors,2025-02-15 22:58:31,we should create another sanremo (summer edition) where the only participant will be the kolors with 15 entries competing against each other. the winner entry goes to the esc for any country that asks for it
The Kolors,2025-02-15 22:41:07,"MA FRU CON I THE KOLORS
+8000000 PUNTI AL FANTASANREMO ADESOOOO

#Sanremo2025 #sanremo_2025"
The Kolors,2025-02-15 22:43:08,"Dai “The Jackal” ai “The Kolors” è un attimo

FRU IS THE NEW REPETTO

#Sanremo2025"
The Kolors,2025-02-15 22:50:05,Fru il Mauro Repetto dei The Kolors #sanremo2025
The Kolors,2025-02-15 22:41:37,"The Kolors are just too fun. Love the beat of their song, Love how unserious it was to just invite the comedian up   #Sanremo2025"
The Kolors,2025-02-15 22:48:55,"i the kolors potevano fare la cosa più divertente di sempre e l'hanno fatta, cazzo"
The Kolors,2025-02-15 22:52:18,"L'INVASIONE DI PALCO NON PROGRAMMATA THE KOLORS VI VOGLIO BENE
#fantasanremo #sanremo2025"
The Kolors,2025-02-15 22:43:12,i the kolors con l’invasione di fru mi hanno fatto fare un sacco di punti VI AMO
The Kolors,2025-02-15 22:51:31,"mi top 5 de sanremo 
elodie 
olly
the kolors
fedez
achille"
The Kolors,2025-02-15 22:54:30,
The Kolors,2025-02-15 22:40:46,"FRU CHE ELUDE LA SICUREZZA E SALE SUL PALCO PER BALLARE CON I THE KOLORS TU CON CHI FAI L’AMORE

#Sanremo2025"
The Kolors,2025-02-15 22:41:44,"The Kolors would get easy top 10 in eurovision, EASY! #Sanremo2025"
The Kolors,2025-02-15 22:51:31,"ci so stati problemi tecnici con i the kolors possiamo rifare? 
@SanremoRai"
The Kolors,2025-02-15 22:40:39,the kolors my men of the sanremo year this is great
The Kolors,2025-02-15 22:57:44,i the kolors devono partecipare a OGNI edizione del festival non mi interessa devono esserci SEMPRE loro sono il mio pane quotidiano
The Kolors,2025-02-15 22:43:51,"i the kolors con fru e mahmood hanno fatto le cose più belle di questa settimana, grazie di esistere #Sanremo2025"
The Kolors,2025-02-15 22:43:34,FRU DEI THE JACKAL CHE SI È INTRUFOLATO SUL PALCO GRAZIE AI THE KOLORS LA PIPÌ ADDOSSO MI STO FACENDO #Sanremo2025
