artist,datetime,content
Willie Peyote,2025-02-15 22:16:52,"Ci sono molti motivi per ritenere 
@willie_peyote
 meritevole di voto. 
Subito ne vengono in mente due: essere un hombre vertical in un festival che molti vorrebbero sdraiato e essere tifoso del Toro. 
Entrambi richiedono molto coraggio."
Willie Peyote,2025-02-15 22:21:54,"I miei top in ordine sparso:
Bresh
Lucio Corsi 
Willie Peyote
Olly
Joan Thiele"
Willie Peyote,2025-02-15 22:00:26,"Brunori il mio cuore è tuo, di Willie Peyote, di Lucio Corsi, del mio cane e del mio gatto #Sanremo2025"
Willie Peyote,2025-02-15 22:05:09,Willie Peyote è l'uomo che le ragazze vogliono. #Sanremo2025
Willie Peyote,2025-02-15 22:33:11,Adesso questo lo prendiamo di peso e lo mandiamo a imparare la gestualità da Willie Peyote. #Sanremo2025
Willie Peyote,2025-02-15 22:03:19,"""Dovresti andare a lavorare e non farti manganellare nelle piazze""
(Grazie ma no grazie - Willie Peyote)
#Sanremo2025"
Willie Peyote,2025-02-15 22:04:47,per fortuna che ora i likes sono privati così nessuno vede i tweet su willie peyote a cui metto like
Willie Peyote,2025-02-15 22:09:27,"la cosa che mi fa incazzare di questo Sanremo è il modo in cui sono sottovalutati Bresh Sarah Toscano Shablo Rkomi e Willie Peyote che hanno delle canzoni bellissime ma nessuno li calcola ma anche tipo i vari programmi che hanno commentato in questi giorni è ingiusto
#Sanremo2025"
Willie Peyote,2025-02-15 22:04:54,@ willie peyote @ brunori sas @ alberto angela #Sanremo2025
Willie Peyote,2025-02-15 22:31:30,"La mia classifica :
Lucio Corsi
Gabbani
(abbracciatevi e state streeettiiistreeettiiinell'estasi d'amor) 
Achille Lauro
Bresh
Coma_Cose
Fedez
Noemi
Olly
Rkomi
Rocco Hunt
Serena Brancale
Shablo "
Willie Peyote,2025-02-15 22:05:02,"Domani domani do-do-domani 
potrebbe già mancarmi tutto questo…

#GrazieMaNoGrazie #Sanremo2025 
@SanremoRai"
Willie Peyote,2025-02-15 22:57:15,"basta chiedere il mio tipo ideale, se c’è chimica c’è chimica…
è willie peyote:

#Sanremo2025"
Willie Peyote,2025-02-15 22:53:57,"Io vi giuro che Willie Peyote è quella crush che non mi passerá mai

#sanremo2025"
Willie Peyote,2025-02-15 22:06:04,Comunque capisci che stai maturando quando tutti sbavano dietro ad Olly ma te guardi solo Willie Peyote. Che grandissimo porco 
Willie Peyote,2025-02-15 22:44:39,io mi voglio fare willie peyote mi sono stufata
Willie Peyote,2025-02-15 22:04:59,bresh willie peyote alberto angela brunori il porcometro sta esplodendo #Sanremo2025
