artist,datetime,content
Achille Lauro,2025-02-13 00:51:07,"Per la Top 5 di oggi non transigo:
Fedez
Achille Lauro
Simone Cristicchi
Giorgia

E uno a caso scelto da voi. 

#Sanremo2025"
Achille Lauro,2025-02-13 00:25:19,Zedef e 0lly osannati per canzoni banalucce orecchiabili quando Achille Lauro ha sganciato il pezzone come al solito non capite un cazzo
Achille Lauro,2025-02-13 00:29:40,"La voce di Giorgia 
Il testo e il messaggio di Rkomi 
Il brano e lo stile di Achille Lauro
La radiofonicitá di Olly
La meravigliosa sorpresa di Settembre 
La potenza di Irama

Io sto messa così.
E voi che sospiri fate?"
Achille Lauro,2025-02-13 00:03:47,Achille Lauro a Rai Radio 2
Achille Lauro,2025-02-13 00:59:26,#Sanremo2025 la lettera della madre di Achille Lauro
Achille Lauro,2025-02-13 00:52:33,"Top 5 quien creeis yo digo

Simone Cristicchi 
Giorgia
Fedez
Achille Lauro
Bresh"
Achille Lauro,2025-02-13 00:30:08,Ma Achille Lauro è venuto vestito da Kizaru
Achille Lauro,2025-02-13 00:39:45,"Previsione top5 di serata dal più probabile al meno:

- Simone Cristicchi
- Achille Lauro
- Fedez
- Giorgia
- Elodie

(bubbling under: Rose Villain, Lucio Corsi, Rocco Hunt)"
Achille Lauro,2025-02-13 00:21:44,"Qué agilidad en los giros, qué potencia, qué precisión. Menuda vocalista es Giorgia. Ella es sin duda mi favorita. Completaría mi top 3 de Sanremo 2025 Fedez y Achille Lauro. Mención especial a la letra de la canción de Simone Cristicchi."
Achille Lauro,2025-02-13 00:44:06,La canzone di Bresh si mangia a colazione pranzo e cena gli ultra pompati Achille Lauro e Olly #sanremo2025
Achille Lauro,2025-02-13 00:36:19,"""Achille lauro è stato con chiara Ferragni che è l'ex di Fedez che è stato con Taylor Mega che è l'ex di Tony effe che sta con Giulia de lellis che è l'ex di Irama e di Iannone che sta con Elodie che è l'ex di marra che ha litigato con Fedez e tony effe"""
Achille Lauro,2025-02-13 00:54:08,achille lauro
Achille Lauro,2025-02-13 00:06:48,"""praticamente tony effe ha litigato con fedez che stava con chiara ferragni che è stata a letto con achille lauro che frequenta la sorella di sarah toscano"" #Sanremo2025"
Achille Lauro,2025-02-13 00:43:41,"Achille Lauro sopravvalutato. 
#Sanremo2025"
Achille Lauro,2025-02-13 00:47:58,Allora rieccoci con la previsione della top5 di stasera io dico fedez giorgia cristicchi achille lauro ed elodie ??????
