artist,datetime,content
Elodie,2025-02-13 00:00:35,Angelina senza cognome? Tipo Annalisa Emma Elodie?  #chilhavisto
Elodie,2025-02-13 00:56:35,"I'm gonna be risky and bet on the Top 5 tonight:

Fedez
Giorgia
Elodie
Lauro
Simone 

#Sanremo2025"
Elodie,2025-02-13 00:14:56,"Le même virus qu'en France 
""Cela pourrait arriver à n'importe quelle famille"" : au Royaume-Uni, les attaques au couteau sont un véritable fléau"
Elodie,2025-02-13 00:44:42,todo lo que no sea fedez y elodie pasando a la final me va a parecer un tongo
Elodie,2025-02-13 00:56:56,"Simone,Fedez,Giorgia,Achille,Willie/Elodie???? #Sanremo2025"
Elodie,2025-02-13 00:17:18,Canzone così così ma stesso discorso di Elodie
Elodie,2025-02-13 00:46:01,"Le conferme di Giorgia e Lucio Corsi, Elodie disco diva, Fedez ansiogeno, il Pret winter di Rose Villain, un po’ di rock e un po’ di kitsch: le pagelle delle canzoni della seconda serata di Sanremo 2025"
Elodie,2025-02-13 00:17:32,"Unpopular opinion
Rose Villain >>>>> Elodie

#Sanremo2025"
Elodie,2025-02-13 00:50:24,Immagina svegliarsi la mattina sapendo di essere Elodie Di Patrizi #Sanremo2025
Elodie,2025-02-13 00:44:03,todo muy similar a ayer salvo los subidones de elodie y rkomi
Elodie,2025-02-13 00:57:55,Se elodie stasera è in top 5 esco la foto della minchia
Elodie,2025-02-13 00:44:04,elodie eu te amo 
Elodie,2025-02-13 00:35:26,Non Elodie che ricrea i bimbini di carta che ritagliavamo alle elementari  #Sanremo2025
Elodie,2025-02-13 00:48:15,Se Elodie arriva in top 5 stasera metto come foto profilo Angela Ciancio
Elodie,2025-02-13 00:43:33,"[ #Sanremo2025 - 2e soirée]

Quels sont vos favoris de la soirée ? 

Ici, gros coup de cœur pour Fedez, gros crush sur The Kolors, Serena Brancale et Giorgia, ému par Cristicchi, touché en plein  par Michielin, et puis Elodie, ô Elodie..."
Elodie,2025-02-13 00:44:53,"ella, elodie y olly, no busquen más"
Elodie,2025-02-13 00:45:33,se elodie non è nel podio distruggo l’ariston
Elodie,2025-02-13 00:17:02,"E comunque rose villain insieme a Elodie e Giorgia una delle poche adatte ad Eurovision, che magra quest’anno #sanremo2025"
Elodie,2025-02-13 00:19:18,Unpopolar opinion Rose meglio di elodie  #Sanremo2025
Elodie,2025-02-13 00:51:48,"#Sanremo2025. Elodie 5,5. Scopri qui perchè "
Elodie,2025-02-13 00:33:31,"Top 5 stasera: 
1. Achille Lauro
2. Giorgia
3. Simone Cristicchi
4. Elodie
5. Lucio Corsi

#Sanremo2025 "
Elodie,2025-02-13 00:26:12,Voi non capite quanto io sia stanco. Voglio andare a dormire #Sanremo2025
Elodie,2025-02-13 00:05:10,"Dla mnie dzisiaj: 
Simone,
Elodie,
Francesca,
Achille,
Giorgia."
Elodie,2025-02-13 00:46:45,"La mia top 5 in ordine sparso di stasera:

Elodie
Lucio Corsi
The Kolors
Fedez
Michielin

Come sarà davvero:

Achille Lauro
Giorgia
Cristicchi"
Elodie,2025-02-13 00:15:22,bianca balti giustamente vorrebbe assaporare DIVORARE elodie e rose villain
Elodie,2025-02-13 00:48:50,"Mi top 5:
1. Elodie
2. Georgia
3. Rose Villain
4. Fedez
5. Francesca Michielin"
Elodie,2025-02-13 00:46:58,Se Elodie finisce in top 5 esco il cazzo
Elodie,2025-02-13 00:44:00,ed elodie lo sa?  vorrei molto
