artist,datetime,content
Fedez,2025-02-12 23:39:35,Fedez nei camerini di #Sanremo:
Fedez,2025-02-12 23:20:35,"#Fedez 
#Sanremo2025 

Perché è giusto ricordare al mondo che io mi iscrissi qua sopra quando avevo 12 anni solo per seguire Fedez nel suo prime, fiera di averlo conosciuto nel suo prime, aver inseguito tutti i suoi firma copie, concerti e magliette."
Fedez,2025-02-12 23:32:12,"io che mi aspettavo che dalla prima serata mentre entrasse fedez ci sarebbero stati tutti fischi in sala e invece ci sono stati tutti applausi io cosi: 
#Sanremo2025"
Fedez,2025-02-12 23:32:26,Siamo molto influenzati dalla merda degli ultimi giorni e non solo ma è innegabile che Fedez abbia una bella canzone ed un'esibizione che sembra estremamente sincera e sentita #Sanremo2025  #fedez
Fedez,2025-02-12 23:43:12,"aggiornamento 
Elodie 25
Rocco 15
Lucio 45
The kolors 25
Serena brancale 45
Fedez 10
Francesca Michelin 25
Cristicchi 30
Marcella bella 35
Bresh -5
Achille lauro 30"
Fedez,2025-02-12 23:51:29,"Giorgia per favore vinci tu, salvaci da Fedez #Sanremo2025"
Fedez,2025-02-12 23:55:33,"La cosa peggiore di questo sanremo è che la canzone di Fedez è buona ed entrambe le esibizioni sono state valide sotto ogni punto di vista, incredibile questi uomi cadono sempre in piedi"
Fedez,2025-02-12 23:21:05,"Fedez
#Sanremo2025"
Fedez,2025-02-12 23:08:45,"Es un temazo. A mí el Fedez artista me ha encantado siempre y eso no lo puedo obviar, pero me causa tanto rechazo ahora mismo que me cuesta disfrutarlo"
Fedez,2025-02-12 23:47:23,"in un paese giusto la canzone di fedez verrebbe valorizzata esattamente quella di cristicchi; 
ma in italia dove vengono ignorate le “persone interrotte” chiamandole con l’appellativo di “pazzi”, ed i suicidi passano in secondo piano, non mi meraviglio che sia così. 
#Sanremo2025"
Fedez,2025-02-12 23:59:12,"sì ma perchè la canzone di fedez inizia davvero a piacermi 
#Sanremo2025"
