artist,datetime,content
Lucio Corsi,2025-02-12 23:35:34,Lucio Corsi stasera:  #Sanremo2025
Lucio Corsi,2025-02-12 23:24:58,"Lucio Corsi e Lauro.
Tutto il resto è Sanremo.
#Sanremo2025"
Lucio Corsi,2025-02-12 23:18:46,"Non so come spiegarlo ma Lucio Corsi sembra che abbia smarrito il sentiero nel Fantabosco andando a finire nella “Città Laggiù” sul palco di Sanremo con Carlo Conti al posto di Tonio Cartonio

#Sanremo2025"
Lucio Corsi,2025-02-12 23:25:26,"""Sembra venire da un non-tempo, da un non-mondo, ma in fondo gli artisti non dovrebbero essere così?"" 
@alaffranchi
 @ErreEffe7
 su Lucio Corsi #Sanremo2025"
Lucio Corsi,2025-02-12 23:27:42,"per me il podio deve essere
1)Giorgia
2) Achille Lauro
3) uno tra Lucio Corsi/Michielin/Elodie/Fedez/Irama #Sanremo2025"
Lucio Corsi,2025-02-12 23:45:10,Lucio corsi usa i pacchi delle patatine come poggiaspalline. L’arte di arrangiarsi. #Sanremo #sanremo2025 #Sanremo25 #LucioCorsi
Lucio Corsi,2025-02-12 23:59:52,"io quando lucio corsi canta “volevo essere un duro, però non sono nessuno, non sono altro che lucio”: troppo io

io quando marcella bella canta “forte, tosta, indipendente”: troppo io

#sanremo2025"
Lucio Corsi,2025-02-12 23:28:09,in un mondo giusto sul podio dovrebbero stare le canzoni di achille lauro fedez e lucio corsi #Sanremo2025
Lucio Corsi,2025-02-12 23:12:12,"In un'industria piena di autoproclamati maschi alpha che cantano del loro essere senza macchia e senza paura, di quante donne e rivali hanno, quanto sono cattivi, duri, che non glie ne frega niente di nessuno, il vero forte è Lucio Corsi  #sanremo25"
Lucio Corsi,2025-02-12 23:30:01,"Con Lucio Corsi vincitore della prima serata, il #Fantasanremo entra nel vivo. Tra bonus e malus seguite l'aggiornamento dei punti in diretta  https://tinyurl.com/34narb7b"
Lucio Corsi,2025-02-12 23:16:37,"ecco da dove è uscito lucio corsi
#Sanremo2025"
Lucio Corsi,2025-02-12 23:37:27,"vabbè i tempi sono maturi lucio corsi smash 

#sanremo25 #sanremo"
Lucio Corsi,2025-02-12 23:32:29,"Sanremo 2025, le pagelle: Elodie non decolla (5), Lucio Corsi una boccata di leggerezza (8), Cristicchi intenso (9)
https://msn.com/it-it/intrattenimento/notizie/sanremo-2025-le-pagelle-elodie-non-decolla-5-lucio-corsi-una-boccata-di-leggerezza-8-cristicchi-intenso-9/ar-AA1yVcYO?ocid=spr_ent…"
Lucio Corsi,2025-02-12 23:30:46,""" La canzone più bella é quella di Lucio Corsi. "" #Sanremo2025"
Lucio Corsi,2025-02-12 23:09:38,lucio corsi è l’omino piccolo così di attenti al lupo di lucio dalla
Lucio Corsi,2025-02-12 23:37:58,"Per ora ho trovato una canzone che mi piace: quella di Lucio Corsi.
Ci trovo qualcosa di Ivan Graziani."
Lucio Corsi,2025-02-12 23:57:35,lucio corsi top. #anime #cartoon
Lucio Corsi,2025-02-12 23:37:01,che cosa ci fa lucio corsi con phoebe bridgers e lucy dacus? #Sanremo2025
Lucio Corsi,2025-02-12 23:29:37,"Dico ""Vabbè, fammi sentire sto Lucio Corsi"".

Primi due versi:
Volevo essere un duro
Che non gli importa OK BASTA, HO SENTITO ANCHE TROPPO"
Lucio Corsi,2025-02-12 23:07:54,letto un po' meglio e riflettuto un po' troppo sul testo di Lucio corsi ora mi ammazzo
Lucio Corsi,2025-02-12 23:02:40,pensavo parlasse di lucio corsi invece parlava del bambino di 6 anni ops
Lucio Corsi,2025-02-12 23:20:03,lucio corsi il monarca di quest’edizione #sanremo2025
Lucio Corsi,2025-02-12 23:10:15,"I miei preferiti (l’ordine di importanza non è stato ancora deciso): Brunori, Lucio Corsi, Cristicchi."
Lucio Corsi,2025-02-12 23:11:49,Come vorrei essere (canzone di Marcella Bella) come sono in realtà (canzone di Lucio Corsi).
Lucio Corsi,2025-02-12 23:09:38,"Disegno preferiti di questo Sanremo.
Lucio Corsi "
Lucio Corsi,2025-02-12 23:52:43,ma raga lucio corsi è snufkin
Lucio Corsi,2025-02-12 23:09:28,"Ripeto, 100% Lucio Corsi."
Lucio Corsi,2025-02-12 23:10:47,"Lucio Corsi, mio protetto, quante soddisfazioni mi stai dando"
