artist,datetime,content
Marcella Bella,2025-02-12 23:31:40,"Il Festival di Sanremo ci aiuta a ricordare che esistono ancora gli sms e Marcella Bella.
#Sanremo2025"
Marcella Bella,2025-02-12 23:11:18,Marcella Bella ha il testo di una 50enne separata da un mese che si iscrive su Facebook
Marcella Bella,2025-02-12 23:12:00,"Questa di Marcella Bella sembra una canzone che potrebbe cantare Candace  in Phineas & Ferb perché ha letto male un sms di Jeremy. 

#Sanremo2025"
Marcella Bella,2025-02-12 23:10:31,Oddio anch'io sono la mia fan numero uno quante cose abbiamo in comune Marcella Bella #Sanremo2025
Marcella Bella,2025-02-12 23:14:56,"Non avrei mai immaginato che mi sarei ritrovata a canticchiare una canzone di Marcella Bella e invece FORTE TOSTA INDIPENDENTE
PELLE COME DIAMANTE
NON MI FA MALE NIENTE 
#Sanremo2025"
Marcella Bella,2025-02-12 23:14:31,marcella bella la mia quota lesley manville di questo sanremo eestop
Marcella Bella,2025-02-12 23:11:22,momento esibizione marcella bella il più divertente di questa edizione
Marcella Bella,2025-02-12 23:10:21,LA CANZONE DI MARCELLA BELLA PARE LA SIGLA DI PASO ADELANTE MA AMBIENTATO A SIRACUSA
Marcella Bella,2025-02-12 23:25:16,"Per me venire da un periodo storico e musicale come il suo e riuscire a mettersi in gioco a 72 anni mantenendo la grinta e la voglia di divertirsi vale più di vincere qualsiasi #Sanremo2025 

Marcella bella sei un’icona e la tua hit è già pronta per tik tok"
Marcella Bella,2025-02-12 23:15:40,"Secondo me Marcella Bella ha uno specchio in soffitta.
#Sanremo2025"
Marcella Bella,2025-02-12 23:10:22,"Sono una combattente 
La mia più grande fan sono io!#Sanremo2025 Marcella Bella"
Marcella Bella,2025-02-12 23:10:51,"Marcella Bella impeccabile nello sfoggiare anche all’Ariston la grande ferocia delle signore del Quadrilatero della moda. Quelle pronte a tutto pur di conquistare il tavolo migliore da Marchesi per il the delle cinque. 
#Sanremo2025"
Marcella Bella,2025-02-12 23:13:13,"FAMMI MILLE COMPLIMENTI E STOP. 

#marcella #bella #marcellabella
#pellediamante
#forte #tosta #indipendente 
#Sanremo2025 #tvtalk"
Marcella Bella,2025-02-12 23:16:58,Pausa de protesto contra o júri que colocu a Marcella Bella em último lugar. #Sanremo2025
Marcella Bella,2025-02-12 23:10:16,Canzone di Marcella Bella uscita direttamente da un post boomer di Facebook  #Sanremo2025
Marcella Bella,2025-02-12 23:11:55,"“Pelle Diamante” è la risposta di Marcella Bella a “Pazza” di Loredana Berté 

#Sanremo2025"
Marcella Bella,2025-02-12 23:14:55,"Beata Marcella Bella se a 72 anni non le fa male niente, noi qua abbiamo iniziato ancor prima dei 30 #Sanremo2025"
Marcella Bella,2025-02-12 23:10:03,marcella bella la donna che sei 
Marcella Bella,2025-02-12 23:24:46,"se tu sei la tua più grande fan io sono la seconda marcella bella bella

#Sanremo2025"
Marcella Bella,2025-02-12 23:10:00,Ma voi siete pazzi. Che cazzo guardate? C’è Marcella Bella che ha 90 anni e Carlo Conti che se presentasse Peter Sellers lo farebbe diventare noioso. Penso fosse meglio la tv sovietica.
Marcella Bella,2025-02-12 23:11:38,qualunque donna in crisi/ divorziata con il proprio marito ha in questo momento la canzone di marcella bella nelle storie whatsapp
Marcella Bella,2025-02-12 23:08:59,la canzone di marcella bella è tipo un collage di post su facebook di mia zia
Marcella Bella,2025-02-12 23:09:21,Marcella Bella o Madame alle 150esima dose? #Sanremo2025
Marcella Bella,2025-02-12 23:10:09,"Simone Cristicchi             Marcella Bella

#Sanremo2025"
Marcella Bella,2025-02-12 23:11:07,Can I just say that Marcella Bella is gorgeous and her song a bop?? Love her style and her hair!! #Sanremo2025
Marcella Bella,2025-02-12 23:11:07,Marcella Bella tiene 70 anni e alle undici di sera dal palco di Sanremo dice che è tosta e indipendente mentre io sto in pigiama e vestaglia sul divano da due ore e mi fa male la schiena  #Sanremo2025
Marcella Bella,2025-02-12 23:09:14,marcella bella ha una bop secondo me comunque
Marcella Bella,2025-02-12 23:11:43,marcella bella subito dopo cristicchi sanremo sta dando
Marcella Bella,2025-02-12 23:08:28,la canzone di marcella bella è piena di frasi che mia madre scriverebbe sullo stato di whatsapp per farle leggere ai parenti con cui non parla più
Marcella Bella,2025-02-12 23:11:54,Da grande voglio diventare la donna descritta da Marcella Bella #Sanremo2025
Marcella Bella,2025-02-12 23:12:20,marcella bella più baddie di anna pepe #Sanremo2025
Marcella Bella,2025-02-12 23:11:44,"Marcella Bella 72 anni sul palco dell’Ariston, io 28 anni a casa con le ciavatte ortopediche. 
#Sanremo2025"
Marcella Bella,2025-02-12 23:13:05,Marcella Bella ti leccherei l’ascella
Marcella Bella,2025-02-12 23:10:07,"Noi ridiamo e scherziamo ma Cristiano Malgioglio è autore di molte canzoni stupende di Mina, Califano, Raffaella Carrá, Marcella Bella, Patty Pravo, Berté e tanti altri.
#Sanremo2025"
Marcella Bella,2025-02-12 23:11:31,"Marcella Bella a 72 anni che ""non mi fa male niente"" e io a 46 con mal di schiena, mal d'orecchio, tunnel carpale ""beata te!"""
Marcella Bella,2025-02-12 23:10:01,la canzone di marcella bella è palesemente nella notte e nel buio di anastasia
