artist,datetime,content
Rocco Hunt,2025-02-12 21:39:36,Grazie alla sua dimenticanza un uomo (rocco hunt) se n’è andato con zero fiori e una donna (elodie) se n’è andata con ben DUE mazzi di fiori in entrambe le mani.. carlo conti ha fatto anche cose buone
Rocco Hunt,2025-02-12 21:38:02,ELODIE CHE DEVE PORTARE I FIORI A ROCCO HUNT PERCHÉ CARLO CONTI SI È SCORDATOOOOOOOOOOOO #Sanremo2025
Rocco Hunt,2025-02-12 21:30:35,"Il generatore di canzoni di Rocco Hunt parla sempre del medesimo tema con sempre le medesime parole. Ci sarà un bug nel codice, altrimenti non si spiega #Sanremo2025"
Rocco Hunt,2025-02-12 21:28:23,"Il modo in cui sottovalutate Rocco Hunt, lui ha scritto un sacco di hit per i vostri fav e non lo sapete nemmeno!! #Sanremo2025"
Rocco Hunt,2025-02-12 21:31:46,"2014 newcomer winner Rocco Hunt opens the show on night 2. It's quite the nice little upbeat number. I didn't catch his whole performance yesterday, and have to say I'm impressed with the song ~ Dale #Sanremo2025"
Rocco Hunt,2025-02-12 21:37:21,"Vi spiego come funziona Sanremo: 
È campano? Allora si tifa 
Forza Rocco Hunt
Forza Massimo Ranieri
Forza The Kolors

XXXX"
Rocco Hunt,2025-02-12 21:28:55,"Ma Rocco Hunt non era grasso?
“Ti dicevano non sarai mai nessuno”, ué scurnacchiat svevano ragione 

#sanremo25"
Rocco Hunt,2025-02-12 21:27:38,"Il testo di “Mille volte ancora”, la canzone di Rocco Hunt a Sanremo2025"
Rocco Hunt,2025-02-12 21:39:16,Carlo Co va talmente di fretta che si è dimenticato di dare i fiori a Rocco Hunt #Sanremo2025
Rocco Hunt,2025-02-12 21:30:49,passando da alex e settembre a rocco hunt #sanremo2025
Rocco Hunt,2025-02-12 21:30:24,"#Sanremo2025
Ma  è Piero Barone del Volo sotto pseudonimo di Rocco Hunt"
Rocco Hunt,2025-02-12 21:29:17,"l’ennesima canzone di rocco hunt in cui parla di caffè, mamma, quartiere, casa. che noia
#Sanremo2025"
Rocco Hunt,2025-02-12 21:29:23,rocco hunt
Rocco Hunt,2025-02-12 21:30:22,La canzone di Rocco hunt mi ha drogata #Sanremo2025
Rocco Hunt,2025-02-12 21:29:17,Il coraggio di fare esibire Rocco hunt dopo quell’esibizione incredibile di Damiano
Rocco Hunt,2025-02-12 21:32:29,Rocco Hunt. #Sanremo2025
Rocco Hunt,2025-02-12 21:31:34,per me rocco hunt è un NO #Sanremo2025
Rocco Hunt,2025-02-12 21:41:44,"Rocco Hunt, ti amavo prima col look scugnizzo un po’ chiatto e ti amo oggi col look lesbica che ha fatto il trapianto di barba  #sanremo25"
Rocco Hunt,2025-02-12 21:33:32,come si stava bene quando rocco hunt era nella colonna sonora di fifa
Rocco Hunt,2025-02-12 21:31:48,Questa canzone di Rocco Hunt è per noi ragazze di provincia fuggite da casa loro e obbligate a vivere con la perenne nostalgia di un posto che ancora esiste ma non fa più parte di noi #sanremo25
Rocco Hunt,2025-02-12 21:28:57,"Solo per dire a Rocco Hunt che tutte le cose che odiavo quando sono andato via dalla mia terra non solo non mi mancano, ma mi fanno ancora doppiamente cagare. #Sanremo2025"
Rocco Hunt,2025-02-12 21:35:18,Freak dopo che ha sentito Rocco Hunt #Sanremo2025
Rocco Hunt,2025-02-12 21:37:54,Rocco Hunt mi ricorda un commesso di footlocker gli vorrei chiedere se c'è il 38
Rocco Hunt,2025-02-12 21:33:24,"Ognuno si sceglie il nome d’arte che vuole, ma “Rocco Hunt” sembra lo pseudonimo di un attore di film a luci rosse. #Sanremo2025"
Rocco Hunt,2025-02-12 21:30:20,"La chitarra della canzone di Rocco Hunt è deliziosa, mi fa sognare.
#Sanremo2025"
Rocco Hunt,2025-02-12 21:32:02,bo a me rocco hunt non dispiace la canzone è uguale a tutte le altre sue però quasi nessuno dei cantanti in gara ha sperimentato qualcosa di diverso
Rocco Hunt,2025-02-12 21:29:24,Veramente Rocco Hunt ha pensato che fosse una canzone da presentare la sua? #Sanremo2025
Rocco Hunt,2025-02-12 21:38:08,Rocco Hunt 
Rocco Hunt,2025-02-12 21:35:55,"“Mille vote ancora e ridere”

 Rocco Hunt  Mille vote ancora

L’esibizione integrale è su RaiPlay 
In audio su RaiPlay Sound  

#Sanremo2025"
Rocco Hunt,2025-02-12 21:30:16,rocco hunt a san valentino il mazzo di rose col peluche te lo regala
Rocco Hunt,2025-02-12 21:30:24,"Per me Rocco Hunt e Geolier potrebbero benissimo essere la stessa persona, non riuscirei a distinguerli.

#Sanremo2025"
Rocco Hunt,2025-02-12 21:38:34,"ma che significa carloco dice a elodie se vedi rocco hunt dagli sto mazzo di fiori che mi sono scordato, ma è del mestiere questo"
Rocco Hunt,2025-02-12 21:38:49,"ma come carlo si è dimenticato di dare i fiori a rocco hunt sto morendo 

#Sanremo2025"
Rocco Hunt,2025-02-12 21:30:13,"#Sanremo2025 #eurovision 

Rocco Hunt: posso dire che avesse portato QUEST'ANNO Wake up o anche Nu juorno buono avrebbe fatto molto ma molto meglio? Con questa Mille vote ancora non riesco a vederlo tanto in alto"
Rocco Hunt,2025-02-12 21:31:53,"Rocco Hunt me ha gustado menos que ayer, estaba como con menos fuerza #Sanremo2025"
Rocco Hunt,2025-02-12 21:39:11,"Carlo Conti con il turbo in culo che si è persino dimenticato i fiori di Rocco Hunt

#Sanremo2025"
Rocco Hunt,2025-02-12 21:28:37,In pratica sono uno dei pochi che non ha scritto la canzone di Rocco Hunt  #Sanremo2025
Rocco Hunt,2025-02-12 21:30:28,"Rocco Hunt ha un sound migliore di tanti altri.
#Sanremo2025"
Rocco Hunt,2025-02-12 21:39:01,"Carlo per la fretta di andare avanti ha dimenticato i fiori di Rocco hunt ahaaahh

 #Sanremo2025"
Rocco Hunt,2025-02-12 21:32:29,rocco hunt 29
Rocco Hunt,2025-02-12 21:30:14,"rocco hunt quest’anno sta a sanremo come il molise sta alle regioni d’italia 

#Sanremo2025"
Rocco Hunt,2025-02-12 21:31:30,Ascolto Rocco Hunt e forte mi assale il ricordo di quelle discese a Roccaraso #Sanremo2025
Rocco Hunt,2025-02-12 21:30:51,io rocco hunt me lo bomberei
Rocco Hunt,2025-02-12 21:29:49,A me Rocco Hunt piace. E poi dopo Parthenope Napoli comanda per me.
Rocco Hunt,2025-02-12 21:29:40,Rocco Hunt
Rocco Hunt,2025-02-12 21:38:55,carlo conti che si scorda di dare i fiori a rocco hunt #Sanremo2025
Rocco Hunt,2025-02-12 21:31:05,"Ricomincia la gara con Rocco Hunt e il suo bolerino neomelodico. Al netto delle sbavature del camerawork mi era piaciuto più ieri notte, magari stasera la top5 la fa pure ma davvero mi sembra sempre più un non-factor #Sanremo2025"
Rocco Hunt,2025-02-12 21:30:58,la canzone di rocco hunt è sfiziosa va bene essere napoletana porta anche a questo lassateme sta .
Rocco Hunt,2025-02-12 21:28:42,la canzone di rocco hunt sta dando
Rocco Hunt,2025-02-12 21:30:04,"Rocco Hunt canta quello che sentiamo in molti 

#Sanremo2025"
Rocco Hunt,2025-02-12 21:39:43,"Rocco Hunt dietro le quinte per non aver ricevuto i fiori. 

#Sanremo2025 
#RoccoHunt 
#satiremo"
Rocco Hunt,2025-02-12 21:33:10,vedo che alla mia tl sta arrivando la canzone di rocco hunt e vi confesso che mi unisco alla massa stavo proprio vibando
Rocco Hunt,2025-02-12 21:37:07,"raga vi giuro che non ricordo mezza parola, mezza melodia di nessuna delle canzoni in gara, ho già dimenticato come fa quella di rocco hunt #sanremo2025"
