artist,datetime,content
Simone Cristicchi,2025-02-12 22:50:34,"dissiciando durante l'esibizione di simone cristicchi perchè di fare un altro piantone non mi va
#Sanremo2025 #Sanremo"
Simone Cristicchi,2025-02-12 22:54:23,"Simone Cristicchi: Half of Italy is crying right now because of this man's performance...He is paving the way for his win on Saturday night...

#Sanremo2025 #sanremo25 #Eurovision2025"
Simone Cristicchi,2025-02-12 22:51:43,Ero riuscita a non piangere. Fino alla fine. Poi ho fallito. Dite quello che vi pare sinceramente non mi interessa. La canzone di Simone Cristicchi mi lacera l’anima. #Sanremo2025
Simone Cristicchi,2025-02-12 22:52:49,si simone cristicchi no gana este sanremo va a ser el peor robo de los ultimos años y mira que ha habido
Simone Cristicchi,2025-02-12 22:49:38,"la canzone di simone cristicchi mamma mia che brividi. 
#Sanremo2025"
Simone Cristicchi,2025-02-12 22:59:13,"SIMONE CRISTICCHI IL GRANDISSIMO POETA CHE SEI

#Sanremo2025"
Simone Cristicchi,2025-02-12 22:54:52," My Top 10 of #Sanremo2025
1. Simone Cristicchi
2. Olly
3. Irama
4. Francesca Michielin 
5. Fedez 
6. Achille Lauro
7. Giorgia
8. Coma_Cose
9. Gaia
10. Sarah Toscano
 
Let’s send Simone to Basel "
Simone Cristicchi,2025-02-12 22:49:22,"io quando canta Simone CRISTICCHI

#Sanremo
#Sanremo2025"
Simone Cristicchi,2025-02-12 22:59:20,El fenómeno Simone Cristicchi de este #Sanremo2025 se me escapa. Me he leído la letra de la canción y sigo pensando lo mismo: Ajá. Cuéntame más
Simone Cristicchi,2025-02-12 22:47:28,"Il testo di “Quando sarai piccola”, la canzone di Simone Cristicchi a Sanremo"
Simone Cristicchi,2025-02-12 22:59:16,"Spero davvero che Simone Cristicchi abbia il riconoscimento che merita. 
Le sue canzoni sono poesie, sempre significative. 
Il modo che ha di interpretarle è spettacolare e gli argomenti che porta sono ogni volta profondi.
#Sanremo2025"
Simone Cristicchi,2025-02-12 22:53:46,La canzone di Simone Cristicchi è devastante #Sanremo2025
Simone Cristicchi,2025-02-12 22:59:34,"Questa canzone di Simone Cristicchi dedicata alla madre malata di Alzheimer è un pugno nello stomaco, un colpo al cuore, una valanga di emozioni, un vero capolavoro!!! Genio assolto e poeta di rara sensibilità #Sanremo2025"
Simone Cristicchi,2025-02-12 22:58:41," #Sanremo2025 Simone #Cristicchi in gara con ""Quando sarai piccola""  
Codice televoto 08
@scristicchi
Diretta su 
@RaiUno
 @RaiPlay
 @RaiRadio2"
Simone Cristicchi,2025-02-12 22:52:41,"Nel frattempo, ogni volta che ascoltiamo la canzone di Simone Cristicchi perde qualcosa (ma chi la ascolta per la prima volta gli dedica una standing ovation e si commuove sempre), mentre Fedez sconta il fatto di essere Fedez e dalla mia prospettiva in sala stampa sono in pochi"
Simone Cristicchi,2025-02-12 22:51:11,Possiamo fare una petizione per non far più esibire Simone Cristicchi? Io non posso piangere ogni sera.  #Sanremo2025
