artist,datetime,content
The Kolors,2025-02-12 22:05:07,the kolors voi siete le DIVE !
The Kolors,2025-02-12 22:07:02,"Sogno i The Kolors in viaggio Ibiza a Mikonos su un barcone guidato da Almasri in astinenza. 
#sanremo2025"
The Kolors,2025-02-12 22:04:42,"When it’s still cold outside but The Kolors have already served us with this year’s summer hit 

#Sanremo2025"
The Kolors,2025-02-12 22:07:13,a quando il duetto the kolors e l’unico ragazzo anni 60
The Kolors,2025-02-12 22:07:19,Purtroppo la canzone dei the kolors potrebbe essere la mia merda #Sanremo2025
The Kolors,2025-02-12 22:08:21,the kolors feat nino frassica prossimamente lo voglio con tanto di risata di stash di sottofondo
The Kolors,2025-02-12 22:04:51,the kolors bop assoluto non voglio sentire niente e stash DIVA
The Kolors,2025-02-12 22:25:23,"Y no he dicho nada pero The Kolors mis absolutos PERFECTOS. Como las carillas del vocalista.

#Sanremo2025"
The Kolors,2025-02-12 22:04:05,"The Kolors nulla di nuovo ed indimenticabile ma portano a casa un pezzo nel loro stile, ben confezionato, se non altro hanno uno stile preciso e sono coerenti #Sanremo2025"
The Kolors,2025-02-12 22:05:12,Tremendo bopazo el de The Kolors. Ole tú y tus carillas Stash #Sanremo2025
The Kolors,2025-02-12 22:07:29,"I the kolors sfornano solo HIT
#Sanremo2025"
The Kolors,2025-02-12 22:13:07,"a me non interessa che dite che fanno sempre le stesse canzoni, loro hanno mangiato e questa é un altra perla pop di cui saremo tutti ossessionati per mesi. the kolors siete i divi del pop. #sanremo2025"
The Kolors,2025-02-12 22:04:40,"Il codice per votare i The Kolors è ELVIS PRESLEY

#Sanremo2025"
The Kolors,2025-02-12 22:05:42,"basta, a me piace la canzone dei the kolors è una hit senza infamia e senza lode #sanremo2025"
The Kolors,2025-02-12 22:04:42,il boppone dei The Kolors #Sanremo2025
The Kolors,2025-02-12 22:05:27,"Dei The Kolors ricorderò sempre quella sera in cui hanno deciso di registrare il nuovo singolo dietro casa mia, in una villa storica.
""Ma chi caxxo è che fa 'sta caciara a quest'ora???""
#Sanremo2025 #sanremo"
The Kolors,2025-02-12 22:08:09,serata estiva in spiaggia double act the kolors serena brancale andrei
The Kolors,2025-02-12 22:06:26,posso dire che  non è male questa dei the Kolors?
The Kolors,2025-02-12 22:08:47,"i The Kolors e Serena Brancale che si esibiscono uno dietro l'altro per svegliare il pubblico con i loro bopponi
#Sanremo2025"
The Kolors,2025-02-12 22:10:00,the kolors e dopo serena brancale #sanremo2025
The Kolors,2025-02-12 22:05:28,non c'è nessuno di più giocoso dei The Kolors
The Kolors,2025-02-12 22:05:14,"Qualcuno ha mai visto Stash dei The Kolors e Ciro dei 
@_the_jackal
 insieme nella stessa stanza?

#Sanremo2025"
The Kolors,2025-02-12 22:27:43,Se non votate I The Kolors vi arriva il malocchio #Sanremo2025
The Kolors,2025-02-12 22:02:41,i the kolors hanno già deciso quale sarà la canzone in loop questa estate su tutte le spiagge della calabria #Sanremo2025
The Kolors,2025-02-12 22:09:34,La sequenza The Kolors e Serena Brancale #Sanremo2025
The Kolors,2025-02-12 22:05:30,"The Kolors go way too hard, might actually be my favorite alongside Joan Thiele #SanRemo2025"
The Kolors,2025-02-12 22:10:26,let’s hope the kolors will get the respect they deserve at sanremo this year #sanremo2025
The Kolors,2025-02-12 22:08:16,I The Kolors in realtà sognano il Festivalbar #Sanremo2025
The Kolors,2025-02-12 22:15:00,"The Kolors - Tu con chi fai l'amore
#SanRemo2025"
The Kolors,2025-02-12 22:06:31,L'expertise dei The Kolors nel fare rime tra espressioni quotidiane e note località turistiche europee andrebbe studiata al CERN. Le pagelle di Lorenzo Maragoni
The Kolors,2025-02-12 22:04:04,tempo di rivisitare questo classico durante la pausa the kolors
