artist,datetime,content
Brunori Sas,2025-02-14 00:11:52,"mi raccomando calabria (tutta italia) comprate più sim possibili come l'anno scorso e votate col codice 02 il maestro brunori sas detto anche brunori sex 

#Sanremo2025"
Brunori Sas,2025-02-14 00:20:27,"mia top 5 di questa sera non in ordine:
brunori sas 
joan thiele
shablo feat guè, joshua e tormento
olly 
coma_cose 
(anche gaia molto carina)
#sanremo2025"
Brunori Sas,2025-02-14 00:11:51,"#Sanremo2025, la terza serata LIVE: ovazioni per Massimo #Ranieri e #Brunori Sas. Ariston in piedi per #Olly che piange. I #DuranDuran infiammano la platea e appare #Victoria dei #Maneskinhttps://ilfat.to/3X0Y51H"
Brunori Sas,2025-02-14 00:21:06,"Stasera Brunori, Sas e Brunori sas"
Brunori Sas,2025-02-14 00:05:08,è mezzanotte nuovi album di brunori sas e willie peyote!!!!!!!!!!! non vedo l'ora di ascoltare tutto
Brunori Sas,2025-02-14 00:41:58,"se dario brunori brunori sas il mio uomo calabrese preferito non è nella top 5 stasera mi faccio fuori codice 02 dai dai dai 
#Sanremo2025"
Brunori Sas,2025-02-14 00:49:26,vorrei solo sapere se brunori sas è in top 5 una serata veramente noiosa carlocò
Brunori Sas,2025-02-14 00:19:17,"Se chiudo gli occhi, mi pare di ascoltare De Gregori quando canta Brunori Sas.
#Sanremo2025"
Brunori Sas,2025-02-14 00:26:10,"Brunori Sas, Olly, Irama, Tony Effe, Gabbani... dopo i risultati di ieri stasera mi aspetto questa top 5... spero di sbagliarmi . #Sanremo2025"
Brunori Sas,2025-02-14 00:26:05,"My Top 5 for tonight would be 

1. Joan Thiele
2. Brunori Sas 
3. Coma_Cose
4. Clara 
5. Gaia 

But realistically maybe only two will be there  "
Brunori Sas,2025-02-14 00:33:02,"Mi top

1. Gaia
2. Olly
3. Tony
4. Gabanni
5. Clara

Porra top 5 hoy: Olly, Brunori Sas, Irama, Tony & Coma_Cose #sanremo2025"
Brunori Sas,2025-02-14 00:24:33,"Il mio top-5 di oggi; 

1. Olly
2. Brunori Sas
3. Shablo 
4. Irama 
5. Francesco Gabbani 

#Sanremo2025"
Brunori Sas,2025-02-14 00:17:51,"Top 5 di stasera 
- Brunori Sas 
- Joan Thiele
- Olly
- Coma Cose
- Sarah Toscano"
Brunori Sas,2025-02-14 00:32:44,"mia top5 di stasera (in ordine sparso):

irama
olly
sarah toscano
gaia
brunori sas"
Brunori Sas,2025-02-14 00:22:01,"La mia top 5 di stasera: Brunori Sas, Noemi, Olly, Irama e Gabbani. #Sanremo2025"
Brunori Sas,2025-02-14 00:26:01,"#Sanremo2025 
My predictions for tonight's Top 5
Olly
Brunori Sas
Irama 
Noemi
Francesco Gabbani"
Brunori Sas,2025-02-14 00:33:52,"si si frega un cazzo dell’eurovision fate vincere uno a caso tra willie peyote brunori sas e lucio corsi

#Sanremo2025"
Brunori Sas,2025-02-14 00:21:47," #Sanremo #Sanremo2025

After the recap, my favourite remains Brunori Sas, and I hope he gets into the top 5 again.

My grandmother hesitates between Sarah Toscano, Coma_Cose and Tony Effe. Good, because you can vote up to 3 times!

What about you?"
Brunori Sas,2025-02-14 00:05:52,brunori sas porco
Brunori Sas,2025-02-14 00:21:52,"Il mio podio di stasera:
1. Noemi
2. Coma cose 
3. Brunori SAS
4. Olly
5. Shablo 
#tvtalk #sanremo2025"
Brunori Sas,2025-02-14 00:48:48,"brunori sas, joan thiele, shablo, coma_cose e gabbani mia personalissima top five per stasera ovviamente andrà tutto il contrario "
Brunori Sas,2025-02-14 00:22:04,"I miei 5 di stasera: Brunori Sas, Noemi, Ranieri, Shablo, Olly"
Brunori Sas,2025-02-14 00:00:05,"Il festival vorrei lo vincesse lui solo per fare il tweet 

BRUNORI SAS DIVENTA SPA NELLA NOTTE DI SANREMO"
Brunori Sas,2025-02-14 00:36:10,"""fingete dell'entusiasmo per i social""

l'uomo più simpatico del mondo non accetto pareri contrari brunori sas tu sei proprio l'uomo della mia vita 

#Sanremo2025"
Brunori Sas,2025-02-14 00:16:38,"Previsione top5 di serata dal più probabile al meno:  

- Olly 
- Irama 
- Tony Effe
- Brunori Sas
- (SALTO NEL BUIO) Shablo & Co.

(bubbling under: Noemi, Clara, Coma_Cose)"
Brunori Sas,2025-02-14 00:22:26,"La top 5 che vorrei io:

Gaia
Coma Cose
Brunori Sas
Joan Thiele
Gabbani

 #Sanremo2025"
Brunori Sas,2025-02-14 00:33:52,"si si frega un cazzo dell’eurovision fate vincere uno a caso tra willie peyote brunori sas e lucio corsi

#Sanremo2025"
Brunori Sas,2025-02-14 00:21:06,"Stasera Brunori, Sas e Brunori sas"
Brunori Sas,2025-02-14 00:41:58,"se dario brunori brunori sas il mio uomo calabrese preferito non è nella top 5 stasera mi faccio fuori codice 02 dai dai dai 
#Sanremo2025"
Brunori Sas,2025-02-14 00:11:52,"mi raccomando calabria (tutta italia) comprate più sim possibili come l'anno scorso e votate col codice 02 il maestro brunori sas detto anche brunori sex 

#Sanremo2025"
