artist,datetime,content
Sarah Toscano,2025-02-13 21:24:57,"Sarah Toscano favolosa stasera  ed é bellissima la sua musica    Codice 03
 Sarah Toscano
 “Amarcord”
#Sanremo2025"
Sarah Toscano,2025-02-13 21:25:49,Comunque per quanto mi riguarda Sarah Toscano la sorpresa di questo festival #Sanremo2025
Sarah Toscano,2025-02-13 21:24:08,"mi rimangio tutto ciò che ho detto su sarah toscano
è una bomba, il pezzo funziona bene e sul palco è pazzesca"
Sarah Toscano,2025-02-13 21:18:41,"non ho capito tutte le critiche a sarah toscano; la canzone non è male e lei è giovanissima, bravissima e grintosa 
#sanremo25"
Sarah Toscano,2025-02-13 21:17:27,"sarah toscano alla mia età servendo vocals sul palco di sanremo, questa diva
#Sanremo2025"
Sarah Toscano,2025-02-13 21:37:49,"tweet di apprezzamento per sarah toscano, la canzone oltre ad essere molto bella è una cucciola lei "
Sarah Toscano,2025-02-13 21:27:08,"SARAH TOSCANO TU SEI LA STELLA NASCENTE
#Sanremo2025"
Sarah Toscano,2025-02-13 21:30:25,quest’anno il festival ha deciso di dare spazio ai bambini invitandone uno ad ogni serata e facendone concorrere due in gara (lucio corsi e sarah toscano)
Sarah Toscano,2025-02-13 21:18:42,"L'errore di Sarah Toscano è stato di decidere un outfit troppo simile ad Angelina Mango ed una canzone dal ritmo incalzante ma che non rimane come novità nell'ascoltatore. La voce è incredibile però non vedo altro. La ringrazio per il gelato però. Voto 6.

#Sanremo2025"
Sarah Toscano,2025-02-13 21:20:58,A #Sanremo2025 tocca a Sarah #Toscano. Dal look della prima serata a Sanremo ai successi giovanili: “Sono una tennista”
Sarah Toscano,2025-02-13 21:21:56,La Spagna è con Sarah Toscano. Vincitore di questa terza serata. #sanremo2025
Sarah Toscano,2025-02-13 21:17:52,E se la vera sorpresa del Festival fosse questa Sarah Toscano? #Sanremo2025
Sarah Toscano,2025-02-13 21:22:20,#Sanremo2025 Brava Sarah Toscano con #Amarcord! 
Sarah Toscano,2025-02-13 21:19:56,"Bravissima Sarah Toscano.
Mi piace molto la sua canzone.

#Sanremo2025"
Sarah Toscano,2025-02-13 21:23:31,Per cenare fuori domani con Sarah Toscano mi farei tagliare entrambe le braccia e me le ricostruirei coi geomag
Sarah Toscano,2025-02-13 21:42:28,il pubblico in visibilio carloco le ha chiesto un doppio abbraccio mdf si sta dando da sola una pacca sulla spalla sarah toscano sei l'araba fenice 
Sarah Toscano,2025-02-13 21:18:49,lei e una cucciola ed è bravissima pero poverina ce a 19 anni famosa da neanche un anno i giornalisti che ti massacrano e ti dicono che sembri una bambina ti chiamano la copia di angelinamango FORZA SARAH TOSCANO! canzone molto godibile poi
Sarah Toscano,2025-02-13 21:19:55,E QUESTO BRIDGE QUESTI ACUTI CHE CAZZO HAI COMBINATO SARAH TOSCANO
Sarah Toscano,2025-02-13 21:28:41,"SARAH TOSCANO SEI STATA INCREDIBILEEEEE
#Sanremo2025"
Sarah Toscano,2025-02-13 21:47:08,joan thiele e sarah toscano le mie protette top 5 presso casa mia
Sarah Toscano,2025-02-13 21:19:53,Chi è Sarah #Toscano #Sanremo2025
Sarah Toscano,2025-02-13 21:24:56,"Quanto era bello stare così comodi sul carro di Sarah Toscano assieme a  
@giulw0nderland
 nel lontano settembre 2023 appena entrata ad amici con Touché."
Sarah Toscano,2025-02-13 21:26:30,"alla seconda serata sarah toscano si è spogliata di ogni ansia e insicurezza e ha addentato il palco dall’inizio fino alla fine con una presenza scenica che anche i grandi invidierebbero, È STATA ASSURDA
#Sanremo2025"
Sarah Toscano,2025-02-13 21:23:00,SARAH TOSCANO SEI TUTTO HAI DIVORATO
Sarah Toscano,2025-02-13 21:56:45,la cucciola sarah toscano con questa hit deve vincere sanremo (e poi mi sveglio fredda)
Sarah Toscano,2025-02-13 21:27:00,"SEI STATA STREPITOSA SARAH TOSCANO,STREPITOSA!!! #Sanremo2025"
Sarah Toscano,2025-02-13 21:28:38,Simone Cristicchi dopo aver assistito all'esibizione di Sarah Toscano ha deciso di ritirarsi
Sarah Toscano,2025-02-13 21:30:41,"Sanremo 2025, Sarah Toscano e la sua “Amarcord” - RECENSIONE"
Sarah Toscano,2025-02-13 21:20:30,"Sarah Toscano is so incredibly talented, and so young! I can’t wait to see how she continues to grow as an artist, there’s no doubt in my mind we’re going to see her back on the #Sanremo2025 stage for many years to come."
Sarah Toscano,2025-02-13 21:23:08,  03 / Sarah Toscano - “Amarcord” #SanRemo2025
Sarah Toscano,2025-02-13 21:28:42,Sarah Toscano in Emilio Pucci? She’s our it girl #Sanremo2025
Sarah Toscano,2025-02-13 21:24:58,"QUANTO SONO PROUD DI SARAH TOSCANO, Amacord nella mia top5 devo dire  ma vi immaginate a livello internazionale che successo farebbe se andasse all’eurovision?  #Sanremo2025"
Sarah Toscano,2025-02-13 21:19:08,sarah toscano ti amo ho questa canzone in loop da due giorni bravissima
