artist,datetime,content
Tony Effe,2025-02-13 23:30:46,"Comunque dovremmo essere tutti coraggiosi e dire semplicemente la verità: il brano di Tony Effe uno dei peggiori tra quelli mai passati in quel Festival 

#Sanremo2025"
Tony Effe,2025-02-13 23:42:10,Tony Effe a petto nudo e tatuaggi in vista
Tony Effe,2025-02-13 23:45:01,"Raga spero stiate votando il mitico Tony effe codice 03 inviando sms al 4754751 così da fare felice i #damellis #sanremo2025 
@sbetz10"
Tony Effe,2025-02-13 23:29:06,"Me hace gracia que los eurofans descubrieran el otro día a Tony Effe y lo vieran tan formalito cuando sabemos que es todo lo contrario 
#Sanremo2025"
Tony Effe,2025-02-13 23:29:38,Il filtro seppia su Tony Effe perché #sanremo2025
Tony Effe,2025-02-13 23:32:14,"“Damme ‘na mano che c’ho ner core solo ‘na donna e ‘na canzone”

 Tony Effe  Damme 'Na Mano

L’esibizione integrale è su RaiPlay 
In audio su RaiPlay Sound  

#Sanremo2025"
Tony Effe,2025-02-13 23:31:26,Alla serata cover Tony Effe porta Bucatini Disco Dance con Bonolis e Laurenti?
Tony Effe,2025-02-13 23:29:03,"La cosa migliore di Tony Effe è che dopo sabato non dovrò più ascoltare sta roba
#Sanremo2025"
Tony Effe,2025-02-13 23:27:43,Tony effe palese un malessere che viene a cantarti sotto la finestra per riconquistarti dopo averti ghostata malamente #Sanremo2025 #sanremo
Tony Effe,2025-02-13 23:27:27,canta tony effe
Tony Effe,2025-02-13 23:28:07,"Il problema della canzone di Tony Effe... è Tony Effe
È troppo stonato
Se l'avessero data ad un cantante vero, sarebbe stata altra cosa, perché non è brutta come produzione"
Tony Effe,2025-02-13 23:36:40,Le campagne elettorali mascherate da tutorial make-up non mi impediranno di mettere il volume a 0 quando canta Tony Effe #sanreno2025
Tony Effe,2025-02-13 23:42:35,"carlo conti: non fumate ragazzi

el backstage del ariston con tony effe, noemi, olly, shablo+, irama peleándose por ver quién acaba más rápido una cajetilla de malboro:"
Tony Effe,2025-02-13 23:31:47,"""non fumate ragazzi"" 

tony effe esperando a bajar las escaleras que ha cenado un pollo de coca, de postre un porro y para irse a la cama calentito con un chupito de hiervas endulzado con ketamina"
Tony Effe,2025-02-13 23:46:09,"Tony Effe per la terza serata di #Sanremo2025 sceglie un look total black in pelle stavolta, con giacca aperta sul petto nudo e catena attaccata ai pantaloni, con mutande in vista. E stavolta tutti i numerosi tatuaggi in mostra, sfoggiati fieramente"
Tony Effe,2025-02-13 23:28:41,il filtro effetto seppia usato esclusivamente per tony effe mi manda al creatore ve lo giuro
Tony Effe,2025-02-13 23:28:26,sta cringiata forzatissima e per niente naturale di tony effe finirà in top 5 sopra canzoni molto più meritevoli IO ODIO STO PAESE DI MERDA #sanremo2025
Tony Effe,2025-02-13 23:33:08,"Tony Effe ha fatto il mischione fra Mannarino, Lando Fiorini e un acceno di Califano #sanreno2025"
Tony Effe,2025-02-13 23:47:18,A me piace Irama tantissimo e devo dire che non mi dispiacciono nemmeno Olly e Tony effe
Tony Effe,2025-02-13 23:28:51,Tony effe arriverà davanti a elodie e noemi in classifica ma CONTINUATE A DIRE CHE SONO LE DONNE CHE PORTANO CANZONI NON ALL'ALTEZZA PORCO IL VOSTRO MESSIA
Tony Effe,2025-02-13 23:39:15,"Tony Effe a petto nudo e tatuaggi in vista.  http://ow.ly/3ql8105ZwY2

#ANSA"
Tony Effe,2025-02-13 23:29:23,"io comunque devo fare coming out e dichiarare al mondo che la canzone di tony effe non mi si sfila piú dalla testa

#Sanremo2025"
Tony Effe,2025-02-13 23:34:59,tony effe che diventa dark come tamara #Sanremo2025
Tony Effe,2025-02-13 23:50:34,"per MESI avete rotto il cazzo a tony effe per i testi (in realtà è un cucciolo) e ora sbavate TUTTI dietro a olly, NON SIETE REALI #sanremo2025"
Tony Effe,2025-02-13 23:41:03,"mio nonno guardando tony effe ha detto “giustamente si è fatto tutti quei tatuaggi, mica può mettersi la maglia, deve farli vedere”
#Sanremo2025"
Tony Effe,2025-02-13 23:42:07,"que bien le estan sentando las clases de canto al tony effe.
es que si desde el principio de su carrera se lo hubiera tomado en serio... #Sanremo2025"
Tony Effe,2025-02-13 23:27:53,"La canzone di Tony effe fa venire voglia di infilarsi una yankee candle nell’orecchio destro e una candela WoodWick in quello sinistro. 

#sanremo2025"
Tony Effe,2025-02-13 23:33:04,tony effe il porco
Tony Effe,2025-02-13 23:30:53,tony effe #sanremo2025
Tony Effe,2025-02-13 23:28:57,Che lagna Tony Effe #Sanremo2025
Tony Effe,2025-02-13 23:27:11,Confermo la canzone di Tony Effe inascoltabile #Sanremo2025
Tony Effe,2025-02-13 23:32:54,Vi dirò in maniera molto onesta che la canzone di Tony Effe non solo non è male ma sicuramente non è fra le peggiori presentate quest'anno oltre al fatto che se l'avesse portata qualcun altro sareste stati più clementi con il pezzo a me noi Tonyeffers non interessa
Tony Effe,2025-02-13 23:31:44,Sempre Carlo conti dopo che l'abbraccio di Tony effe ha fatto perdere ulteriore tempo
Tony Effe,2025-02-13 23:29:23,"tony effe col total black perché è in funerale post porto roma, quanto è romanista"
Tony Effe,2025-02-13 23:29:40,"Sta piovendo a dirotto.
Ha cantato Tony Effe vé?

#RaglioSanremo #Sanremo2025"
Tony Effe,2025-02-13 23:33:03,"esibizione di Tony Effe 

#Sanremo2025"
Tony Effe,2025-02-13 23:42:38,"SANREMO |  Nella prima serata aveva nascosto i tatuaggi sotto fondotinta, guanti e abiti eleganti. Stasera Tony Effe è al naturale: giacca di pelle nera sul petto nudo con tutti i tattoo in vista su viso, corpo e mani
#Sanremo2025  #ANSA"
Tony Effe,2025-02-13 23:28:37,Tony Effe ha l’anello hardwear di Tiffany che voglio io e me lo merito più io di lui che cazzo #Sanremo2025
Tony Effe,2025-02-13 23:33:23,Tony Effe in top 5 sarà ancora più allucinante di Zedef però io ormai non ho più energie per arrabbiarmi ormai non mi importa più di sto baraccone
Tony Effe,2025-02-13 23:29:24,"Puedo decirlo? Lo digo

Lo de Tony Effe es una absoluta genialidad #Sanremo2025"
Tony Effe,2025-02-13 23:48:30,"Modà Tony Effe medley di Iva Zanicchi e poi Irama sono euforica per questa sequenza
#Sanremo2025"
Tony Effe,2025-02-13 23:32:07,Comunque il brano di Tony Effe cantato da un altro con più vocalità avrebbe avuto anche un suo perché...  #Sanremo2025
Tony Effe,2025-02-13 23:29:05,"Il makeup artist di Tony Effe stasera ha optato per qualcosa di più Easy e naturale.
Porello va capito, deve pagare ancora la lavanderia per i kg di fondotinta sulla camicia di martedì.

#Sanremo2025"
Tony Effe,2025-02-13 23:29:15,"JESSICA MORLACCHI PREFERITA DAL PUBBLICO CON SOTTOFONDO DI TONY EFFE CHE ‘CANTA’ A #SANREMO2025 UN PAESE FINITO VI STO DICENDO 

#Grandefratello"
Tony Effe,2025-02-13 23:29:24,My worst trait is that I think I could fix Tony Effe. #Sanremo2025
Tony Effe,2025-02-13 23:28:46,"#11 Tony Effe - ""Damme 'na mano"" (""Give Me a Hand"") - He's so ""BAD boy"" in the verses but gets all ""SAD boy"" in the chorus, and I just don't fully BUY in (the tattoo work though...) #Sanremo2025"
Tony Effe,2025-02-13 23:30:14,Non so com sia possibile ma è talmente tutto sbagliato e imbarazzante in questo pezzo che sembra perfino che Tony Effe non sappia parlare in romano e si sforzi.
Tony Effe,2025-02-13 23:53:27,"tony effe a petto nudo e tatuaggi non coperti, finalmente guardare questa puntata ha avuto il suo perché.  tvb tony #Sanremo2025"
Tony Effe,2025-02-13 23:31:00,"Poco fa l'appello non fumate e ora Tony Effe canta ""accendo la sigaretta"" il tempismo #Sanremo2025"
